CharName,Kind,EffectName,ResourceName,NodeName,SequenceID,StartTime,TimeLength,TX,TY,TZ,RX,RY,RZ,Scale,Flags,ActiveMode,DeActiveMode,DirMode,ActiveEvent,DeActiveEvent,Extend
,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CBwString,U8,CBwString,string,CBwString,U32,F32,F32,F32,F32,F32,F32,F32,F32,F32,U32,U32,U32,U32,U32,U32,CBwString
#Share,0,FX_ice_a,FOOT/FX_ICE_A.NIF,Bip01 L Foot,0,0,1,-11.921,0,5.945,0,0,0,1,0,1,1,0,29,0,
#Share,0,FX_river_a,FOOT/FX__RIVER_A.NIF,Bip01 L Foot,0,0,1,-11.921,0,5.945,0,0,0,1,0,1,1,0,29,0,
#Share,0,FX_river_a,FOOT/FX__RIVER_A.NIF,Bip01 R Foot,0,0,1,19.272,0,0,0,0,0,1,0,1,1,0,30,0,
#Share,0,FX_river_a,FOOT/FX_JUMP_RIVER_A.NIF,Bone_Root,0,0,1,0,0,0,0,0,0,1,0,1,1,0,38,0,
#Share,0,FX_rock01,FOOT/FX_ROCK01.NIF,Bip01 R Foot,0,0,1,19.272,0,0,0,0,0,1,0,1,1,0,30,0,
#Share,0,FX_rock01,FOOT/FX_ROCK01.NIF,Bip01 L Foot,0,0,1,-11.921,0,5.945,0,0,0,1,0,1,1,0,29,0,
#Share,0,FX_sand_a,FOOT/FX_SAND_A.NIF,Bip01 R Foot,0,0,1,19.272,0,0,0,0,0,1,0,1,1,0,30,0,
#Share,0,FX_sand_a,FOOT/FX_SAND_A.NIF,Bip01 L Foot,0,0,1,-11.921,0,5.945,0,0,0,1,0,1,1,0,29,0,
#Share,0,FX_snow_a,FOOT/FX_SNOW_A.NIF,Bip01 R Foot,0,0,1,19.272,0,0,0,0,0,1,0,1,1,0,30,0,
