TID,Type,Kind,Property,Race,ShapeID,Color,Width,Height,Scale,Comment,EngTitle,EngName,LocalTitle,LocalName,UseIconType,WorldMapIcon,Level,Repeat,ItemDropTID,RegenR,RegenTimeMin,RegenTimeMax,Exp,ActionTID,Trigger,EntityState,EntityAni_01,EntityAni_02,EntityAni_03,QuestTID,QuestMissionTID,InsMapGroupTID,EventRange
分隔符,类型,种类,属性,种族,外形信息,RGB 值,NPC 大小宽度,NPC 大小高度,NPC 尺寸,私用,英文标题名称,英文名称,本地标题名称,本地名称,是否使用图,世界地图上显示的图标,等级,重复采集,掉落道具,赞助半径,赞助时间最小,最大赞助时间,采集物经验值,PC行动 ID,触发器有/无(0=无.1=有),"实体状态值(0=idle, 1= 关闭, 2= 打开)",1#实体号码,2#实体号码,3#实体号码,探索 TID,探索任务 TID,可用团队号码,事件发生时距离值
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,U8,U8,U8,U8:v,U32,string,F32,F32,F32,CBwString,CBwString,CBwString,CBwString,CBwString,U8,U32,U8,U8,U16,F32,U32,U32,S64,U32,U8,U8:v,U8:a:EntityAni,U8,U8,U32,U32,U16,U8
1,3,8,0,0,12010,,0.3,1.5,1,哥布林山地营地,ETT_Title_000001,ETT_Name_000001,,哥布林粮食口袋,1,20800,1,2,20000,0,5,10,0,2,0,0,0,0,0,10014,10014,0,3
2,3,8,0,0,11100,,0.3,1.5,1,贝斯帕德的森林,ETT_Title_000002,ETT_Name_000002,,红药草,1,20800,1,2,20002,0,5,10,0,2,0,0,0,0,0,10054,10055,0,3
3,3,8,0,0,12000,,1,4.5,1,贝斯帕德的森林,ETT_Title_000003,ETT_Name_000003,,残破的供应马车,1,20800,1,3,20003,0,5,10,0,2,0,0,0,0,0,10053,10054,0,3
4,3,8,0,0,12002,,0.3,1.5,1,哥布林江边营地,ETT_Title_000004,ETT_Name_000004,,哥布林江边宝物箱,1,20800,1,2,20004,0,5,10,0,2,0,0,0,0,0,7,10,0,3
5,3,8,0,0,12016,,0.3,1,1,布莱斯莱斯集结地,ETT_Title_000005,ETT_Name_000005,,盗窃团秘密材料箱,1,20800,1,2,20017,0,5,10,0,2,0,0,0,0,0,10133,10130,0,3
6,3,8,0,0,12018,,0.3,1.5,1,斯主要的池塘,ETT_Title_000006,ETT_Name_000006,,水雾花,1,20800,1,2,20006,0,5,10,0,2,0,0,0,0,0,10312,10312,0,3
7,3,8,0,0,12017,,0.3,1.2,1,被遗忘者的墓地,ETT_Title_000007,ETT_Name_000007,,迈特丢失的背包,1,20800,1,2,20007,0,5,10,0,2,0,0,0,0,0,10334,10336,0,3
8,3,8,0,0,12019,,0.3,1,1,古代的门,ETT_Title_000008,ETT_Name_000008,,噩梦之花,1,20800,1,2,20008,0,5,10,0,2,0,0,0,0,0,65,65,0,3
9,3,8,0,0,12020,,0.2,2.5,2,地盐的墓地,ETT_Title_000009,ETT_Name_000009,,西边破碎的守护石,1,20800,1,2,20010,0,5,10,0,2,0,0,0,0,0,10346,10348,0,3
10,3,8,0,0,12020,,0.2,2.5,2,地盐的墓地,ETT_Title_000010,ETT_Name_000010,,北边破碎的守护石,1,20800,1,2,20011,0,5,10,0,2,0,0,0,0,0,10346,10349,0,3
11,3,8,0,0,12020,,0.2,2.5,2,地盐的墓地,ETT_Title_000011,ETT_Name_000011,,南边破碎的守护石,1,20800,1,2,20012,0,5,10,0,2,0,0,0,0,0,10346,10337,0,3
12,3,8,0,0,12021,,0.3,2,1,尖塔村庄,ETT_Title_000012,ETT_Name_000012,,遗迹碎片,1,20800,1,2,20013,0,5,10,0,2,0,0,0,0,0,3,4,0,3
13,3,8,0,0,12002,,0.3,1.5,1,尖塔村庄,ETT_Title_000013,ETT_Name_000013,,供给品箱,1,20800,1,2,20014,0,5,10,0,2,0,0,0,0,0,10027,10030,0,3
14,3,8,0,0,12025,,0.5,1.5,1,哥布林江边营地,ETT_Title_000014,ETT_Name_000014,,肉品烘干队,1,20800,1,2,20015,0,5,10,0,2,0,0,0,0,0,10079,10081,0,3
15,3,8,0,0,12002,,0.3,1.5,1,刀刃集结地,ETT_Title_000015,ETT_Name_000015,,战利品盒,1,20800,1,2,20016,0,5,10,0,2,0,0,0,0,0,10113,10113,0,3
16,3,8,0,0,12019,,0.3,1,1,哈比的森林,ETT_Title_000016,ETT_Name_000016,,剧毒草,1,20800,1,2,20018,0,5,10,0,2,0,0,0,0,0,10171,10182,0,3
17,3,8,0,0,12002,,0.3,1.5,1,瀑布村,ETT_Title_000017,ETT_Name_000017,,供给品箱,1,20800,1,2,20019,0,5,10,0,2,0,0,0,0,0,10167,10180,0,3
18,3,8,0,0,12025,,0.5,1.5,1,砂轮村庄,ETT_Title_000018,ETT_Name_000018,,肉品烘干队,1,20800,1,2,20020,0,5,10,0,2,0,0,0,0,0,10181,10205,0,3
19,3,8,0,0,12018,,0.3,1.5,1,雾之丘,ETT_Title_000019,ETT_Name_000019,,清晨露珠草,1,20800,1,2,20021,0,5,10,0,2,0,0,0,0,0,10193,10213,0,3
20,3,8,0,0,12002,,0.3,1.5,1,洛坎的实验室,ETT_Title_000020,ETT_Name_000020,,洛坎的研究材料,1,20800,1,5,20022,0,5,10,0,2,0,0,0,0,0,40006,40006,0,3
21,3,8,0,0,12016,,0.3,1,1,深渊神殿,ETT_Title_000021,ETT_Name_000021,,供给品箱,1,20800,1,2,20023,0,5,10,0,2,0,0,0,0,0,40012,40012,0,3
22,3,8,0,0,12003,,0.3,3,1,深渊神殿,ETT_Title_000022,ETT_Name_000022,,异系果实,1,20800,1,2,20024,0,5,10,0,2,0,0,0,0,0,40018,40018,0,3
23,3,8,0,0,12057,,0.3,2.5,1, ,ETT_Title_000023,ETT_Name_000023,,干草垛,1,20800,1,2,20025,0,5,10,0,2,0,0,0,0,0,46005,46005,0,3
24,3,8,0,0,12058,,0.3,3,1, ,ETT_Title_000024,ETT_Name_000024,,玉米,1,20800,1,2,20026,0,5,10,0,2,0,0,0,0,0,46005,46006,0,3
25,3,8,0,0,12017,,0.3,3,1, ,ETT_Title_000025,ETT_Name_000025,,食品包装袋,1,20800,1,2,20604,0,5,10,0,2,0,0,0,0,0,16034,16034,0,3
26,3,8,0,0,12016,,0.3,3,1, ,ETT_Title_000026,ETT_Name_000026,,文件箱,1,20800,1,2,20603,0,5,10,0,2,0,0,0,0,0,16043,16043,0,3
27,3,8,0,0,12015,,0.3,3,1, ,ETT_Title_000027,ETT_Name_000027,,供给品箱,1,20800,1,2,20239,0,5,10,0,2,0,0,0,0,0,16092,16092,0,3
31,3,8,0,0,12018,,0.3,3,1,寂静的森林,,,,红药草,1,20800,1,2,20601,0,5,10,0,2,0,0,0,0,0,16022,16022,0,3
32,3,8,0,0,12016,,0.3,3,1,寂静的森林,,,,文件箱,1,20800,1,2,20602,0,5,10,0,2,0,0,0,0,0,1122,1122,0,3
33,3,8,0,0,12017,,0.3,3,1,布拉考海岸,,,,汤普森的包装袋,1,20800,1,2,20605,0,5,10,0,2,0,0,0,0,0,16054,16054,0,3
34,3,8,0,0,12094,,0.3,3,1,布拉考海岸,,,,侦察兵麦克斯,1,20800,1,2,20606,0,5,10,0,2,0,0,0,0,0,16058,16058,0,3
35,3,8,0,0,12019,,0.3,3,1,布拉考海岸,,,,海草,1,20800,1,2,20607,0,5,10,0,2,0,0,0,0,0,16055,16055,0,3
37,3,8,0,0,12015,,0.3,3,1,拜朗平原,,,,供给箱,1,20800,1,2,20608,0,5,10,0,2,0,0,0,0,0,16066,16066,0,3
38,3,8,0,0,12060,,0.3,3,1,倒塌的空间,,,,大地的龟裂,1,20800,1,2,20609,0,5,10,0,2,0,0,0,0,0,16073,16073,0,3
39,3,8,0,0,12044,,0.3,3,1,倒塌的空间,,,,被污染的土壤,1,20800,1,2,20610,0,5,10,0,2,0,0,0,0,0,16075,16075,0,3
40,3,8,0,0,12047,,0.3,3,1,倒塌的空间,,,,被污染的树枝,1,20800,1,2,20611,0,5,10,0,2,0,0,0,0,0,16082,16082,0,3
101,3,8,0,0,12015,,0.3,1.5,1,雷兰特冶炼厂,ETT_Title_000028,ETT_Name_000028,,冶炼厂供给箱,1,20800,1,2,20101,0,5,10,0,2,0,0,0,0,0,11005,11005,0,3
102,3,8,0,0,12015,,0.3,1.5,1,内特采石场,ETT_Title_000029,ETT_Name_000029,,火药箱,1,20800,1,2,20102,0,5,10,0,2,0,0,0,0,0,11023,11023,0,3
103,3,8,0,0,12000,,1,4,1,红岩平原,ETT_Title_000030,ETT_Name_000030,,红岩军团供应货车,1,20800,1,2,20103,0,5,10,0,2,0,0,0,0,0,11036,11036,0,3
104,3,8,0,0,12016,,0.3,1,1,布朗汉挖掘场,ETT_Title_000031,ETT_Name_000031,,布朗汉的文件盒,1,20800,1,2,20104,0,5,10,0,2,0,0,0,0,0,123,123,0,3
105,3,8,0,0,12016,,0.3,1,1,卢安克巢穴,ETT_Title_000032,ETT_Name_000032,,格拉希安的衣角,1,20800,1,2,20105,0,5,10,0,2,0,0,0,0,0,132,132,0,3
106,3,8,0,0,12020,,0.2,2.5,2,布朗汉发掘场,ETT_Title_000033,ETT_Name_000033,,古代石板,1,20800,1,2,20106,0,5,10,0,2,0,0,0,0,0,11041,11041,0,3
107,3,8,0,0,12019,,0.3,1,1,卢安克巢穴,ETT_Title_000034,ETT_Name_000034,,剧毒草,1,20800,1,2,20107,0,5,10,0,2,0,0,0,0,0,11053,11053,0,3
108,3,8,0,0,12016,,0.3,1,1,红蝎子盗贼团藏身处,ETT_Title_000035,ETT_Name_000035,,红蝎子盗窃团文件盒,1,20800,1,2,20108,0,5,10,0,2,0,0,0,0,0,11072,11072,0,3
109,3,8,0,0,12015,,0.3,1.5,1,斯蒂尔普瑞斯,ETT_Title_000036,ETT_Name_000036,,鲁哈奈尔秘密箱子,1,20800,1,2,20109,0,5,10,0,2,0,0,0,0,0,156,156,0,3
110,3,8,0,0,12015,,0.3,1.5,1,红蝎子盗贼团,ETT_Title_000037,ETT_Name_000037,,火药箱,1,20800,1,2,20110,0,5,10,0,2,0,0,0,0,0,11105,11105,0,3
111,3,8,0,0,12015,,0.3,1.5,1,红蝎子盗贼团藏身处,ETT_Title_000038,ETT_Name_000038,,红蝎子盗窃团供给品箱,1,20800,1,2,20111,0,5,10,0,2,0,0,0,0,0,11080,11080,0,3
112,3,8,0,0,12002,,0.3,1.5,1,红蝎子盗贼团要塞,ETT_Title_000039,ETT_Name_000039,,红蝎子盗窃团秘密文件盒,1,20800,1,2,20112,0,5,10,0,2,0,0,0,0,0,11107,11107,0,3
113,3,8,0,0,12016,,0.3,1,1,凯特废弃地,ETT_Title_000040,ETT_Name_000040,,加仑矿山材料箱子,1,20800,1,2,20113,0,5,10,0,2,0,0,0,0,0,11123,11123,0,3
114,3,8,0,0,12002,,0.3,1.5,1,凯特废弃地,ETT_Title_000041,ETT_Name_000041,,加仑矿山秘密箱子,1,20800,1,2,20114,0,5,10,0,2,0,0,0,0,0,11124,11124,0,3
115,3,8,0,0,12094,,0.3,1.5,1,凯伦荒地,ETT_Title_000042,ETT_Name_000042,,勘察队侦察兵,1,20800,1,2,20115,0,5,10,0,2,0,0,0,0,0,11142,11142,0,3
116,3,8,0,0,12032,,0.3,1.5,1,凯特废弃地,ETT_Title_000043,ETT_Name_000043,,未知矿石堆,1,20800,1,2,20116,0,5,10,0,2,0,0,0,0,0,11122,11122,0,3
117,3,8,0,0,12015,,0.3,1.5,1,凯伦荒地,ETT_Title_000044,ETT_Name_000044,,火药箱,1,20800,1,2,20117,0,5,10,0,2,0,0,0,0,0,11146,11146,0,3
118,3,8,0,0,12033,,0.3,1.5,1,凯伦荒地,ETT_Title_000045,ETT_Name_000045,,红石,1,20800,1,2,20118,0,5,10,0,2,0,0,0,0,0,11150,11150,0,3
119,3,8,0,0,12094,,0.3,1.5,1,红岩军团要塞,ETT_Title_000046,ETT_Name_000046,,要塞守兵,1,20800,1,2,20119,0,5,10,0,2,0,0,0,0,0,11172,11172,0,3
120,3,8,0,0,12086,,0.3,1.5,1,哨兵的花园,ETT_Title_000047,ETT_Name_000047,,魔法矿石,1,20800,1,2,20120,0,5,10,0,2,0,0,0,0,0,11194,11194,0,3
