TID,AniID
∑÷¿Î,∂Øª≠ID
2,
U16,U32
1,8003
2,8004
3,8005
4,8006
5,8007
6,8008
7,8009
8,8010
9,8011
10,8012
11,8013
12,8014
13,8015
14,8016
15,8017
16,8028
17,8029
18,8030
19,8031
20,8032
21,8033
22,8040
23,8041
24,8042
25,8044
26,8046
27,8047
28,8048
29,8100
30,8102
31,8104
32,8106
33,8108
34,8110
35,8120
36,8121
37,8122
38,8123
39,8124
40,8125
41,8150
42,8160
43,8162
44,8163
45,8164
46,8165
47,8166
48,8167
49,8168
50,8170
51,8172
52,8190
53,8192
