TID,Comment,EngDesc,LocalDesc,Type,Round,RoundTime,RoundWaitTime,AutoRound,NpcTID,NpcCount
分离器,企划者用,英文目标说明,韩文目标说明,所有,副本号码,副本时间限制,副本开始等候时间,限制时间过后副本自动生成 有/无,怪物 TID 号码,目标怪物数量
,,,,,,,,,,
U16,CBwString,CBwString,CBwString,U8,U8,U32,U32,U8,U32:v,U8:v
1,,IRT_Desc_000001,洛坎的实验室 (普通),2,1,1800000,0,0,150005|150008,1|1
2,,IRT_Desc_000002,洛坎的实验室 (困难),2,1,2400000,0,0,150025|150028|150030,1|1|1
3,,IRT_Desc_000003,洛坎的实验室 (极困难),2,1,3000000,0,0,150045|150048|150050,1|1|1
4,,IRT_Desc_000004,洛坎的实验室 (炼狱),1,1,3000000,0,0,0,50
5,,IRT_Desc_000005,深渊神殿 (普通),2,1,2400000,0,0,150103|150106,1|1
6,,IRT_Desc_000006,深渊神殿 (困难),2,1,3000000,0,0,150123|150126|150128,1|1|1
7,,IRT_Desc_000007,深渊神殿 (极困难),2,1,3600000,0,0,150143|150146|150148,1|1|1
8,,IRT_Desc_000008,深渊神殿 (炼狱),1,1,3600000,0,0,0,50
9,,IRT_Desc_000009,奎里奥德矿山(普通),2,1,3000000,0,0,150204|150207|150211,1|1|1
10,,IRT_Desc_000010,奎里奥德矿山(困难),2,1,3600000,0,0,150224|150227|150230|150231|150229,1|1|1|1|1
11,,IRT_Desc_000011,奎里奥德矿山(极困难),2,1,4200000,0,0,150244|150247|150250|150251|150249,1|1|1|1|1
12,,IRT_Desc_000012,奎里奥德矿山(炼狱),1,1,4200000,0,0,0,50
13,,IRT_Desc_000013,火焰祭坛(普通),2,1,3600000,0,0,150303|150307|150310,1|1|1
14,,IRT_Desc_000014,火焰祭坛(困难),2,1,4200000,0,0,150323|150327|150330|150329|150328,1|1|1|1|1
15,,IRT_Desc_000015,火焰祭坛(极困难),2,1,4800000,0,0,150343|150347|150350|150349|150348,1|1|1|1|1
16,,IRT_Desc_000016,火焰祭坛(炼狱),1,1,4800000,0,0,0,50
17,,IRT_Desc_000017,死亡寺院(普通),2,1,3600000,0,0,150414|150415|150416,1|1|1
18,,IRT_Desc_000018,死亡寺院(困难),2,1,4200000,0,0,150434|150435|150436|150437|150438,1|1|1|1|1
19,,IRT_Desc_000019,死亡寺院(极困难),2,1,4800000,0,0,150454|150455|150456|150457|150458,1|1|1|1|1
20,,IRT_Desc_000020,死亡寺院(炼狱),1,1,4800000,0,0,0,50
21,,IRT_Desc_000021,阿罗汉浮游城(普通),2,1,3600000,0,0,150503|150506|150512,1|1|1
22,,IRT_Desc_000022,阿罗汉浮游城(困难),2,1,4200000,0,0,150523|150526|150532|150533|150534,1|1|1|1|1
23,,IRT_Desc_000023,阿罗汉浮游城(极困难),2,1,4800000,0,0,150543|150546|150552|150553|150554,1|1|1|1|1
24,,IRT_Desc_000024,阿罗汉浮游城(炼狱),1,1,4800000,0,0,0,50
25,,IRT_Desc_000025,克拉伍德活体实验室(普通),2,1,3600000,0,0,150610|150611|150613,1|1|1
26,,IRT_Desc_000026,克拉伍德活体实验室(困难),2,1,4200000,0,0,150630|150631|150632|150633|150634,1|1|1|1|1
27,,IRT_Desc_000027,克拉伍德活体实验室(极困难),2,1,4800000,0,0,150650|150651|150652|150653|150654,1|1|1|1|1
28,,IRT_Desc_000028,克拉伍德活体实验室(炼狱),1,1,4800000,0,0,0,50
29,,IRT_Desc_000029,火龙巢穴(普通),2,1,3600000,0,0,150709|150710|150711,1|1|1
30,,IRT_Desc_000030,火龙巢穴(困难),2,1,4200000,0,0,150729|150730|150731|150732|150733,1|1|1|1|1
