TID,Comment,CostGhelld,ItemTID,MaxMaterial,Item01TID,Item01Stack,Item01Rate,Item02TID,Item02Stack,Item02Rate,Item03TID,Item03Stack,Item03Rate,Item04TID,Item04Stack,Item04Rate,Item05TID,Item05Stack,Item05Rate,Item06TID,Item06Stack,Item06Rate,Item07TID,Item07Stack,Item07Rate,Item08TID,Item08Stack,Item08Rate,Item09TID,Item09Stack,Item09Rate,Item10TID,Item10Stack,Item10Rate
区分号码,,企划者用,媒介物品,材料最大个数,成品价格,重合,被选中概率,成品价格,重合,被选中概率,成品价格,重合,被选中概率,成品价格,重合,被选中概率,成品价格,重合,被选中概率,成品价格,重合,被选中概率,成品价格,重合,被选中概率,成品价格,重合,被选中概率,成品价格,重合,被选中概率,成品价格,重合,被选中概率
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,CBwString,U32,U32,U16,U32,U16,U16,U32,U16,U16,U32,U16,U16,U32,U16,U16,U32,U16,U16,U32,U16,U16,U32,U16,U16,U32,U16,U16,U32,U16,U16,U32,U16,U16
1,最低级精灵石炼成术(武器用),50,41000,50,51200,1,120,51000,1,420,51100,1,900,51050,1,1800,51150,1,3600,51250,1,6000,37000,1,10000,0,0,0,0,0,0,0,0,0
2,低级精灵石炼成术(武器用),200,41001,50,51201,1,120,51001,1,420,51101,1,900,51051,1,1800,51151,1,3600,51251,1,6000,37000,1,10000,0,0,0,0,0,0,0,0,0
3,中级精灵石炼成术(武器用),820,41002,50,51202,1,100,51002,1,350,51102,1,750,51052,1,1500,51152,1,3000,51252,1,5000,37000,1,10000,0,0,0,0,0,0,0,0,0
4,中上级精灵石炼成术(武器用),2070,41003,50,51203,1,80,51003,1,280,51103,1,600,51053,1,1200,51153,1,2400,51253,1,4000,37000,1,10000,0,0,0,0,0,0,0,0,0
5,上等精灵石炼成术(武器用),4050,41004,50,51204,1,60,51004,1,210,51104,1,450,51054,1,900,51154,1,1800,51254,1,3000,37000,1,10000,0,0,0,0,0,0,0,0,0
6,最上级精灵石炼成术(武器用),6110,41005,50,51205,1,40,51105,1,140,51005,1,300,51155,1,600,51055,1,1200,51255,1,2000,37000,1,10000,0,0,0,0,0,0,0,0,0
7,最低级精灵石炼成术(防御型),50,41006,50,52100,1,120,52200,1,720,52000,1,1740,52150,1,3600,52050,1,6000,37000,1,10000,,0,0,0,0,0,0,0,0,0,0,0
8,低级精灵石炼成术(防御型),200,41007,50,52101,1,120,52201,1,720,52001,1,1740,52151,1,3600,52051,1,6000,37000,1,10000,,0,0,0,0,0,0,0,0,0,0,0
9,中级精灵石炼成术(防御型),820,41008,50,52102,1,100,52202,1,600,52002,1,1450,52152,1,3000,52052,1,5000,37000,1,10000,,0,0,0,0,0,0,0,0,0,0,0
10,中上级精灵石炼成术(防御型),2070,41009,50,52103,1,80,52203,1,480,52003,1,1160,52153,1,2400,52053,1,4000,37000,1,10000,,0,0,0,0,0,0,0,0,0,0,0
11,上等精灵石炼成术(防御型),4050,41010,50,52104,1,60,52204,1,360,52004,1,870,52154,1,1800,52054,1,3000,37000,1,10000,,0,0,0,0,0,0,0,0,0,0,0
12,最上级精灵石炼成术(防御型),6110,41011,50,52105,1,40,52205,1,240,52005,1,580,52155,1,1200,52055,1,2000,37000,1,10000,,0,0,0,0,0,0,0,0,0,0,0
13,最低级精灵石炼成术(首饰用),50,41012,50,53350,1,180,53200,1,540,53150,1,1020,53050,1,1800,53300,1,2880,53100,1,4200,53250,1,6000,37000,1,10000,0,0,0,0,0,0
14,低级精灵石炼成术(首饰用),200,41013,50,53351,1,180,53201,1,540,53151,1,1020,53051,1,1800,53301,1,2880,53101,1,4200,53251,1,6000,37000,1,10000,0,0,0,0,0,0
15,中级精灵石炼成术(首饰用),820,41014,50,53352,1,150,53202,1,450,53152,1,850,53052,1,1500,53302,1,2400,53102,1,3500,53252,1,5000,37000,1,10000,0,0,0,0,0,0
16,中上级精灵石炼成术(首饰用),2070,41015,50,53353,1,120,53203,1,360,53153,1,680,53053,1,1200,53303,1,1920,53103,1,2800,53253,1,4000,37000,1,10000,0,0,0,0,0,0
17,上等精灵石炼成术(首饰用),4050,41016,50,53354,1,90,53204,1,270,53154,1,510,53054,1,900,53304,1,1440,53104,1,2100,53254,1,3000,37000,1,10000,0,0,0,0,0,0
18,最上级精灵石炼成术(首饰用),6110,41017,50,53355,1,60,53205,1,180,53155,1,340,53055,1,600,53305,1,960,53105,1,1400,53255,1,2000,37000,1,10000,0,0,0,0,0,0
