TID,Comment,Group,GroupRate,BoxItem01,BoxItemStack01,DropRate01,BoxItem02,BoxItemStack02,DropRate02,BoxItem03,BoxItemStack03,DropRate03,BoxItem04,BoxItemStack04,DropRate04,BoxItem05,BoxItemStack05,DropRate05,BoxItem06,BoxItemStack06,DropRate06,BoxItem07,BoxItemStack07,DropRate07,BoxItem08,BoxItemStack08,DropRate08,BoxItem09,BoxItemStack09,DropRate09,BoxItem10,BoxItemStack10,DropRate10
箱子TID,规划者用（物品名称填写）,团队箱子(Item桌面 BoxTID 引用),团队特别的下降概率,01#箱子道具,01#重叠量,01#下降率,2#箱子道具,2#重叠量,2#下降率,3#箱子道具,3#重叠量,3#下降量,4#箱子道具,4#重叠量,4#下降量,5#箱子道具,5#重叠量,5#下降量,6#箱子道具,6#重叠量,6#下降量,7#箱子道具,7#重叠量,7#下降量,8#箱子道具,8#重叠量,8#下降量,9#箱子道具,9#重叠量,9#下降量,10#箱子道具,10#重叠量,10#下降量
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U16,CBwString,U16,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16
1,高级 Lv.30 武器 箱子,1,10000,1021621,1,10000,1031621,1,10000,1111621,1,10000,1121621,1,10000,1131621,1,10000,110500,1,10000,110501,1,10000,115500,1,10000,115501,1,10000,2160921,1,10000
2,毁坏 Lv.30 武器 箱子,2,10000,1026621,1,10000,1011621,1,10000,1041621,1,10000,1051621,1,10000,1141621,1,10000,110500,1,10000,110501,1,10000,115500,1,10000,115501,1,10000,2460921,1,10000
3,高级 Lv.30 麻布 箱子,3,10000,100600,1,10000,100601,1,10000,100602,1,10000,100603,1,10000,100604,1,10000,100610,1,10000,100611,1,10000,100612,1,10000,100613,1,10000,100614,1,10000
4,高级 Lv.30 轻甲 箱子,4,10000,100630,1,10000,100631,1,10000,100632,1,10000,100633,1,10000,100634,1,10000,100640,1,10000,100641,1,10000,100642,1,10000,100643,1,10000,100644,1,10000
5,高级 Lv.30 重甲 箱子,5,10000,100660,1,10000,100661,1,10000,100662,1,10000,100663,1,10000,100664,1,10000,100670,1,10000,100671,1,10000,100672,1,10000,100673,1,10000,100674,1,10000
6,毁坏 Lv.30 麻布 箱子,6,10000,105600,1,10000,105601,1,10000,105602,1,10000,105603,1,10000,105604,1,10000,105610,1,10000,105611,1,10000,105612,1,10000,105613,1,10000,105614,1,10000
7,毁坏 Lv.30 轻甲 箱子,7,10000,105630,1,10000,105631,1,10000,105632,1,10000,105633,1,10000,105634,1,10000,105640,1,10000,105641,1,10000,105642,1,10000,105643,1,10000,105644,1,10000
8,毁坏 Lv.30 重甲 箱子,8,10000,105660,1,10000,105661,1,10000,105662,1,10000,105663,1,10000,105664,1,10000,105670,1,10000,105671,1,10000,105672,1,10000,105673,1,10000,105674,1,10000
20,高级 Lv.30 箱子,20,10000,70,1,10000,80,1,10000,81,1,10000,82,1,10000,,,,,,,,,,,,,,,,,,
21,毁坏 Lv.30 箱子,21,10000,71,1,10000,90,1,10000,91,1,10000,92,1,10000,,,,,,,,,,,,,,,,,,
22,高级 lv 30 箱子(测试用),22,10000,2110622,1,10000,2113622,1,10000,2116622,1,10000,2120622,1,10000,2123622,1,10000,2126622,1,10000,2130622,1,10000,2133622,1,10000,2136622,1,10000,,,
23,高级 lv 30 箱子(测试用),23,10000,2140622,1,10000,2143622,1,10000,2146622,1,10000,2150622,1,10000,2153622,1,10000,2156622,1,10000,2160622,1,10000,,,,,,,,,
24,高级 lv 30 箱子(测试用),24,10000,1021221,1,10000,1111221,1,10000,1121221,1,10000,1131221,1,10000,1031221,1,10000,2080421,1,10000,2070321,1,10000,2080421,1,10000,,,,,,
25,高级 lv 35 箱子(测试用),25,10000,2110722,1,10000,2113722,1,10000,2116722,1,10000,2120722,1,10000,2123722,1,10000,2126722,1,10000,2130722,1,10000,2133722,1,10000,2136722,1,10000,,,
26,高级 lv 35 箱子(测试用),26,10000,2140722,1,10000,2143722,1,10000,2146722,1,10000,2150722,1,10000,2153722,1,10000,2156722,1,10000,2160722,1,10000,,,,,,,,,
27,高级 lv 35 箱子(测试用),27,10000,1021421,1,10000,1111421,1,10000,1121421,1,10000,1131421,1,10000,1031421,1,10000,2080421,1,10000,2070421,1,10000,2080421,1,10000,,,,,,
28,高级 lv 40 箱子(测试用),28,10000,2110921,1,10000,2113921,1,10000,2116921,1,10000,2120921,1,10000,2123921,1,10000,2126921,1,10000,2130921,1,10000,2133921,1,10000,2136921,1,10000,,,
29,高级 lv 40 箱子(测试用),29,10000,2140921,1,10000,2143921,1,10000,2146921,1,10000,2150921,1,10000,2153921,1,10000,2156921,1,10000,2160921,1,10000,,,,,,,,,
30,高级 lv 40 箱子(测试用),30,10000,1021621,1,10000,1111621,1,10000,1121621,1,10000,1131621,1,10000,1031621,1,10000,2080521,1,10000,2070421,1,10000,2080521,1,10000,,,,,,
