TID,Comment,AddBreakNumber,AddBreakRate,BreakItem01,BreakItemStack01,BreakRate01,BreakItem02,BreakItemStack02,BreakRate02,BreakItem03,BreakItemStack03,BreakRate03,FGambleGhelld,FGambleItem01,FGambleItemStack01,FGambleRate01,FGambleItem02,FGambleItemStack02,FGambleRate02,FGambleItem03,FGambleItemStack03,FGambleRate03,SGambleGhelld,SGambleItem01,SGambleItemStack01,SGambleRate01,SGambleItem02,SGambleItemStack02,SGambleRate02,SGambleItem03,SGambleItemStack03,SGambleRate03
BreakTID 参考,企划者用(项目名拟定),进一步分解次数,进一步分解概率,01#分解物品,01#分解物品重合数量,01#分解概率,2#分解物品,2#分解物品重合数量,2#分解概率,3#分解物品,3#分解物品重合数量,3#分解概率,2次下注所需手续费,01#风险分解物品,01#下注物品重合数量,01#下注物品概率,2#下注分解物品,2#下注物品重合数量,2#下注物品概率,3#下注分解物品,3#下注物品重合数量,3#下注物品概率,3次所需手续费,1#下注分解物品,1#下注物品重合数量,1#下注物品概率,2#下注分解物品,2#下注物品重合数量,2#下注物品概率,3#下注分解物品,3#下注物品重合数量,3#下注物品概率
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,CBwString,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U32,U8,U16,U32,U8,U16,U32,U8,U16
101,武器_01~10_一般,0,0,40000,1,10,40600,1,3010,37000,1,10000,6,40000,1,50,40600,1,9000,37000,1,10000,12,40000,1,140,40600,2,10000,0,0,0
102,武器_11~20_一般,0,0,40001,1,10,40600,1,3010,37000,1,10000,36,40001,1,50,40600,1,9000,37000,1,10000,72,40001,1,140,40600,2,10000,0,0,0
103,武器_21~30_一般,0,0,40002,1,10,40601,1,3010,37000,1,10000,216,40002,1,50,40601,1,9000,37000,1,10000,432,40002,1,140,40601,2,10000,0,0,0
104,武器_31~40_一般,0,0,40003,1,10,40602,1,3010,37000,1,10000,1296,40003,1,50,40602,1,9000,37000,1,10000,2592,40003,1,140,40602,2,10000,0,0,0
105,武器_41~45_一般,0,0,40004,1,10,40603,1,3010,37000,1,10000,7776,40004,1,50,40603,1,9000,37000,1,10000,15552,40004,1,140,40603,2,10000,0,0,0
106,武器_46~50_一般,0,0,40004,1,10,40603,1,3010,37000,1,10000,7776,40004,1,50,40603,1,9000,37000,1,10000,15552,40004,1,140,40603,2,10000,0,0,0
107,武器_51~55_一般,0,0,40005,1,10,40604,1,3010,37000,1,10000,46656,40005,1,50,40604,1,9000,37000,1,10000,93312,40005,1,140,40604,2,10000,0,0,0
108,武器_56~60_一般,0,0,40005,1,10,40604,1,3010,37000,1,10000,46656,40005,1,50,40604,1,9000,37000,1,10000,93312,40005,1,140,40604,2,10000,0,0,0
201,武器_01~10_高级,1,100,40000,1,20,40600,1,3020,37000,1,10000,6,40000,1,100,40600,1,9000,40601,1,10000,12,40000,1,280,40600,4,9000,40605,2,10000
202,武器_11~20_高级,1,100,40001,1,20,40600,1,3020,37000,1,10000,36,40001,1,100,40600,1,9000,40601,1,10000,72,40001,1,280,40600,4,9000,40605,2,10000
203,武器_21~30_高级,1,100,40002,1,20,40601,1,3020,37000,1,10000,216,40002,1,100,40601,1,9000,40602,1,10000,432,40002,1,280,40601,4,9000,40606,2,10000
204,武器_31~40_高级,1,100,40003,1,20,40602,1,3020,37000,1,10000,1296,40003,1,100,40602,1,9000,40603,1,10000,2592,40003,1,280,40602,4,9000,40607,2,10000
205,武器_41~45_高级,1,100,40004,1,20,40603,1,3020,37000,1,10000,7776,40004,1,100,40603,1,9000,40604,1,10000,15552,40004,1,280,40603,4,9000,40608,2,10000
206,武器_46~50_高级,1,100,40004,1,20,40603,1,3020,37000,1,10000,7776,40004,1,100,40603,1,9000,40604,1,10000,15552,40004,1,280,40603,4,9000,40608,2,10000
207,武器_51~55_高级,1,100,40005,1,20,40604,1,3020,37000,1,10000,46656,40005,1,100,40604,1,9000,40608,1,10000,93312,40005,1,280,40604,4,9000,40609,2,10000
208,武器_56~60_高级,1,100,40005,1,20,40604,1,3020,37000,1,10000,46656,40005,1,100,40604,1,9000,40608,1,10000,93312,40005,1,280,40604,4,9000,40609,2,10000
301,武器_01~10_稀有,2,500,40000,1,30,40600,1,3030,37000,1,10000,6,40000,1,250,40600,2,7000,40601,1,10000,12,40000,1,700,40605,6,9000,40606,4,10000
302,武器_11~20_稀有,2,500,40001,1,30,40600,1,3030,37000,1,10000,36,40001,1,250,40600,2,7000,40601,1,10000,72,40001,1,700,40605,6,9000,40606,4,10000
303,武器_21~30_稀有,2,500,40002,1,30,40601,1,3030,37000,1,10000,216,40002,1,250,40601,2,7000,40602,1,10000,432,40002,1,700,40606,6,9000,40607,4,10000
304,武器_31~40_稀有,2,500,40003,1,30,40602,1,3030,37000,1,10000,1296,40003,1,250,40602,2,7000,40603,1,10000,2592,40003,1,700,40607,6,9000,40608,4,10000
305,武器_41~45_稀有,2,500,40004,1,30,40603,1,3030,37000,1,10000,7776,40004,1,250,40603,2,7000,40604,1,10000,15552,40004,1,700,40608,6,9000,40301,1,10000
306,武器_46~50_稀有,2,500,40004,1,30,40603,1,3030,37000,1,10000,7776,40004,1,250,40603,2,7000,40604,1,10000,15552,40004,1,700,40608,6,9000,40301,1,10000
307,武器_51~55_稀有,2,500,40005,1,30,40604,1,3030,37000,1,10000,46656,40005,1,250,40604,2,7000,40608,1,10000,93312,40005,1,700,40609,6,9000,40301,1,10000
308,武器_56~60_稀有,2,500,40005,1,30,40604,1,3030,37000,1,10000,46656,40005,1,250,40604,2,7000,40608,1,10000,93312,40005,1,700,40609,6,9000,40301,1,10000
401,武器_01~10_特别,2,1000,40000,1,100,40600,1,3100,37000,1,10000,6,40000,1,650,40600,2,6000,40601,2,10000,12,40000,1,1820,40605,8,8000,40606,6,10000
402,武器_11~20_特别,2,1000,40001,1,100,40600,1,3100,37000,1,10000,36,40001,1,650,40600,2,6000,40601,2,10000,72,40001,1,1820,40605,8,8000,40606,6,10000
403,武器_21~30_特别,2,1000,40002,1,100,40601,1,3100,37000,1,10000,216,40002,1,650,40601,2,6000,40602,2,10000,432,40002,1,1820,40606,8,8000,40607,6,10000
404,武器_31~40_特别,2,1000,40003,1,100,40602,1,3100,37000,1,10000,1296,40003,1,650,40602,2,6000,40603,2,10000,2592,40003,1,1820,40607,8,9000,40301,1,10000
405,武器_41~45_特别,2,1000,40004,1,100,40603,1,3100,37000,1,10000,7776,40004,1,650,40603,2,6000,40604,2,10000,15552,40004,1,1820,40610,4,9000,40302,1,10000
406,武器_46~50_特别,2,1000,40004,1,100,40603,1,3100,37000,1,10000,7776,40004,1,650,40603,2,6000,40604,2,10000,15552,40004,1,1820,40610,4,9000,40302,1,10000
407,武器_51~55_特别,2,1000,40005,1,100,40604,1,3100,37000,1,10000,46656,40005,1,650,40604,2,6000,40608,2,10000,93312,40005,1,1820,40610,4,9000,40302,1,10000
408,武器_56~60_特别,2,1000,40005,1,100,40604,1,3100,37000,1,10000,46656,40005,1,650,40604,2,6000,40608,2,10000,93312,40005,1,1820,40610,4,9000,40302,1,10000
1101,头盔_01~10_一般,0,0,40100,1,10,40600,1,3010,37000,1,10000,3,40100,1,50,40600,1,9000,37000,1,10000,6,40100,1,140,40600,2,10000,0,0,0
1102,头盔_11~20_一般,0,0,40101,1,10,40600,1,3010,37000,1,10000,18,40101,1,50,40600,1,9000,37000,1,10000,36,40101,1,140,40600,2,10000,0,0,0
1103,头盔_21~30_一般,0,0,40102,1,10,40601,1,3010,37000,1,10000,108,40102,1,50,40601,1,9000,37000,1,10000,216,40102,1,140,40601,2,10000,0,0,0
1104,头盔_31~40_一般,0,0,40103,1,10,40602,1,3010,37000,1,10000,648,40103,1,50,40602,1,9000,37000,1,10000,1296,40103,1,140,40602,2,10000,0,0,0
1105,头盔_41~45_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
1106,头盔_46~50_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
1107,头盔_51~55_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
1108,头盔_56~60_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
1201,头盔_01~10_高级,1,100,40100,1,20,40600,1,3020,37000,1,10000,3,40100,1,100,40600,1,9000,40601,1,10000,6,40100,1,280,40600,4,9000,40605,2,10000
1202,头盔_11~20_高级,1,100,40101,1,20,40600,1,3020,37000,1,10000,18,40101,1,100,40600,1,9000,40601,1,10000,36,40101,1,280,40600,4,9000,40605,2,10000
1203,头盔_21~30_高级,1,100,40102,1,20,40601,1,3020,37000,1,10000,108,40102,1,100,40601,1,9000,40602,1,10000,216,40102,1,280,40601,4,9000,40606,2,10000
1204,头盔_31~40_高级,1,100,40103,1,20,40602,1,3020,37000,1,10000,648,40103,1,100,40602,1,9000,40603,1,10000,1296,40103,1,280,40602,4,9000,40607,2,10000
1205,头盔_41~45_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
