TID,Comment,GroupID,GroupRate,MinGhelld,MaxGhelld,AddDropNumber,AddDropRate,DropItem01,DropItemStack01,DropRate01,DropItem02,DropItemStack02,DropRate02,DropItem03,DropItemStack03,DropRate03,DropItem04,DropItemStack04,DropRate04,DropItem05,DropItemStack05,DropRate05,DropItem06,DropItemStack06,DropRate06,DropItem07,DropItemStack07,DropRate07,DropItem08,DropItemStack08,DropRate08,DropItem09,DropItemStack09,DropRate09,DropItem10,DropItemStack10,DropRate10,DropItem11,DropItemStack11,DropRate11,DropItem12,DropItemStack12,DropRate12,DropItem13,DropItemStack13,DropRate13,DropItem14,DropItemStack14,DropRate14,DropItem15,DropItemStack15,DropRate15
,企划者用(怪物名拟写),团队号,团队概率,最小Ghelld量,最大Ghelld量,追加团队次数,追加团队概率,01#物品掉落,01#物品掉落重合数量,01#掉率,2#物品掉落,02#物品掉落重合数量,2#掉率,3#物品掉落,03#物品掉落重合数量,3#掉率,4#物品掉落,04#物品掉落重合数量,4#掉率,5#物品掉落,05#物品掉落重合数量,5#掉率,6#物品掉落,06#物品掉落重合数量,6#掉率,7#物品掉落,07#物品掉落重合数量,7#掉率,8#物品掉落,08#物品掉落重合数量,8#掉率,9#物品掉落,09#物品掉落重合数量,9#掉率,10#物品掉落,10#物品掉落重合数量,10#掉率,11#物品掉落,11#物品掉落重合数量,11#掉率,12#物品掉落,12#物品掉落重合数量,12#掉率,13#物品掉落,13#物品掉落重合数量,13#掉率,14#物品掉落,14#物品掉落重合数量,14#掉率,15#物品掉落,15#物品掉落重合数量,15#掉率
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U16,CBwString,U32,U16,U32,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16
1,(目标)一般_靴子_1,1,302,1,1,1,392,2150001,1,3333,2153001,1,6666,2156001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,(目标)一般_手套_1,1,604,1,1,1,785,2130001,1,3300,2133001,1,6666,2136001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,(目标)一般_裤子_1,1,906,1,1,1,1177,2140001,1,3300,2143001,1,6666,2146001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,(目标)一般_头盔_1,1,1209,1,1,1,1570,2110001,1,3300,2113001,1,6666,2116001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(目标)一般_铠甲_1,1,1511,1,1,1,1962,2120001,1,3300,2123001,1,6666,2126001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,(目标)一般_武器_1,1,1813,1,1,1,2355,1030001,1,2500,1110001,1,5000,1120001,1,7500,1130001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,(目标)一般_盾牌_1,1,2115,1,1,1,2747,1020004,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,(目标)一般_靴子_1,1,2139,1,1,1,2777,2150014,1,3333,2153014,1,6666,2156014,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,(目标)一般_手套_1,1,2162,1,1,1,2807,2130014,1,3300,2133014,1,6666,2136014,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,(目标)一般_裤子_1,1,2185,1,1,1,2837,2140014,1,3300,2143014,1,6666,2146014,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,(目标)一般_头盔_1,1,2208,1,1,1,2867,2110014,1,3300,2113014,1,6666,2116014,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,(目标)一般_铠甲_1,1,2232,1,1,1,2897,2120014,1,3300,2123014,1,6666,2126014,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,(目标)一般_武器_1,1,2255,1,1,1,2927,1030014,1,2500,1110014,1,5000,1120014,1,7500,1130014,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,(目标)一般_盾牌_1,1,2278,1,1,1,2957,1020014,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,(目标)一般_靴子_1,1,2284,1,1,1,2965,2150024,1,3333,2153024,1,6666,2156024,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,(目标)一般_手套_1,1,2290,1,1,1,2972,2130024,1,3300,2133024,1,6666,2136024,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,(目标)一般_裤子_1,1,2297,1,1,1,2980,2140024,1,3300,2143024,1,6666,2146024,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,(目标)一般_头盔_1,1,2303,1,1,1,2987,2110024,1,3300,2113024,1,6666,2116024,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,(目标)一般_铠甲_1,1,2309,1,1,1,2995,2120024,1,3300,2123024,1,6666,2126024,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,(目标)一般_武器_1,1,2315,1,1,1,3002,1030024,1,2500,1110024,1,5000,1120024,1,7500,1130024,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,(目标)一般_盾牌_1,1,2321,1,1,1,3010,1020024,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,(目标)一般_靴子_2,2,302,1,2,1,387,2150001,1,3300,2153001,1,6666,2156001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,(目标)一般_手套_2,2,604,1,2,1,775,2130001,1,3300,2133001,1,6666,2136001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,(目标)一般_裤子_2,2,906,1,2,1,1162,2140001,1,3300,2143001,1,6666,2146001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,(目标)一般_头盔_2,2,1209,1,2,1,1550,2110001,1,3300,2113001,1,6666,2116001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,(目标)一般_铠甲_2,2,1511,1,2,1,1937,2120001,1,3300,2123001,1,6666,2126001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
