TID,Desc,Svr,DropItemTID,DropItemStack,ItemRate,EventType,MinPLevel,MaxPLevel
分离器,企划者用,服务器号码,下行号码,下行重合号码,下行率,"活动用?(0:基本,1:一般活动,2:网吧活动)",PC?? ??(??),PC等级 最大(饱和)
,,,,,,,,
U32,CBwString,U8,U32,U8,U16,U8,U8,U8
1,入网券,,9070,1,50,0,0,0
2,战场入场券,,9069,1,100,0,0,0
3,最低级生命药水,,10000,1,1000,0,1,9
4,最低级生命急速药水,,10001,1,1000,0,1,9
5,最低级马纳药水,,10100,1,1000,0,1,9
6,最低级马纳急速药水,,10101,1,1000,0,1,9
7,低级生命药水,,10004,1,800,0,10,19
8,低级生命急速药水,,10005,1,800,0,10,19
9,低级马纳药水,,10104,1,800,0,10,19
10,低级马纳急速药水,,10105,1,800,0,10,19
11,中级生命药水,,10008,1,600,0,20,29
12,中级生命急速药水,,10009,1,600,0,20,29
13,中级马纳药水,,10108,1,600,0,20,29
14,中级马纳急速药水,,10109,1,600,0,20,29
15,中上级生命药水,,10012,1,400,0,30,39
16,中上级生命急速药水,,10013,1,400,0,30,39
17,中上级马纳药水,,10112,1,400,0,30,39
18,中上级马纳急速药水,,10113,1,400,0,30,39
19,高级生命药水,,10016,1,200,0,40,0
20,高级生命急速药水,,10017,1,200,0,40,0
21,高级马纳药水,,10116,1,200,0,40,0
22,高级马纳急速药水,,10117,1,200,0,40,0
