WeaponName,CharName,HandType,TX,TY,TZ,RX,RY,RZ,Scale,CombatScale
武器名,模特名,手位置,X轴心动,Y轴心动,Z轴心动,X轴心转动,Y轴心转动,Z轴心转动,大小调节,战斗模式比例
2,2,2,2,2,2,2,2,2,2,2
string,string,CBwString,F32,F32,F32,F32,F32,F32,F32,F32
m_abec_w_oswd_rgt_a_lod.nif,00000.kfm,L,0,0,0,0,0,0,1,1
m_abec_w_oswd_rgt_a_lod.nif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,1,1
m_abec_w_oswd_rgt_a_lod.nif,00001.kfm,L,0,0,0,0,0,0,1,1
m_abec_w_oswd_rgt_a_lod.nif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,1,1
m_abec_w_oswd_rgt_b_lod.bif,00000.kfm,L,0,0,0,0,0,0,1,1
m_abec_w_oswd_rgt_b_lod.bif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,1,1
m_abec_w_oswd_rgt_b_lod.bif,00001.kfm,L,0,0,0,0,0,0,1,1
m_abec_w_oswd_rgt_b_lod.bif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,1,1
m_diva_w_taxe_all_a_lod.nif,00006.kfm,L,45.714,-1.003,-44.436,1.711,-55.392,-89.089,0.15,0.15
m_diva_w_taxe_all_a_lod.nif,00006.kfm,R,0,0,0,0,0,0,1,1
m_diva_w_taxe_all_a_lod.nif,00007.kfm,L,46.917,10.482,-37.3,15.896,-49.888,-107.239,0.11,0.11
m_diva_w_taxe_all_a_lod.nif,00007.kfm,R,0,0,0,0,0,0,1,1
m_fkpa_w_oswd_rgt_a_lod.nif,00000.kfm,L,0,0,0,0,0,0,1,1
m_fkpa_w_oswd_rgt_a_lod.nif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,0.2,0.2
m_fkpa_w_oswd_rgt_a_lod.nif,00001.kfm,L,0,0,0,0,0,0,1,1
m_fkpa_w_oswd_rgt_a_lod.nif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,0.2,0.2
