TID,Comment,SourceItem01,SourceItemCount01,MixRate01,MixItemResult01,MixItemCount01,MixRate02,MixItemResult02,MixItemCount02,MixRate03,MixItemResult03,MixItemCount03,MixRate04,MixItemResult04,MixItemCount04,MixRate05,MixItemResult05,MixItemCount05
分离器,企划者用,需要物品TID,需要物品个数,1号组合时概率值,1号成品 TID,1号成品个数,2号组合概率值,2号 成品 TID,2号 成品个数,3号组合概率值,3号 成品 TID,3号 成品个数,4号组合概率值,4号 成品 TID,4号 成品个数,5号组合概率值,5号 成品 TID,5号 成品个数
,,,,,,,,,,,,,,,,,,
U32,CBwString,U32,U16,U16,U32,U32,U16,U32,U32,U16,U32,U32,U16,U32,U32,U16,U32,U32
1,最低级古代精灵石: 武器,,,2000,90027,1,4400,90027,1,7000,90027,1,,,,,,
2,低级古代精灵石: 武器,,,2000,90028,1,4400,90028,1,7000,90028,1,,,,,,
3,中级古代精灵石: 武器,,,2000,90029,1,4400,90029,1,7000,90029,1,,,,,,
4,中上级古代精灵石: 武器,,,2000,90030,1,4400,90030,1,7000,90030,1,,,,,,
5,高级古代精灵石: 武器,,,2000,90031,1,4400,90031,1,7000,90031,1,,,,,,
201,最低级古代精灵石: 防御,,,2000,90033,1,4400,90033,1,7000,90033,1,,,,,,
202,低级古代精灵石: 防御,,,2000,90034,1,4400,90034,1,7000,90034,1,,,,,,
203,中级古代精灵石: 防御,,,2000,90035,1,4400,90035,1,7000,90035,1,,,,,,
204,中上级古代精灵石: 防御,,,2000,90036,1,4400,90036,1,7000,90036,1,,,,,,
205,高级古代精灵石: 防御,,,2000,90037,1,4400,90037,1,7000,90037,1,,,,,,
401,最低级古代精灵石: 饰品,,,2000,90039,1,4400,90039,1,7000,90039,1,,,,,,
402,低级古代精灵石: 饰品,,,2000,90040,1,4400,90040,1,7000,90040,1,,,,,,
403,中级古代精灵石: 饰品,,,2000,90041,1,4400,90041,1,7000,90041,1,,,,,,
404,中上级古代精灵石: 饰品,,,2000,90042,1,4400,90042,1,7000,90042,1,,,,,,
405,高级古代精灵石: 饰品,,,2000,90043,1,4400,90043,1,7000,90043,1,,,,,,
1001,光之平凡头盔,90024,1,1250,201021,1,,,,,,,,,,,,
1002,光之平凡铠甲,90024,1,1250,201022,1,,,,,,,,,,,,
1003,光之平凡手套,90024,1,1250,201023,1,,,,,,,,,,,,
1004,光之平凡腰带,90024,1,1250,201024,1,,,,,,,,,,,,
1005,光之平凡鞋子,90024,1,1250,201025,1,,,,,,,,,,,,
1006,光之平凡披风,90024,1,1250,201026,1,,,,,,,,,,,,
1011,光之时髦头盔,90063,1,2000,201031,1,,,,,,,,,,,,
1012,光之时髦铠甲,90063,1,2000,201032,1,,,,,,,,,,,,
1013,光之时髦手套,90063,1,2000,201033,1,,,,,,,,,,,,
1014,光之时髦腰带,90063,1,2000,201034,1,,,,,,,,,,,,
1015,光之时髦鞋子,90063,1,2000,201035,1,,,,,,,,,,,,
1016,光之时髦披风,90063,1,2000,201036,1,,,,,,,,,,,,
1101,(人类)普通的火之头盔,90024,1,1250,201051,1,,,,,,,,,,,,
1102,(人类)普通的火之铠甲,90024,1,1250,201052,1,,,,,,,,,,,,
1103,(人类)普通的火之手套,90024,1,1250,201053,1,,,,,,,,,,,,
1104,(人类)普通的火之腰带,90024,1,1250,201054,1,,,,,,,,,,,,
1105,(人类)普通的火之鞋子,90024,1,1250,201055,1,,,,,,,,,,,,
1106,(人类)普通的火之披风,90024,1,1250,201056,1,,,,,,,,,,,,
1111,(人类)时髦的的火之头盔,90063,1,2000,201061,1,,,,,,,,,,,,
1112,(人类)时髦的的火之铠甲,90063,1,2000,201062,1,,,,,,,,,,,,
1113,(人类)时髦的的火之手套,90063,1,2000,201063,1,,,,,,,,,,,,
1114,(人类)时髦的的火之腰带,90063,1,2000,201064,1,,,,,,,,,,,,
1115,(人类)时髦的的火之鞋子,90063,1,2000,201065,1,,,,,,,,,,,,
1116,(人类)时髦的的火之披风,90063,1,2000,201066,1,,,,,,,,,,,,
10001,普通的暗之头盔,90024,1,1250,202021,1,,,,,,,,,,,,
10002,普通的暗之铠甲,90024,1,1250,202022,1,,,,,,,,,,,,
10003,普通的暗之手套,90024,1,1250,202023,1,,,,,,,,,,,,
10004,普通的暗之腰带,90024,1,1250,202024,1,,,,,,,,,,,,
10005,普通的暗之鞋子,90024,1,1250,202025,1,,,,,,,,,,,,
10006,普通的暗之披风,90024,1,1250,202026,1,,,,,,,,,,,,
10011,时髦的暗之头盔,90063,1,2000,202031,1,,,,,,,,,,,,
10012,时髦的暗之铠甲,90063,1,2000,202032,1,,,,,,,,,,,,
10013,时髦的暗之手套,90063,1,2000,202033,1,,,,,,,,,,,,
10014,时髦的暗之腰带,90063,1,2000,202034,1,,,,,,,,,,,,
10015,时髦的暗之鞋子,90063,1,2000,202035,1,,,,,,,,,,,,
10016,时髦的暗之披风,90063,1,2000,202036,1,,,,,,,,,,,,
10101,(兽族)普通的冰之头盔,90024,1,1250,202051,1,,,,,,,,,,,,
10102,(兽族)普通的冰之铠甲,90024,1,1250,202052,1,,,,,,,,,,,,
10103,(兽族)普通的冰之手套,90024,1,1250,202053,1,,,,,,,,,,,,
10104,(兽族)普通的冰之腰带,90024,1,1250,202054,1,,,,,,,,,,,,
10105,(兽族)普通的冰之鞋子,90024,1,1250,202055,1,,,,,,,,,,,,
10106,(兽族)普通的冰之披风,90024,1,1250,202056,1,,,,,,,,,,,,
10111,(兽族)时髦的冰之头盔,90063,1,2000,202061,1,,,,,,,,,,,,
10112,(兽族)时髦的冰之铠甲,90063,1,2000,202062,1,,,,,,,,,,,,
10113,(兽族)时髦的冰之手套,90063,1,2000,202063,1,,,,,,,,,,,,
10114,(兽族)时髦的冰之腰带,90063,1,2000,202064,1,,,,,,,,,,,,
10115,(兽族)时髦的冰之鞋子,90063,1,2000,202065,1,,,,,,,,,,,,
10116,(兽族)时髦的冰之披风,90063,1,2000,202066,1,,,,,,,,,,,,
