TID,Comment,EngName,LocalName,Type,Kind,Property,Level,Grade,Race,Gender,LimitLevel,LimitSTR,LimitCON,LimitWIS,LimitMEN,LimitAgility,LimitMainWeapon,LimitFamePointTID,ReqWeaponLevel,PenaltyRate,Area,PowerRangeMax,RelativeClass,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,SetTID,CoolTime,UseSkillTID,LearnSkillTID,SocketTID,Socket,CashSocket,RecipeTID,EnchantTID,EnchantStepMax,SeedOption,Cash,SpecialTID,SpecialValue,AlchemyValue,AlchemyTID,MixTID,BreakTID,BoxTID,QuestTID,SalePrice,PurchasePrice,SaleFamePoint,PurchaseFamePoint,ReqMedalKind,SaleMedal,PurchaseMedal,ItemRestrict,StackCount,MaxCount,Consume,BindType,UnBindCount,Stoppable,MaxDurability,MinDurability,Crash,DecreationDurability,Repairable,ItemMeshLeft,ItemMeshRight,ItemMeshScale,UseEffect,UseSound,TreeDeps_01,TreeDeps_02,ItemIcon,EngDesc,LocalDesc
TID,私用,英文名(32字),韩字名(32字),类型,种类,属性,道具等级,等级,种族限制,性别限制,等级限制,力量限制,材料限制,技能限制,精神力的限制,敏捷的限制,主武器限制,名望点数限制,需要武器熟练度等级,惩罚,可使用的靴子域,最大攻击距离,能力值相对值无,力量,体力,智能,精神力,敏捷,HP固定上升,HP恢复量,HP 额外回复量,MP固定上升,MP恢复量,MP 额外回复量,最小物理攻击,最大物理攻击,最小魔法攻击,最大魔法攻击,物理防御度,魔法防御度,火属性抗性,水属性抗性,空气阻力属性,土地属性抵抗,命中度,回避度,伤害减少度,致命度,无视防御攻击,PvP攻击力,PvP防御力,攻击速度,移动速度,施法速度,套装 TID,道具冷却时间,使用技能 TID,学习技能 TID,插槽 TID,插槽数,古代插槽数,食谱 TID,强化计算,最大强化阶段,种子选项,缓存道具,特别号码(41=背包扩展 ，42 =仓库包的扩展),特殊值,炼金术的价值,炼金术 TID 号码,组合 TID,分解 TID,箱子 TID,任务 TID 引用,售价,购价,名望销售价格,名望购买价格,购买/销售 奖章类型,销售奖牌数量,购买奖牌数量,道具限制,每列数,最大数量,道具是否消耗,归属配置,归属解除可能次数,是否可以停止,最大耐久度,最大耐久度减少限制值,耐久度为0时 道具戴穆里申/无,减少维修的最大耐久度值,修理可能/无,物品文件(64字),道具文件(64字),装备武器的尺寸, 使用物品效果, 使用物品的,拍卖树按钮1号,拍卖树按钮2号,图标号,英文物品描述(256字),韩字 下载的物品说明(256字)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,CBwString,CBwString,CBwString,U8,U8,U8,U8,U8,U8:v,U8,U8,U16,U16,U16,U16,U16,U8:v,U8,U8,U8,U32,U16,U8,U8,U8,U8,U8,U8,S32,S32,S32,S32,S32,S32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U16,U16,U16,U16,U16,F32,F32,U16,U16,U16,U16,U32,U32,U32,U32,U8,U8,U32,U16,U8,U16,U8,U16,S64,U16,U32,U32,U32,U16,U32,U32,U32,U32,U32,U8,U32,U32,U32,U32,U32,U8,U8,U8,U8,U16,U16,U8,U8,U8,string:v,string:v,F32,CBwString,string,U8,U8,U32,CBwString,CBwString
1,,ITM_Name_000001,测试防具(提示测试),1,1,0,2,5,3,0,2,2,3,4,5,6,,0,20,0,0,0,0,2,2,2,2,2,30,5,0,50,10,0,5,10,15,20,4,3,0,0,0,0,2,3,4,5,6,0,0,7,8,0,0,0,0,0,0,5,1,0,12700,15,0,0,0,,,,0,0,0,0,16,160,100,0,0,0,0,15,0,0,0,0,0,0,48,10,0,10,1,p_h_01_i_m_helm_lod.nif,p_h_01_i_f_helm_lod.nif,,,,99,0,1,ITM_Desc_000001,说明:测试用者1阶段头盔A
2,,ITM_Name_000002,艾林河鞋(更快速),1,5,0,1,5,1|3,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,23500,15,0,0,0,,,,0,0,0,0,3,30,0,100,0,0,0,15,0,0,0,2,0,0,39,0,0,0,1,p_h_05_c_m_foot_lod.nif|p_d_05_c_m_foot_lod.nif,p_h_05_c_f_foot_lod.nif|p_d_05_c_f_foot_lod.nif,,,,99,0,11204,ITM_Desc_000002,说明:萨姆迪达斯在通风桥上送风.
3,,ITM_Name_000003,戴穆里申鞋(更快速),1,5,0,1,0,2|4,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,23500,3,0,0,0,,,,0,0,0,0,5,50,0,0,0,0,0,15,0,0,0,0,0,0,45,0,0,0,1,p_m_05_c_m_foot_lod.nif|p_o_05_c_m_foot_lod.nif,p_m_05_c_f_foot_lod.nif|p_o_05_c_f_foot_lod.nif,,,,99,0,11204,ITM_Desc_000003,说明:萨姆迪达斯在通风桥上送风.
4, 通用,ITM_Name_000004,一千万生命戒指,2,2,0,1,2,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,2,0,0,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,11201,0,0,5,50,0,0,0,0,0,15,0,0,0,2,5,0,37,0,0,0,1,,,,,,3,2,18004,ITM_Desc_000004,说明:体力王戒指
5, 通用,ITM_Name_000005,五百万生命戒指,2,2,0,1,2,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,2,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,11201,0,0,5,50,0,0,0,0,0,15,0,0,0,2,5,0,37,0,0,0,1,,,,,,3,2,18004,ITM_Desc_000005,说明:体力王戒指
6, 通用,ITM_Name_000006,两百万生命戒指,2,2,0,1,2,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,2,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,11201,0,0,5,50,0,0,0,0,0,15,0,0,0,2,5,0,37,0,0,0,1,,,,,,3,2,18004,ITM_Desc_000006,说明:体力王戒指
7, 通用,ITM_Name_000007,攻速+400,2,2,0,1,2,0,0,1,0,0,0,0,0,,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,1,0,0,29800,10,0,0,0,,,,0,11201,0,0,5,50,0,0,0,0,0,15,0,0,0,2,0,0,37,0,0,0,1,,,,,,3,2,18004,ITM_Desc_000007,说明:给爱人礼物戒指……看起来比较结实.两个人共同使用的话可以使愤怒值快速地上升.
8, 通用,ITM_Name_000008,攻速+500,2,2,0,1,2,0,0,1,0,0,0,0,0,,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,1,0,0,29800,10,0,0,0,,,,0,11201,0,0,5,50,0,0,0,0,0,15,0,0,0,2,0,0,37,0,0,0,1,,,,,,3,2,18004,ITM_Desc_000008,说明:给爱人礼物戒指……看起来比较结实.两个人共同使用的话可以使愤怒值快速地上升.
9, 通用,ITM_Name_000009,攻速+600,2,2,0,1,2,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,1,0,0,29800,10,0,0,0,,,,0,11201,0,0,5,50,0,0,0,0,0,15,0,0,0,2,0,0,37,0,0,0,1,,,,,,3,2,18004,ITM_Desc_000009,说明:给爱人礼物戒指……看起来比较结实.两个人共同使用的话可以使愤怒值快速地上升.
10, 通用,ITM_Name_000010,攻速+700,2,2,0,1,2,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100000,100000,100000,100000,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,1,0,0,29800,10,0,0,0,,,,0,11201,0,0,5,50,0,0,0,0,0,15,0,0,0,2,0,0,37,0,0,0,1,,,,,,3,2,18004,ITM_Desc_000010,说明:给爱人礼物戒指……看起来比较结实.两个人共同使用的话可以使愤怒值快速地上升.
11, 通用,ITM_Name_000011,发光的潜力项链,2,1,0,1,2,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,2,319,0,0,319,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28000,10,0,0,0,,,,0,10201,0,0,5,50,0,0,0,0,0,15,0,0,0,2,0,0,37,0,0,0,1,,,,,,3,1,19004,ITM_Desc_000011,说明:想感受索洛的潜力吗?
12, 通用,ITM_Name_000012,顶级生命药水,4,0,0,30,5,0,0,30,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70053,0,0,0,0,0,0,15,0,0,0,,,,0,0,0,0,4500,45000,0,0,0,0,0,15,99,0,1,0,0,0,0,0,0,0,0,,,,50_001,,99,0,23003,ITM_Desc_000012,说明:自己的生命恢复479.
13, 通用,ITM_Name_000013,顶级魔法药物,4,0,0,30,3,0,0,30,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71053,0,0,0,0,0,0,15,0,0,0,,,,0,0,0,0,1800,18000,0,0,0,0,0,15,99,0,1,0,0,0,0,0,0,0,0,,,,50_001,,99,0,23013,ITM_Desc_000013,说明:自己的魔法恢复208.
14, GM物品,ITM_Name_000014,隐身药水,4,0,0,1,5,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231021,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,5,50,0,0,0,0,0,15,99,0,1,0,0,0,0,0,0,0,0,,,,50_001,,99,0,43508,ITM_Desc_000014,说明:GM是永远消失的魔药
15, GM物品,ITM_Name_000015,解除隐身药水,4,0,0,1,5,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231022,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,5,50,0,0,0,0,0,15,99,0,1,0,0,0,0,0,0,0,0,,,,50_001,,99,0,43503,ITM_Desc_000015,说明:GM从天空云彩中降落
16, 通用,ITM_Name_000016,发光的熟练者的项链,2,1,0,1,2,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,2,218,0,0,218,0,0,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28000,10,0,0,0,,,,0,10201,0,0,5,50,0,0,0,0,0,15,0,0,0,0,0,0,37,0,0,0,1,,,,,,3,1,19004,ITM_Desc_000016,说明:项链
