TID,Race,Level,Exp,TotalExp,AcquisitionStatPoint,ResetStatPoint,HP,MP,HPRBuff,MPRBuff,DP,BP,AP
人物号码,种族,等级,下级经验值,综合经验值,获得积分点,积分重置,HP增加量,MP增加量,HP 追加回复量,MP 追加回复量,躲闪度增加量,拦截度增加量,命中度增加量
1,1,1,1,1,1,1,1,1,1,1,1,1,1
U16,U8,U8,S64,S64,U8,U8,S32,S32,S32,S32,U8,U8,U8
1,1,1,7200,7200,0,0,0,0,0,0,0,0,0
2,1,2,11200,18400,2,2,50,35,0,0,0,0,0
3,1,3,16600,35000,2,4,100,70,0,0,0,0,0
4,1,4,23300,58300,2,6,150,105,0,0,0,0,0
5,1,5,31600,89900,2,8,200,140,0,0,0,0,0
6,1,6,41600,131500,2,10,250,175,0,0,0,0,0
7,1,7,53500,185000,2,12,300,210,0,0,0,0,0
8,1,8,67400,252400,2,14,350,245,0,0,0,0,0
9,1,9,108000,360400,2,16,400,280,0,0,0,0,0
10,1,10,158100,518500,2,18,450,315,0,0,0,0,0
11,1,11,223900,742400,2,20,500,350,0,0,0,0,0
12,1,12,308500,1050900,2,22,550,385,0,0,0,0,0
13,1,13,414900,1465800,2,24,600,420,0,0,0,0,0
14,1,14,546800,2012600,2,26,650,455,0,0,0,0,0
15,1,15,707800,2720400,2,28,700,490,0,0,0,0,0
16,1,16,902000,3622400,2,30,750,525,0,0,0,0,0
17,1,17,1133700,4756100,2,32,800,560,0,0,0,0,0
18,1,18,1407500,6163600,2,34,850,595,0,0,0,0,0
19,1,19,1728000,7891600,2,36,900,630,0,0,0,0,0
20,1,20,2100400,9992000,2,38,950,665,0,0,0,0,0
21,1,21,2530000,12522000,2,40,1000,700,0,0,0,0,0
22,1,22,3022300,15544300,2,42,1050,735,0,0,0,0,0
23,1,23,3583200,19127500,2,44,1100,770,0,0,0,0,0
24,1,24,4218800,23346300,2,46,1150,805,0,0,0,0,0
25,1,25,4935300,28281600,2,48,1200,840,0,0,0,0,0
26,1,26,5739600,34021200,2,50,1250,875,0,0,0,0,0
27,1,27,6638300,40659500,2,52,1300,910,0,0,0,0,0
28,1,28,7638600,48298100,2,54,1350,945,0,0,0,0,0
29,1,29,8748000,57046100,2,56,1400,980,0,0,0,0,0
30,1,30,9974000,67020100,2,58,1450,1015,0,0,0,0,0
31,1,31,10246320,77266420,2,60,1500,1050,0,0,0,0,0
32,1,32,10534420,87800840,2,62,1550,1085,0,0,0,0,0
33,1,33,11334904,99135744,2,64,1600,1120,0,0,0,0,0
34,1,34,12010368,111146112,2,66,1650,1155,0,0,0,0,0
35,1,35,15268700,126414812,2,68,1700,1190,0,0,0,0,0
36,1,36,22118400,148533212,2,70,1750,1225,0,0,0,0,0
37,1,37,26449140,174982352,2,72,1800,1260,0,0,0,0,0
38,1,38,31365900,206348252,2,74,1850,1295,0,0,0,0,0
