TID,WorldTID,MapX,MapY,SectorCountX,SectorCountY,LevelName,Desc,Path
分离器,世界地图TID,地图X号码,地图Y号码,扇形区X个数,扇形区Y个数,韩文名,说明,文件位置
2,,,,,,,,
U32,U32,U32,U32,U32,U32,CBwString,CBwString,string
1,1,0,0,,,人物生成(高级),完成,Terrain/Loginfield/Create_Amihigh/
2,2,0,0,,,人物生成(删除),完成,Terrain/Loginfield/Create_Demolition/
3,3,0,0,,,人物选择(高级),完成,Terrain/Loginfield/Select_Amihigh/
4,4,0,0,,,人物选择(删除),完成,Terrain/Loginfield/Select_Demolition/
5,10000,0,0,,,测试地图,完成,Terrain/TestMap/
6,10001,0,0,,,人物工具,完成,Terrain/ModelTool/
7,10002,0,0,,,测试用场地,完成,Terrain/InstanceDungeon/Test_Dungeon/
8,10003,0,0,,,GM 地图,完成,Terrain/BattleField/Occupation/
9,10004,0,0,,,等级设计专用(再装订),完成,Terrain/TestMap01/
10,10005,0,0,,,等级设计专用(汇总),完成,Terrain/TestMap02/
11,3000,0,0,,,地下城场地,完成,Terrain/Dungeonfield/Aimhigh/Forest/
12,3001,0,1,,,地下城场地闲置,,Terrain/Dungeonfield/Aimhigh/300_206/
13,3002,1,0,,,地下城场地闲置,,Terrain/Dungeonfield/Aimhigh/301_205/
14,3003,1,1,,,地下城场地闲置,,Terrain/Dungeonfield/Aimhigh/301_206/
15,2000,0,0,,,背景定制,测试地图,Terrain/worldfield/000_000/
16,2000,0,1,,,,,Terrain/worldfield/000_001/
17,2000,0,2,,,,,Terrain/worldfield/000_002/
18,2000,0,3,,,,,Terrain/worldfield/000_003/
19,2000,0,4,,,,,Terrain/worldfield/000_004/
20,2000,0,5,,,,,Terrain/worldfield/000_005/
21,2000,0,6,,,,,Terrain/worldfield/000_006/
22,2000,0,7,,,,,Terrain/worldfield/000_007/
23,2000,0,8,,,,,Terrain/worldfield/000_008/
24,2000,0,9,,,,,Terrain/worldfield/000_009/
25,2000,0,10,,,,,Terrain/worldfield/000_010/
26,2000,0,11,,,,,Terrain/worldfield/000_011/
27,2000,0,12,,,,,Terrain/worldfield/000_012/
28,2000,0,13,,,,,Terrain/worldfield/000_013/
29,2000,0,14,,,,,Terrain/worldfield/000_014/
30,2000,0,15,,,,,Terrain/worldfield/000_015/
31,2000,0,16,,,,,Terrain/worldfield/000_016/
32,2000,0,17,,,,,Terrain/worldfield/000_017/
33,2000,1,0,,,,,Terrain/worldfield/001_000/
34,2000,1,1,,,,,Terrain/worldfield/001_001/
35,2000,1,2,,,,,Terrain/worldfield/001_002/
36,2000,1,3,,,,,Terrain/worldfield/001_003/
37,2000,1,4,,,,,Terrain/worldfield/001_004/
38,2000,1,5,,,,,Terrain/worldfield/001_005/
39,2000,1,6,,,,,Terrain/worldfield/001_006/
40,2000,1,7,,,,,Terrain/worldfield/001_007/
41,2000,1,8,,,,,Terrain/worldfield/001_008/
42,2000,1,9,,,,,Terrain/worldfield/001_009/
43,2000,1,10,,,,,Terrain/worldfield/001_010/
44,2000,1,11,,,,,Terrain/worldfield/001_011/
45,2000,1,12,,,,,Terrain/worldfield/001_012/
46,2000,1,13,,,,,Terrain/worldfield/001_013/
47,2000,1,14,,,,,Terrain/worldfield/001_014/
48,2000,1,15,,,,,Terrain/worldfield/001_015/
49,2000,1,16,,,,,Terrain/worldfield/001_016/
50,2000,1,17,,,,,Terrain/worldfield/001_017/
51,2000,2,0,,,,,Terrain/worldfield/002_000/
52,2000,2,1,,,,,Terrain/worldfield/002_001/
53,2000,2,2,,,,,Terrain/worldfield/002_002/
54,2000,2,3,,,,,Terrain/worldfield/002_003/
55,2000,2,4,,,,,Terrain/worldfield/002_004/
56,2000,2,5,,,,,Terrain/worldfield/002_005/
