TID,Type,TypeCondition,MinLV,MaxLV,Race,EngContents,LocalContents,EngDesc,LocalDesc
"共五种要素构成, 第一种--1:瞄准高处 2:摧毁, 第二种--1:问候 2:技能题目 3:流言, 第三~五种:一系列号码",1000: 问候 1001:寻求 1002:想知道的点 1003:返回 1004:无可用物品 1005:信件清单/信件内容 1:商店 2:竞买 3:强化 4:仓库 5:精灵石 6:塑料（未使用） 7:修复 8:公会 9:投注(未使用) 10:分解 11:生产 12:魔力 19:战斗机20: 治疗 22: 组合,8-1:公会建立 8-2:公会标志 8-3: 公会仓库 8-4:公会捐赠 8-5:公会等级上升 8-6: 公会解散 5-1:精灵石安装 5-2:精灵石去除,,,,英文内容,韩文内容,英文说明,韩文说明
2,,,,因为50级以上基本代谢不会出来所以把99级都引入了.,,,,,
U16,U16,U16,U8,U8,U8,CBwString,CBwString:v,CBwString,CBwString:v
1,1005,0,0,0,0,NDT_Contents_000001,关闭,NDT_Desc_000001,
2,1004,0,0,0,0,NDT_Contents_000002,我想聊点别的话题.,NDT_Desc_000002,
10,1001,0,0,0,0,NDT_Contents_000003,寻求,NDT_Desc_000003,
101,1001,0,0,0,0,NDT_Contents_000004,寻求,NDT_Desc_000004,
102,1002,0,0,0,0,NDT_Contents_000005,想要知道的,NDT_Desc_000005,
103,1003,1,0,0,0,NDT_Contents_000006,关于制作方法,NDT_Desc_000006,"通过 W,A,S,D键来完成移动./n/n技能可以通过按快捷键K然后把图标拉到插槽内即可注册./n/n发现敌人可通过双击鼠标左键或单击右键来攻击目标."
104,1003,2,0,0,0,NDT_Contents_000007,关于找寻测试,NDT_Desc_000007,npc头上的感叹号是任务标识./n/n仔细阅读任务内容并进行任务后，找到头上有问号的npc领取奖赏.
105,1,0,0,0,0,NDT_Contents_000008,购买,NDT_Desc_000008,
106,2,0,0,0,0,NDT_Contents_000009,竞买,NDT_Desc_000009,
107,8,0,0,0,0,NDT_Contents_000010,银行(未使用),NDT_Desc_000010,
108,6,0,0,0,0,NDT_Contents_000011,塑料（未使用）,NDT_Desc_000011,
109,11,0,0,0,0,NDT_Contents_000012,物品制作,NDT_Desc_000012,
110,8,1,0,0,0,NDT_Contents_000013,公会创建,NDT_Desc_000013,
111,8,2,0,0,0,NDT_Contents_000014,公会标志(未使用),NDT_Desc_000014,
112,8,3,0,0,0,NDT_Contents_000015,公会 仓库,NDT_Desc_000015,
113,8,4,0,0,0,NDT_Contents_000016,公会 捐赠(未使用),NDT_Desc_000016,
114,8,5,0,0,0,NDT_Contents_000017,公会升级,NDT_Desc_000017,
115,8,6,0,0,0,NDT_Contents_000018,公会解散,NDT_Desc_000018,
116,19,0,0,0,0,NDT_Contents_000019,战斗机,NDT_Desc_000019,
117,4,0,0,0,0,NDT_Contents_000020,仓库,NDT_Desc_000020,
118,14,0,0,0,0,NDT_Contents_000021,技能培训师(未使用),NDT_Desc_000021,
119,7,0,0,0,0,NDT_Contents_000022,修复,NDT_Desc_000022,
120,16,0,0,0,0,NDT_Contents_000023,武器威力升级(未使用),NDT_Desc_000023,
121,10,0,0,0,0,NDT_Contents_000024,物品分解,NDT_Desc_000024,
122,3,0,0,0,0,NDT_Contents_000025,物品强化,NDT_Desc_000025,
123,5,0,0,0,0,NDT_Contents_000026,精灵石组装/拆除,NDT_Desc_000026,
124,5,1,0,0,0,NDT_Contents_000027,精灵石安装,NDT_Desc_000027,
125,5,2,0,0,0,NDT_Contents_000028,精灵石去除,NDT_Desc_000028,
126,20,0,0,0,0,NDT_Contents_000029,治疗,NDT_Desc_000029,
127,22,0,0,0,0,NDT_Contents_000030,组合,NDT_Desc_000030,
1001,1000,0,1,99,0,NDT_Contents_000031,以光的名义来祈祷祝福！真的好久未见了. $Getname()大人.,NDT_Desc_000031,
5001,1003,1,0,0,0,NDT_Contents_000032,物品分解,NDT_Desc_000032," <TC '0:0:255' Text'分解' />武器,防御,饰品都可以. 分解3个iterm最多可获得3个 <TC '160:10:0' Text'强化,奖金' />!被吓到了吗?/通过n /n<TC '0:0:255' Text'一般分解' />获得低换率 <TC '160:10:0' Text'强化' /> ,通过 <TC '0:0:255' Text'高级分解' />不仅可以获得与强化相关的iterm，还可以额外获得炼金术所需要的<TC '160:10:0' Text'人工斯皮托德之石' />. 使用<TC '0:0:255' Text'特殊分解' />可以实现与强化相关的 <TC '160:10:0' Text'极大化' /> ./n /n更大的惊喜，把31级以上的特殊等级特殊分解的话，能获得升级的<TC '160:10:0' Text'艾尔利克之书' />. 不过, 会消耗更多的币哦./n /n对了. 不要忘了要空出3格以上的存货哦~!"
5002,1003,1,0,0,0,NDT_Contents_000033,物品制作,NDT_Desc_000033,"可通过各种材料造出 <TC '0:0:255' Text'制作' />.制作可以出武器,防御, 饰品, 药品等. /n /n在模式商人那里购买 <TC '160:10:0' Text'模式' />. 学习了模式就可以制作iterm. 如果想要制作想要的iterm的话, 需要经验和材料 . /n /n经验可以通过按<TC '160:10:0' Text'c' />，点击 <TC '160:10:0' Text'特技' />来查看."
5003,1003,1,0,0,0,NDT_Contents_000034,公会,NDT_Desc_000034," <TC '0:0:255' Text'公会' />是有共同爱好的人的集体. /n /n支付一定的币可以 <TC '160:10:0' Text'公会创建' />. 新公会成员可通过 <TC '160:10:0' Text'o' />来确认./n /n召集成员，支付币可以提升 <TC '160:10:0' Text'公会成员等级' />. 如果成员数未达到一定数量, 高就无法升级公会等级. 一个人管理公会很困难的话, 可通过公会名单向成员们传达 <TC '160:10:0' Text'称呼,权利' />来管理. 作为创建者好好做到<TC '160:10:0' Text'公告事项, 权限管理' />公会才会更活泼./n /n创建者除此之外还可管理<TC '160:10:0' Text'公会首页' /> 和 <TC '160:10:0' Text'公会标志' />. 创建者还可以<TC '160:10:0' Text'我的信息' />向其他人展示自己信息，也可以做到<TC '160:10:0' Text'退出公会' />."
5004,1003,1,0,0,0,NDT_Contents_000035,竞买场,NDT_Desc_000035,<TC'0：0：255“文字拍卖”/>您可以购买和出售的商品到别这样，在营9分钟所有<TC'160：10：0“text”搜索项目“/>即可。日<TC'160：10：0“text”卖出“/>是可以包括累积的最大数量<TC'160：10：0”Text'5狗'/>和<TC'160：10： 0'text'在晚上12点后，你可以在5重新登记“/>。然而，<TC'160：10：0“text”卖小时工“/>请注意，费用有所不同由金妮的优势。销售登记项目<TC'160：10：0“text”单独的选项卡菜单中的“/>办理入住手续的。而那些不出售的物品和销售结算金额<TC'160：10：0“text”结算“/>您可以点击按钮接受。与拍卖行立即进入库存采购项目，请空了一个完整的清单。
5005,1003,1,0,0,0,NDT_Contents_000036,契约之环,NDT_Desc_000036,<TC'0：0：255“魔戒text协议160：10：0”/>是一种武器，铠甲，以辅助设备<textTC“：100160''来安装<TC元素石”/>““text”的能力，给予“/>，指出。每个设备<TC'160：10：0“text”的独特槽“/>可配备多达元素石，插槽的最大数量为五个。根据需要配备藏元素石的实时个性。您可以打猎。然而，付款必须配备独立的geldeu，如果你失败了，你失去的元素石。 <TC'160：10：0“text”先进的添加剂“/>如果你把它可能会增加你的机会，所以不要担心。相反，除去元素斯通的成功，没有失败的概率为100％。
5006,1003,1,0,0,0,NDT_Contents_000037,魔力,NDT_Desc_000037,游戏中获得的延性书和斯皮托德之石可以 <TC '0:0:255' Text'炼金术' />烧. 神奇的是，能够随机决定<TC'160：10：0“的text元素石”/>，<TC'160：10：0“text”升级石“/>。但是，请注意，当你的收费需要一个灵活的./n为了获得升级石元素石，通常有打猎，但<TC'0：0：255“text”炼金术“/>您可以打通。如果资金的保证金，眼看着挑战炼金术得到最好的结果？?
5007,1003,1,0,0,0,NDT_Contents_000038,强化,NDT_Desc_000038, iterm可通过<TC '0:0:255' Text'强化' />来提升./ n / n功能，对于每种类型的功能是不同的，基本上是提升攻击力的武器，防具。但是有加强-1下降，复位，当挑战的可能性，所以挑战时要谨慎./n/ n可怕的失败强化分钟的时候，<TC'160：10：0“text”的概率上升项“/>。如果成功的概率是奠定入住分钟的爬升收到的女神./n/ n运气的眷顾，这将是大陆的最好的iterm。
10000,1000,0,1,99,0,NDT_Contents_000039,请进.您要用莫亚欧新信誉分来交换物品吗?,NDT_Desc_000039,
10001,1000,0,1,99,0,NDT_Contents_000040,欢饮您. 英穆海的技师.,NDT_Desc_000040,
10003,1000,0,1,99,0,NDT_Contents_000041,补给慢慢变得困难了. 真是出大事了呢.,NDT_Desc_000041,
10005,1000,0,1,99,0,NDT_Contents_000042,"我是克里斯, 正在为第一派遣军收集情报.",NDT_Desc_000042,
10007,1000,0,1,99,0,NDT_Contents_000043,请进. 无论是谁，欢迎所有能帮助我们的人.,NDT_Desc_000043,
10009,1000,0,1,99,0,NDT_Contents_000044,"箭塔村的危机正根据哥布林的势力扩张在调节. /n /n在这样的情况下帮助了我们,太感谢您了.",NDT_Desc_000044,
10011,1000,0,1,99,0,NDT_Contents_000045,我们的村子现在都不能称作村子了. 但是即便是要做派遣军的要塞最重要的是活下来.,NDT_Desc_000045,
10013,1000,0,1,99,0,NDT_Contents_000046,因为哥布林势力的扩张和派遣军的进入，这个地方已经成了战场,NDT_Desc_000046,
10015,1000,0,1,99,0,NDT_Contents_000047,无论何时我都会遭遇噩梦. /n /n只要一闭上眼，就会想起杀死父母的哥布林和着火的村子. /n /n谁都好.请把我带离这噩梦吧.,NDT_Desc_000047,
10017,1000,0,1,99,0,NDT_Contents_000048,我是光之使者艾丽卡. 有什么任务给我吗?,NDT_Desc_000048,
10019,1000,0,1,99,0,NDT_Contents_000049,我们格洛丽亚上段绝不会因为客人您的攻击会摧毁冬半分心思/n /n只要有可以换钱的东西就来找我们吧.,NDT_Desc_000049,
10021,1000,0,1,99,0,NDT_Contents_000050,为了英穆海!,NDT_Desc_000050,
10023,1000,0,1,99,0,NDT_Contents_000051,为了英穆海!,NDT_Desc_000051,
10025,1000,0,1,99,0,NDT_Contents_000052,您需要修复的时候请来找我们. /n我们会修得跟新的一样.,NDT_Desc_000052,
10027,1000,0,1,99,0,NDT_Contents_000053,卖村子里生产的杂货. /n有什么需要的吗?,NDT_Desc_000053,
10029,1000,0,1,99,0,NDT_Contents_000054,注意听，有细碎的谈话声. /n /n可能会有小型的袭击.,NDT_Desc_000054,
10031,1000,0,1,99,0,NDT_Contents_000055,(死了没多久的尸体.),NDT_Desc_000055,
10033,1000,0,1,99,0,NDT_Contents_000056,因为哥布林的攻击，补给站倒了.但斯蒂尔布雷斯总部还是没给我们派援兵！,NDT_Desc_000056,
10035,1000,0,1,99,0,NDT_Contents_000057,斯蒂尔布雷斯总部到底在想什么? /n /n难道希望我们都死吗?,NDT_Desc_000057,
10037,1000,0,1,99,0,NDT_Contents_000058,要阻止强哥布林势力的扩张.,NDT_Desc_000058,
10039,1000,0,1,99,0,NDT_Contents_000059,期望光的庇佑. 我是光之寺院派来的弟子克罗艾. /n /n来帮助黛比大人阻止哥布林势力的扩张.,NDT_Desc_000059,
10041,1000,0,1,99,0,NDT_Contents_000060,(渐渐冰凉的迪诺的尸体),NDT_Desc_000060,
10043,1000,0,1,99,0,NDT_Contents_000061,"欢迎来到斯蒂尔布雷斯. /n /n我是杰特,首都防卫军的上校.",NDT_Desc_000061,
