TID,ProductType,Lv,Exp,TotalExp,Comment
人物,生产种类,等级,下个熟练度,总熟练度经验值,企划者用
0,0,0,1,1,0
U16,U8,U8,S64,S64,CBwString
1,1,1,290,290,武器制作 1
2,1,2,290,580,武器制作 2
3,1,3,290,870,武器制作 3
4,1,4,290,1160,武器制作 4
5,1,5,290,1450,武器制作 5
6,1,6,290,1740,武器制作 6
7,1,7,290,2030,武器制作 7
8,1,8,290,2320,武器制作 8
9,1,9,290,2610,武器制作 9
10,1,10,580,3190,武器制作 10
11,1,11,580,3770,武器制作 11
12,1,12,1160,4930,武器制作 12
13,1,13,1160,6090,武器制作 13
14,1,14,1740,7830,武器制作 14
15,1,15,930,8760,武器制作 15
16,1,16,930,9690,武器制作 16
17,1,17,1860,11550,武器制作 17
18,1,18,1860,13410,武器制作 18
19,1,19,2790,16200,武器制作 19
20,1,20,1240,17440,武器制作 20
21,1,21,1240,18680,武器制作 21
22,1,22,2480,21160,武器制作 22
23,1,23,2480,23640,武器制作 23
24,1,24,3720,27360,武器制作 24
25,1,25,1650,29010,武器制作 25
26,1,26,1650,30660,武器制作 26
27,1,27,3300,33960,武器制作 27
28,1,28,3300,37260,武器制作 28
29,1,29,4950,42210,武器制作 29
30,1,30,3318,45528,武器制作 30
31,1,31,3318,48846,武器制作 31
32,1,32,6636,55482,武器制作 32
33,1,33,6636,62118,武器制作 33
34,1,34,9954,72072,武器制作 34
35,1,35,3451,75523,武器制作 35
36,1,36,3451,78974,武器制作 36
37,1,37,6902,85876,武器制作 37
38,1,38,6902,92778,武器制作 38
39,1,39,10353,103131,武器制作 39
40,1,40,4904,108035,武器制作 40
41,1,41,98080,206115,武器制作 41
42,1,42,196160,402275,武器制作 42
43,1,43,392320,794595,武器制作 43
44,1,44,784640,1579235,武器制作 44
45,1,45,1569280,3148515,武器制作 45
46,1,46,2066000,5214515,武器制作 46
47,1,47,2350000,7564515,武器制作 47
48,1,48,2634000,10198515,武器制作 48
49,1,49,3118000,13316515,武器制作 49
50,1,50,4202000,17518515,武器制作 50
51,1,51,4286000,21804515,武器制作 51
52,1,52,4370000,26174515,武器制作 52
53,1,53,4454000,30628515,武器制作 53
54,1,54,4538000,35166515,武器制作 54
55,1,55,4622000,39788515,武器制作 55
257,2,1,243,243,防御武器制作 1
258,2,2,243,486,防御武器制作 2
259,2,3,243,730,防御武器制作 3
260,2,4,243,973,防御武器制作 4
261,2,5,243,1216,防御武器制作 5
262,2,6,243,1459,防御武器制作 6
263,2,7,243,1702,防御武器制作 7
264,2,8,243,1946,防御武器制作 8
265,2,9,243,2189,防御武器制作 9
266,2,10,486,2675,防御武器制作 10
267,2,11,486,3162,防御武器制作 11
268,2,12,486,3648,防御武器制作 12
269,2,13,973,4621,防御武器制作 13
270,2,14,973,5594,防御武器制作 14
271,2,15,1651,7245,防御武器制作 15
272,2,16,2477,9722,防御武器制作 16
273,2,17,2477,12198,防御武器制作 17
274,2,18,2477,14675,防御武器制作 18
275,2,19,2477,17152,防御武器制作 19
276,2,20,1101,18253,防御武器制作 20
277,2,21,1101,19354,防御武器制作 21
278,2,22,1101,20454,防御武器制作 22
279,2,23,2202,22656,防御武器制作 23
280,2,24,2202,24858,防御武器制作 24
281,2,25,3072,27930,防御武器制作 25
282,2,26,4608,32538,防御武器制作 26
283,2,27,4608,37146,防御武器制作 27
284,2,28,4608,41754,防御武器制作 28
285,2,29,4608,46362,防御武器制作 29
286,2,30,2803,49165,防御武器制作 30
287,2,31,2803,51968,防御武器制作 31
288,2,32,2803,54771,防御武器制作 32
289,2,33,5606,60378,防御武器制作 33
290,2,34,5606,65984,防御武器制作 34
291,2,35,7437,73421,防御武器制作 35
292,2,36,11155,84576,防御武器制作 36
293,2,37,11155,95731,防御武器制作 37
294,2,38,11155,106886,防御武器制作 38
295,2,39,11155,118042,防御武器制作 39
296,2,40,4250,122291,防御武器制作 40
297,2,41,85000,207289,防御武器制作 41
298,2,42,170000,377289,防御武器制作 42
299,2,43,340000,717289,防御武器制作 43
300,2,44,680000,1397289,防御武器制作 44
301,2,45,1360000,2757289,防御武器制作 45
302,2,46,2066000,4823289,防御武器制作 46
303,2,47,2350000,7173289,防御武器制作 47
304,2,48,2634000,9807289,防御武器制作 48
305,2,49,3118000,12925289,防御武器制作 49
306,2,50,4202000,17127289,防御武器制作 50
307,2,51,4286000,21413289,防御武器制作 51
308,2,52,4370000,25783289,防御武器制作 52
309,2,53,4454000,30237289,防御武器制作 53
310,2,54,4538000,34775289,防御武器制作 54
311,2,55,4622000,39397289,防御武器制作 55
513,3,1,156,156,食物制作 1
514,3,2,156,313,食物制作 2
515,3,3,156,469,食物制作 3
516,3,4,313,782,食物制作 4
517,3,5,313,1095,食物制作 5
518,3,6,469,1564,食物制作 6
519,3,7,469,2033,食物制作 7
520,3,8,774,2807,食物制作 8
521,3,9,774,3582,食物制作 9
522,3,10,774,4356,食物制作 10
523,3,11,1548,5904,食物制作 11
524,3,12,1548,7452,食物制作 12
525,3,13,2323,9775,食物制作 13
526,3,14,2323,12098,食物制作 14
527,3,15,985,13083,食物制作 15
528,3,16,985,14068,食物制作 16
529,3,17,985,15054,食物制作 17
530,3,18,1971,17024,食物制作 18
531,3,19,1971,18995,食物制作 19
532,3,20,2956,21951,食物制作 20
533,3,21,2956,24907,食物制作 21
534,3,22,1173,26080,食物制作 22
535,3,23,1173,27253,食物制作 23
536,3,24,1173,28426,食物制作 24
537,3,25,2346,30772,食物制作 25
538,3,26,2346,33118,食物制作 26
539,3,27,3519,36637,食物制作 27
540,3,28,3519,40156,食物制作 28
541,3,29,2931,43087,食物制作 29
542,3,30,2931,46018,食物制作 30
543,3,31,2931,48950,食物制作 31
544,3,32,5863,54813,食物制作 32
545,3,33,5863,60675,食物制作 33
546,3,34,8794,69470,食物制作 34
547,3,35,8794,78264,食物制作 35
548,3,36,3268,81531,食物制作 36
549,3,37,3268,84799,食物制作 37
550,3,38,3268,88067,食物制作 38
551,3,39,6535,94602,食物制作 39
552,3,40,6535,101137,食物制作 40
553,3,41,65350,166485,食物制作 41
554,3,42,130700,297185,食物制作 42
555,3,43,261400,558585,食物制作 43
556,3,44,522800,1081385,食物制作 44
557,3,45,1045600,2126985,食物制作 45
558,3,46,2091200,4218185,食物制作 46
559,3,47,2350000,6568185,食物制作 47
560,3,48,2634000,9202185,食物制作 48
561,3,49,3118000,12320185,食物制作 49
562,3,50,4202000,16522185,食物制作 50
563,3,51,4286000,20808185,食物制作 51
564,3,52,4370000,25178185,食物制作 52
565,3,53,4454000,29632185,食物制作 53
566,3,54,4538000,34170185,食物制作 54
567,3,55,4622000,38792185,食物制作 55
769,4,1,494,494,首饰 1
770,4,2,494,988,首饰 2
771,4,3,494,1482,首饰 3
772,4,4,494,1976,首饰 4
773,4,5,494,2470,首饰 5
774,4,6,494,2964,首饰 6
775,4,7,988,3951,首饰 7
776,4,8,988,4939,首饰 8
777,4,9,988,5927,首饰 9
778,4,10,988,6915,首饰 10
779,4,11,988,7903,首饰 11
780,4,12,988,8891,首饰 12
781,4,13,988,9878,首饰 13
782,4,14,2093,11972,首饰 14
783,4,15,4187,16158,首饰 15
784,4,16,4187,20345,首饰 16
785,4,17,6280,26625,首饰 17
786,4,18,6280,32904,首饰 18
787,4,19,2093,34998,首饰 19
788,4,20,2093,37091,首饰 20
789,4,21,3657,40748,首饰 21
790,4,22,3657,44406,首饰 22
791,4,23,5486,49892,首饰 23
792,4,24,5486,55378,首饰 24
793,4,25,1829,57207,首饰 25
794,4,26,1829,59035,首饰 26
795,4,27,3657,62693,首饰 27
796,4,28,5598,68290,首饰 28
797,4,29,8397,76687,首饰 29
798,4,30,11407,88094,首饰 30
799,4,31,3802,91897,首饰 31
800,4,32,3802,95699,首饰 32
801,4,33,7605,103304,首饰 33
802,4,34,7605,110909,首饰 34
803,4,35,11819,122727,首饰 35
804,4,36,11819,134546,首饰 36
805,4,37,3940,138486,首饰 37
806,4,38,3940,142425,首饰 38
807,4,39,7879,150305,首饰 39
808,4,40,7879,158184,首饰 40
809,4,41,78790,236976,首饰 41
810,4,42,157580,394556,首饰 42
811,4,43,315160,709716,首饰 43
812,4,44,630320,1340036,首饰 44
813,4,45,1260640,2600676,首饰 45
814,4,46,2066000,4666676,首饰 46
815,4,47,2350000,7016676,首饰 47
816,4,48,2634000,9650676,首饰 48
817,4,49,3118000,12768676,首饰 49
818,4,50,4202000,16970676,首饰 50
819,4,51,4286000,21256676,首饰 51
820,4,52,4370000,25626676,首饰 52
821,4,53,4454000,30080676,首饰 53
822,4,54,4538000,34618676,首饰 54
823,4,55,4622000,39240676,首饰 55
1025,5,1,33,33,药水制造 1
1026,5,2,33,66,药水制造 2
1027,5,3,66,132,药水制造 3
1028,5,4,66,199,药水制造 4
1029,5,5,99,298,药水制造 5
1030,5,6,99,397,药水制造 6
1031,5,7,132,530,药水制造 7
1032,5,8,132,662,药水制造 8
1033,5,9,166,828,药水制造 9
1034,5,10,331,1159,药水制造 10
1035,5,11,331,1490,药水制造 11
1036,5,12,662,2153,药水制造 12
1037,5,13,662,2815,药水制造 13
1038,5,14,994,3809,药水制造 14
1039,5,15,994,4802,药水制造 15
1040,5,16,1325,6127,药水制造 16
1041,5,17,1325,7452,药水制造 17
1042,5,18,1656,9108,药水制造 18
1043,5,19,1656,10764,药水制造 19
1044,5,20,662,11426,药水制造 20
1045,5,21,662,12089,药水制造 21
1046,5,22,1325,13414,药水制造 22
1047,5,23,1325,14738,药水制造 23
1048,5,24,1987,16726,药水制造 24
1049,5,25,1987,18713,药水制造 25
1050,5,26,2650,21362,药水制造 26
1051,5,27,2650,24012,药水制造 27
1052,5,28,3312,27324,药水制造 28
1053,5,29,3312,30636,药水制造 29
1054,5,30,994,31630,药水制造 30
1055,5,31,994,32623,药水制造 31
1056,5,32,1987,34610,药水制造 32
1057,5,33,1987,36598,药水制造 33
1058,5,34,2981,39578,药水制造 34
1059,5,35,2981,42559,药水制造 35
1060,5,36,3974,46534,药水制造 36
1061,5,37,3974,50508,药水制造 37
1062,5,38,4968,55476,药水制造 38
1063,5,39,4968,60444,药水制造 39
1064,5,40,1325,61769,药水制造 40
1065,5,41,53000,114767,药水制造 41
1066,5,42,106000,220767,药水制造 42
1067,5,43,212000,432767,药水制造 43
1068,5,44,424000,856767,药水制造 44
1069,5,45,848000,1704767,药水制造 45
1070,5,46,2066000,3770767,药水制造 46
1071,5,47,2350000,6120767,药水制造 47
1072,5,48,2634000,8754767,药水制造 48
1073,5,49,3118000,11872767,药水制造 49
1074,5,50,4202000,16074767,药水制造 50
1075,5,51,4286000,20360767,药水制造 51
1076,5,52,4370000,24730767,药水制造 52
1077,5,53,4454000,29184767,药水制造 53
1078,5,54,4538000,33722767,药水制造 54
1079,5,55,4622000,38344767,药水制造 55
1281,6,1,40,40,矿物采集1
1282,6,2,70,110,矿物采集2
1283,6,3,90,200,矿物采集3
1284,6,4,120,320,矿物采集4
1285,6,5,520,840,矿物采集5
1286,6,6,620,1460,矿物采集6
1287,6,7,720,2180,矿物采集7
1288,6,8,820,3000,矿物采集8
1289,6,9,920,3920,矿物采集9
1290,6,10,2020,5940,矿物采集10
1291,6,11,2220,8160,矿物采集11
1292,6,12,2420,10580,矿物采集12
1293,6,13,2620,13200,矿物采集13
1294,6,14,2820,16020,矿物采集14
1295,6,15,4520,20540,矿物采集15
1296,6,16,4820,25360,矿物采集16
1297,6,17,5120,30480,矿物采集17
1298,6,18,5420,35900,矿物采集18
1299,6,19,5720,41620,矿物采集19
1300,6,20,8020,49640,矿物采集20
1301,6,21,8420,58060,矿物采集21
1302,6,22,8820,66880,矿物采集22
1303,6,23,9220,76100,矿物采集23
1304,6,24,9620,85720,矿物采集24
1305,6,25,12520,98240,矿物采集25
1306,6,26,13020,111260,矿物采集26
1307,6,27,13520,124780,矿物采集27
1308,6,28,14020,138800,矿物采集28
1309,6,29,14520,153320,矿物采集29
1310,6,30,18020,171340,矿物采集30
1311,6,31,18620,189960,矿物采集31
1312,6,32,19220,209180,矿物采集32
1313,6,33,19820,229000,矿物采集33
1314,6,34,20420,249420,矿物采集34
1315,6,35,24520,273940,矿物采集35
1316,6,36,25220,299160,矿物采集36
1317,6,37,25920,325080,矿物采集37
1318,6,38,26620,351700,矿物采集38
1319,6,39,27320,379020,矿物采集39
1320,6,40,32020,411040,矿物采集40
1321,6,41,64040,475080,矿物采集41
1322,6,42,128080,603160,矿物采集42
1323,6,43,256160,859320,矿物采集43
1324,6,44,512320,1371640,矿物采集44
1325,6,45,1024640,2396280,矿物采集45
1326,6,46,2066000,4462280,矿物采集46
1327,6,47,2350000,6812280,矿物采集47
1328,6,48,2634000,9446280,矿物采集48
1329,6,49,3118000,12564280,矿物采集49
1330,6,50,4202000,16766280,矿物采集50
1331,6,51,4286000,21052280,矿物采集51
1332,6,52,4370000,25422280,矿物采集52
1333,6,53,4454000,29876280,矿物采集53
1334,6,54,4538000,34414280,矿物采集54
1335,6,55,4622000,39036280,矿物采集55
1537,7,1,60,60,食物采集 1
1538,7,2,100,160,食物采集 2
1539,7,3,140,300,食物采集 3
1540,7,4,180,480,食物采集 4
1541,7,5,220,700,食物采集 5
1542,7,6,260,960,食物采集 6
1543,7,7,300,1260,食物采集 7
1544,7,8,1620,2880,食物采集 8
1545,7,9,1820,4700,食物采集 9
1546,7,10,2020,6720,食物采集 10
1547,7,11,2220,8940,食物采集 11
1548,7,12,2420,11360,食物采集 12
1549,7,13,2620,13980,食物采集 13
1550,7,14,2820,16800,食物采集 14
1551,7,15,5420,22220,食物采集 15
1552,7,16,5780,28000,食物采集 16
1553,7,17,6140,34140,食物采集 17
1554,7,18,6500,40640,食物采集 18
1555,7,19,6860,47500,食物采集 19
1556,7,20,7220,54720,食物采集 20
1557,7,21,7580,62300,食物采集 21
1558,7,22,11460,73760,食物采集 22
1559,7,23,11980,85740,食物采集 23
1560,7,24,12500,98240,食物采集 24
1561,7,25,13020,111260,食物采集 25
1562,7,26,13540,124800,食物采集 26
1563,7,27,14060,138860,食物采集 27
1564,7,28,14580,153440,食物采集 28
1565,7,29,19740,173180,食物采集 29
1566,7,30,20420,193600,食物采集 30
1567,7,31,21100,214700,食物采集 31
1568,7,32,21780,236480,食物采集 32
1569,7,33,22460,258940,食物采集 33
1570,7,34,23140,282080,食物采集 34
1571,7,35,23820,305900,食物采集 35
1572,7,36,30260,336160,食物采集 36
1573,7,37,31100,367260,食物采集 37
1574,7,38,31940,399200,食物采集 38
1575,7,39,32780,431980,食物采集 39
1576,7,40,33620,465600,食物采集 40
1577,7,41,67240,532840,食物采集 41
1578,7,42,134480,528460,食物采集 42
1579,7,43,268960,782840,食物采集 43
1580,7,44,537920,1301020,食物采集 44
1581,7,45,1075840,2356440,食物采集 45
1582,7,46,2066000,4401340,食物采集 46
1583,7,47,2350000,6729560,食物采集 47
1584,7,48,2634000,9341100,食物采集 48
1585,7,49,3118000,12435960,食物采集 49
1586,7,50,4202000,16614140,食物采集 50
1587,7,51,4286000,20869880,食物采集 51
1588,7,52,4370000,25208780,食物采集 52
1589,7,53,4454000,29630840,食物采集 53
1590,7,54,4538000,34136060,食物采集 54
1591,7,55,4622000,38724440,食物采集 55
1793,8,1,40,40,阿泰尔采集 1
1794,8,2,70,110,阿泰尔采集 2
1795,8,3,260,370,阿泰尔采集 3
1796,8,4,340,710,阿泰尔采集 4
1797,8,5,420,1130,阿泰尔采集 5
1798,8,6,860,1990,阿泰尔采集 6
1799,8,7,1000,2990,阿泰尔采集 7
1800,8,8,1140,4130,阿泰尔采集 8
1801,8,9,1820,5950,阿泰尔采集 9
1802,8,10,2020,7970,阿泰尔采集 10
1803,8,11,2220,10190,阿泰尔采集 11
1804,8,12,3140,13330,阿泰尔采集 12
1805,8,13,3400,16730,阿泰尔采集 13
1806,8,14,3660,20390,阿泰尔采集 14
1807,8,15,4820,25210,阿泰尔采集 15
1808,8,16,5140,30350,阿泰尔采集 16
1809,8,17,5460,35810,阿泰尔采集 17
1810,8,18,5780,41590,阿泰尔采集 18
1811,8,19,6100,47690,阿泰尔采集 19
1812,8,20,7620,55310,阿泰尔采集 20
1813,8,21,8000,63310,阿泰尔采集 21
1814,8,22,8380,71690,阿泰尔采集 22
1815,8,23,8760,80450,阿泰尔采集 23
1816,8,24,9140,89590,阿泰尔采集 24
1817,8,25,11020,100610,阿泰尔采集 25
1818,8,26,11460,112070,阿泰尔采集 26
1819,8,27,11900,123970,阿泰尔采集 27
1820,8,28,12340,136310,阿泰尔采集 28
1821,8,29,12780,149090,阿泰尔采集 29
1822,8,30,15020,164110,阿泰尔采集 30
1823,8,31,15520,179630,阿泰尔采集 31
1824,8,32,16020,195650,阿泰尔采集 32
1825,8,33,16520,212170,阿泰尔采集 33
1826,8,34,17020,229190,阿泰尔采集 34
1827,8,35,19620,248810,阿泰尔采集 35
1828,8,36,20180,268990,阿泰尔采集 36
1829,8,37,20740,289730,阿泰尔采集 37
1830,8,38,21300,311030,阿泰尔采集 38
1831,8,39,21860,332890,阿泰尔采集 39
1832,8,40,24820,357710,阿泰尔采集 40
1833,8,41,49640,295280,阿泰尔采集 41
1834,8,42,99280,506630,阿泰尔采集 42
1835,8,43,198560,705190,阿泰尔采集 43
1836,8,44,397120,1102310,阿泰尔采集 44
1837,8,45,794240,1896550,阿泰尔采集 45
1838,8,46,2066000,3962550,阿泰尔采集 46
1839,8,47,2350000,6312550,阿泰尔采集 47
1840,8,48,2634000,8946550,阿泰尔采集 48
1841,8,49,3118000,12064550,阿泰尔采集 49
1842,8,50,4202000,16266550,阿泰尔采集 50
1843,8,51,4286000,20552550,阿泰尔采集 51
1844,8,52,4370000,24922550,阿泰尔采集 52
1845,8,53,4454000,29376550,阿泰尔采集 53
1846,8,54,4538000,33914550,阿泰尔采集 54
1847,8,55,4622000,38536550,阿泰尔采集 55
