TID,Skip,LimitTime,BGM,SceneTID,Comment
寻宝电影, 逃脱可能性（0：可能 -1：不可能）,自动翻页时长（秒）,,注册名,管理者
2,,,,,
U32,U8,U8,CBwString,U32:v,CBwString
1,0,10,Sound/BGM/BGM_02.ogg,400004|400005,
2,0,10,Sound/BGM/BGM_02.ogg,8|9,
3,0,10,Sound/BGM/BGM_02.ogg,11|12|13,
4,0,10,Sound/BGM/BGM_02.ogg,15|16,
5,0,10,Sound/BGM/BGM_02.ogg,21|22|23,
6,0,10,Sound/BGM/BGM_02.ogg,26|27,
7,0,10,Sound/BGM/BGM_02.ogg,31|32,
8,0,10,Sound/BGM/BGM_02.ogg,35|36|37|38|39,
9,0,10,Sound/BGM/BGM_02.ogg,41|42|43|44|45,
10,0,10,Sound/BGM/BGM_02.ogg,48|49|50|51,
11,0,10,Sound/BGM/BGM_02.ogg,61|62|63,
12,0,10,Sound/BGM/BGM_02.ogg,65|66,
13,0,10,Sound/BGM/BGM_02.ogg,72|73|74|76,
14,0,10,Sound/BGM/BGM_02.ogg,78|79,
15,0,10,Sound/BGM/BGM_02.ogg,91|92|94|97,
16,0,10,Sound/BGM/BGM_02.ogg,97,
17,0,10,Sound/BGM/BGM_02.ogg,101|103|104|105|106,
18,0,10,Sound/BGM/BGM_02.ogg,108|109,
19,0,10,Sound/BGM/BGM_02.ogg,121|122|123|124|125,
20,0,10,Sound/BGM/BGM_02.ogg,127|128|129,
21,0,10,Sound/BGM/BGM_02.ogg,141|142|143,
22,0,10,Sound/BGM/BGM_02.ogg,145|146,
23,0,10,Sound/BGM/BGM_02.ogg,151|152|153|154|155|156|157|158|159,
24,0,10,Sound/BGM/BGM_02.ogg,161|162,
25,0,10,Sound/BGM/BGM_02.ogg,171|172|173|174,
26,0,10,Sound/BGM/BGM_02.ogg,177,
27,0,10,Sound/BGM/BGM_02.ogg,181|182|183|184|185,
28,0,10,Sound/BGM/BGM_02.ogg,187|188|189|190,
29,0,10,Sound/BGM/BGM_02.ogg,201|202|203|208,
30,0,10,Sound/BGM/BGM_02.ogg,210|211,
31,0,10,Sound/BGM/BGM_02.ogg,221|222|223|224,
32,0,10,Sound/BGM/BGM_02.ogg,227,
33,0,10,Sound/BGM/BGM_02.ogg,231|232|233,
34,0,10,Sound/BGM/BGM_02.ogg,235|236|237,
35,0,10,Sound/BGM/BGM_02.ogg,241|242|243|245,
37,0,10,Sound/BGM/BGM_02.ogg,251|252|253|254|255,
38,0,10,Sound/BGM/BGM_02.ogg,257|258|259,
39,0,10,Sound/BGM/BGM_02.ogg,261|262|263|264|265|266,
40,0,10,Sound/BGM/BGM_02.ogg,268|269,
41,0,10,Sound/BGM/BGM_02.ogg,272|273,
42,0,10,Sound/BGM/BGM_02.ogg,277,
43,0,10,Sound/BGM/BGM_02.ogg,281|282|283,
44,0,10,Sound/BGM/BGM_02.ogg,285|286,
45,0,10,Sound/BGM/BGM_02.ogg,291|292|293|294,
46,0,10,Sound/BGM/BGM_02.ogg,297,
47,0,10,Sound/BGM/BGM_02.ogg,301|302|303|304|305,
48,0,10,Sound/BGM/BGM_02.ogg,307|308,
49,0,10,Sound/BGM/BGM_02.ogg,311|312|313|314|315|316,
50,0,10,Sound/BGM/BGM_02.ogg,318|319,
51,0,10,Sound/BGM/BGM_02.ogg,321|322|323|324|325,
52,0,10,Sound/BGM/BGM_02.ogg,327|328,
53,0,10,Sound/BGM/BGM_02.ogg,331|332|333|334|335|336|337,
54,0,10,Sound/BGM/BGM_02.ogg,339|340,
55,0,10,Sound/BGM/BGM_02.ogg,351|352|353|354,
56,0,10,Sound/BGM/BGM_02.ogg,357|358,
57,0,10,Sound/BGM/BGM_02.ogg,361|362|363,
58,0,10,Sound/BGM/BGM_02.ogg,369,
59,0,10,Sound/BGM/BGM_02.ogg,371|372,
60,0,10,Sound/BGM/BGM_02.ogg,375|376,
61,0,10,Sound/BGM/BGM_02.ogg,381|382|383|384,
62,0,10,Sound/BGM/BGM_02.ogg,387,
101,0,10,Sound/BGM/BGM_02.ogg,391|392|393|394|395|396|397,
102,0,10,Sound/BGM/BGM_02.ogg,401|402|403,
103,0,10,Sound/BGM/BGM_02.ogg,411|412,
104,0,10,Sound/BGM/BGM_02.ogg,416|417,
105,0,10,Sound/BGM/BGM_02.ogg,421|422|423|424|425|426,
106,0,10,Sound/BGM/BGM_02.ogg,428|429,
107,0,10,Sound/BGM/BGM_02.ogg,431|432,
108,0,10,Sound/BGM/BGM_02.ogg,435|436,
109,0,10,Sound/BGM/BGM_02.ogg,441|442,
110,0,10,Sound/BGM/BGM_02.ogg,445|446|447|448,
111,0,10,Sound/BGM/BGM_02.ogg,451|452,
112,0,10,Sound/BGM/BGM_02.ogg,457,
113,0,10,Sound/BGM/BGM_02.ogg,461|462|463,
114,0,10,Sound/BGM/BGM_02.ogg,465|466|467,
115,0,10,Sound/BGM/BGM_02.ogg,471|472|473|474|477,
116,0,10,Sound/BGM/BGM_02.ogg,479,
117,0,10,Sound/BGM/BGM_02.ogg,481|482|483|484|485|486|487,
118,0,10,Sound/BGM/BGM_02.ogg,490,
119,0,10,Sound/BGM/BGM_02.ogg,501,
120,0,10,Sound/BGM/BGM_02.ogg,505|506|507|508,
121,0,10,Sound/BGM/BGM_02.ogg,511|512,
122,0,10,Sound/BGM/BGM_02.ogg,515|516,
123,0,10,Sound/BGM/BGM_02.ogg,521|522|523,
124,0,10,Sound/BGM/BGM_02.ogg,525,
125,0,10,Sound/BGM/BGM_02.ogg,531|532|533,
126,0,10,Sound/BGM/BGM_02.ogg,536|537,
127,0,10,Sound/BGM/BGM_02.ogg,541|542|543|545|547,
128,0,10,Sound/BGM/BGM_02.ogg,550|551,
129,0,10,Sound/BGM/BGM_02.ogg,561|562|563,
130,0,10,Sound/BGM/BGM_02.ogg,566|567,
131,0,10,Sound/BGM/BGM_02.ogg,571|572|573,
132,0,10,Sound/BGM/BGM_02.ogg,577,
133,0,10,Sound/BGM/BGM_02.ogg,581|582|583,
134,0,10,Sound/BGM/BGM_02.ogg,586|587,
135,0,10,Sound/BGM/BGM_02.ogg,591|592,
136,0,10,Sound/BGM/BGM_02.ogg,597,
137,0,10,Sound/BGM/BGM_02.ogg,601|602|603|604|605,
138,0,10,Sound/BGM/BGM_02.ogg,607|608,
139,0,10,Sound/BGM/BGM_02.ogg,611|612|613|614|615|616,
140,0,10,Sound/BGM/BGM_02.ogg,618|619|620|621,
141,0,10,Sound/BGM/BGM_02.ogg,631|632|633|634,
142,0,10,Sound/BGM/BGM_02.ogg,637|638|639|640|641|642|643|644,
143,0,10,Sound/BGM/BGM_02.ogg,651|652,
144,0,10,Sound/BGM/BGM_02.ogg,657,
145,0,10,Sound/BGM/BGM_02.ogg,662|663|664|665|667,
146,0,10,Sound/BGM/BGM_02.ogg,668|669,
147,0,10,Sound/BGM/BGM_02.ogg,671|672|673,
148,0,10,Sound/BGM/BGM_02.ogg,677,
