TID,Type,Value,Count,IsSelect
인덱스,타입명칭 1:아이템 2:겔드 3:경험치 4:스탯포인트 5:레벨 6:무기경험치 7:무기스킬포인트 8:무기레벨 9:호칭,,,선택여부 0:기본 1:선택
,,,,
U32,U8,U32,U32,U8
100001,3,0,4200,0
100003,3,0,2700,0
100004,3,0,2322,0
100005,3,0,7125,0
100006,3,0,4796,0
100007,3,0,5152,0
100008,3,0,9960,0
100009,3,0,9960,0
100010,3,0,7585,0
100012,3,0,19946,0
100014,3,0,44075,0
100015,3,0,50804,0
100016,3,0,148264,0
100017,3,0,53223,0
100018,3,0,92610,0
100019,3,0,112545,0
100020,3,0,112545,0
100021,3,0,73440,0
100022,3,0,97920,0
100023,3,0,145800,0
100024,3,0,213840,0
100025,3,0,46239,0
100026,3,0,184954,0
100063,3,0,230400,0
100064,3,0,144000,0
100065,3,0,43200,0
100066,3,0,124800,0
100067,3,0,30996,0
100070,3,0,115200,0
100101,3,0,20664,0
100102,3,0,20664,0
100103,3,0,30996,0
100111,3,0,20664,0
100112,3,0,30996,0
100121,3,0,36960,0
100122,3,0,395472,0
100123,3,0,83160,0
100131,3,0,43719,0
100132,3,0,43719,0
100134,3,0,65578,0
100141,3,0,68170,0
100151,3,0,35100,0
100152,3,0,189540,0
100154,3,0,35100,0
100156,3,0,207090,0
100157,3,0,35100,0
100158,3,0,23400,0
100159,3,0,58500,0
100171,3,0,326515,0
100172,3,0,459539,0
100173,3,0,211630,0
100174,3,0,40311,0
100181,3,0,648870,0
100191,3,0,54845,0
100192,3,0,1042052,0
100193,3,0,307131,0
100194,3,0,353749,0
100195,3,0,54845,0
100201,3,0,353749,0
100211,3,0,188244,0
100212,3,0,83664,0
100213,3,0,1773677,0
100214,3,0,125496,0
100215,3,0,899389,0
100216,3,0,83664,0
100301,3,0,72540,0
100302,3,0,48360,0
100303,3,0,48360,0
100304,3,0,72540,0
100311,3,0,72540,0
100312,3,0,696384,0
100321,3,0,1992346,0
100333,3,0,98010,0
100341,3,0,513983,0
100351,3,0,88618,0
100352,3,0,199390,0
100361,3,0,159327,0
100362,3,0,1005531,0
100363,3,0,573578,0
100371,3,0,8754048,0
100372,3,0,1699316,0
100381,3,0,1466666,0
