TID,Comment,SaleTID,slot,ItemTID,ItemMaxSale,ItemMaxBuy,SaleDay_01,SaleStart_01,SaleEnd_01,SaleDay_02,SaleStart_02,SaleEnd_02
区分者,企划自用,参考 TID,插槽号码,项目编号,最大销售数量,最大可能的购买数量,01#销售日期,01#销售开始时间,01#销售结束日期,02#销售日期,02#销售开始时间,02#销售结束时间
,,,,,,,,,,,,
U16,CBwString,U8,U8,U32,U16,U16,U8,U8,U8,U8,U8,U8
1,最低级精灵石柔性书(武器),1,0,41000,0,0,8,0,0,8,0,0
2,低级精灵石 柔性书(武器),1,1,41001,0,0,8,0,0,8,0,0
3,中级精灵石 柔性书(武器),1,2,41002,0,0,8,0,0,8,0,0
4,中高级精灵石柔性书(武器),1,3,41003,0,0,8,0,0,8,0,0
5,高级精灵石柔性书(武器),1,4,41004,0,0,8,0,0,8,0,0
6,最低级精灵石柔性书(防御型),1,5,41006,0,0,8,0,0,8,0,0
7,低级精灵石 柔性书(防御型),1,6,41007,0,0,8,0,0,8,0,0
8,中级精灵石 柔性书(防御型),1,7,41008,0,0,8,0,0,8,0,0
9,中高级精灵石柔性书(防御型),1,8,41009,0,0,8,0,0,8,0,0
10,高级精灵石柔性书(防御型),1,9,41010,0,0,8,0,0,8,0,0
11,最低级精灵石柔性书(装饰用具),1,10,41012,0,0,8,0,0,8,0,0
12,低级精灵石 柔性书(装饰用具),1,11,41013,0,0,8,0,0,8,0,0
13,中级精灵石柔性书(装饰用具),1,12,41014,0,0,8,0,0,8,0,0
14,高级精灵石柔性书(装饰用具),1,13,41015,0,0,8,0,0,8,0,0
15,高级精灵石柔性书(装饰用具),1,14,41016,0,0,8,0,0,8,0,0
16,名声销售 ,2,0,20,0,0,8,0,0,8,0,0
17,名声购进,2,1,21,0,0,8,0,0,8,0,0
18,人性化鞋 (吏属较快),2,2,2,0,0,8,0,0,8,0,0
19,高层次用具 Lv.30 武器箱,3,0,70,0,0,8,0,0,8,0,0
20,爆破用具 Lv.30 武器箱,3,1,71,0,0,8,0,0,8,0,0
21,高层次用具 Lv.30 马甲箱,3,2,80,0,0,8,0,0,8,0,0
22,高层次用具 Lv.30 颈甲箱,3,3,81,0,0,8,0,0,8,0,0
23,高层次用具 Lv.30 中甲箱,3,4,82,0,0,8,0,0,8,0,0
24,新鲜的肉,10,0,42400,0,0,8,0,0,8,0,0
25,矿泉水,10,1,42401,0,0,8,0,0,8,0,0
26,辛辣料,10,2,42402,0,0,8,0,0,8,0,0
27,炸用油,10,3,42403,0,0,8,0,0,8,0,0
