TID,Comment,ServerName,StateFlag,LoginQueue,PCMax,NpcMax,EntityMax,SummonMax,ObjectMax
服务器号,企划者用,服务器名,"服务器状态(0: 一般, 2: 新, 4: 17代, 32: 推荐)",队列中人数,PC 最大个数值,NPC 最大个数值,Entity 最大个数值,Summon 最大个数值,Object 最大个数值
1,,,,,,,,,
U32,CBwString,CBwString,U16,U32,U64,U64,U64,U64,U64
100,,TestServer1,0,3000,10240,50000,10000,1024,10000000
101,,TestServer2,0,3000,10240,50000,10000,1024,10000000
110,,KTHMain,0,3000,10240,50000,10000,1024,10000000
111,,KTHMain2,0,3000,10240,50000,10000,1024,10000000
112,,HELL,0,3000,10240,50000,10000,1024,10000000
114,,HBSMain,0,3000,10240,50000,10000,1024,10000000
115,,HBSMain2,0,3000,10240,50000,10000,1024,10000000
116,,LDWMain,0,2000,1024,50000,10000,1024,10000000
118,,PHSMain,0,3000,10240,50000,10000,1024,10000000
200,,Trunk,0,3000,10240,50000,10000,1024,10000000
210,,QA_KOR_Release,0,3000,1024,20000,10000,1024,10000000
211,,QA_KOR_Test,0,3000,10240,50000,10000,1024,10000000
220,,QA_Stress,0,3000,10240,50000,10000,1024,10000000
