TID,SkillGroup,SkillLevel,Comment,EngName,LocalName,LearnType,Type,Kind,Property,BuffPosition,BuffDelete,InputType,Target,MaxArea_01,MaxArea_02,VolumeArea,MinRange,MaxRange,AutoLearnSkillTID,ComboSkillGroup,ReqHP,ReqMP,NumericalClass,KindValue,SuccessRate,AddDamage,AgroValue, AffectType, AffectDuration, AffectCount,CoolTime,GlobalCoolTime,NextSkillTID,AddtionSkillTID,AddtionRate,ReqItemTID,ReqItemTIDCount,CastMoveAbility,CastingAniID,UpCastingAniID,CastingTime,CastingFailRate,CastingDelayTime,CastingDelayRate,Race,LimitWeapon,LimitMainWeapon,LimitWeaponLevel,OpenPoint,LimitCharLevel,LearnSkillPoint,PreConditionTID_01,PreConditionTID_02,SkillArea,NowGrade,MaxGrade,AniID,AniTime,UpAniID,UpAniTime,EnableMoving,EffectiveRange,AutoAttack,ActionEffectname,CameraID,SkillIconID,EngDesc,LocalDesc,AlarmMsg
技能索引,技能组合,技能等级,企划者用,英文名,名字,使用类型,类型,种类,属性,buff种类,buff解除 有/无,使用方法,作用对象,圆形范围,直线型道路,适用对象数,最小攻击距离,最广域攻击距离,自动学习技能,连接技能参考 TID,消耗HP,消耗MP,%有/无,属性值,成功率,增加,霸巨大值,效果类型,持续时间/周期效应,效果触发次数,冷却时间,全球冷却时间,额外发生技能,追加效果号码,应用概率增加效果,技能需要的道具 TID,技能需要的道具数量,可能移动 有/无,角色动画号码,上半身角色动画号码,选定时间,选定失败概率,角色延迟时间(准备戴穆里申),角色延迟概率(准备戴穆里申),种族,武器限制,主武器限制,武器熟练度等级限制,技能开放点,角色等级限制,学习技能点,01#先行技能TID,02#先行技能TID,能使用技能的地区,现阶段,最广域阶段,动作角色ID,动作时间,人物上半身ID,上半身时间,是否移动攻击,攻击距离,是否自动攻击,动作效果名,指导摄影,技能图标,英文说明,韩文说明,NPC 活动消息
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,U16,U8,CBwString,CBwString,CBwString,U8,U8,U8,U8,U8,U8,U8,U8,U8:a:MaxArea,U8,U8,U16,U16,U32,U16,U16,U16,U8,U32,U8,U16,F32,U8,S64,U8,U32,U16,U32,U32:v,U8:v,U32,U8,U8,U16,U16,U32,U8,U32,U8,U8:v,U8,U8,U8,U16,U8,U8,U32,U32,U8,U8,U8,U16:v,U32,U16:v,U32,U8,U16,U8,CBwString:v,U16,U16,CBwString,CBwString,CBwString
1,0,1, ,SKT_Name_000001,长枪基本攻击,1,1,0,0,0,0,2,20,0,0,1,0,3,0,0,0,0,1,0,100,0,10,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,0,0,0,2,1,1,1030|1031,1400,1032|1033,1400,1,0,1,01_030_001|01_031_001,0,1,SKT_Desc_000001,<TC '240:163:63' Text'长枪基本攻击'/>,
11,1,1, ,SKT_Name_000002,长枪基本暴击攻击,1,1,0,0,0,0,2,20,0,0,1,0,3,0,0,0,0,1,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,0,0,0,2,1,1,1028,1867,1029,1867,1,0,1,01_028_001,0,1,SKT_Desc_000002,<TC '240:163:63' Text'长枪暴击基本攻击'/>,
21,2,1,1连击 1技能,SKT_Name_000003,集中攻击 (1阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,1,0,4,1,79,100,0,138,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,1,5,1100,1167,0,0,0,0,1,01_100_001,0,2,SKT_Desc_000003,<TC '240:163:63' Text'给攻击对象造成79伤害.'/>,
22,2,2,1连击 1技能,SKT_Name_000004,集中攻击 (2阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,1,0,8,1,89,100,0,156,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,2,5,1100,1167,0,0,0,0,1,01_100_001,0,2,SKT_Desc_000004,<TC '240:163:63' Text'给攻击对象造成89伤害.'/>,
23,2,3,1连击 1技能,SKT_Name_000005,集中攻击 (3阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,1,0,11,1,105,100,0,184,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,3,5,1100,1167,0,0,0,0,1,01_100_001,0,2,SKT_Desc_000005,<TC '240:163:63' Text'给攻击对象造成105伤害.'/>,
24,2,4,1连击 1技能,SKT_Name_000006,集中攻击 (4阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,1,0,14,1,123,100,0,215,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,4,5,1100,1167,0,0,0,0,1,01_100_001,0,2,SKT_Desc_000006,<TC '240:163:63' Text'给攻击对象造成123伤害.'/>,
25,2,5,1连击 1技能,SKT_Name_000007,集中攻击 (5阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,1,0,19,1,143,100,0,250,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,5,5,1100,1167,0,0,0,0,1,01_100_001,0,2,SKT_Desc_000007,<TC '240:163:63' Text'给攻击对象造成143伤害.'/>,
31,3,1, ,SKT_Name_000008,牵制攻击 (1阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,0,0,5,1,62,100,0,186,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,1,5,1040,1567,1041,1567,1,0,1,01_040_001,0,3,SKT_Desc_000008,<TC '240:163:63' Text'给对象62的伤害.'/>/n<TC '240:163:63' Text'增加对象的威胁.'/>,
32,3,2, ,SKT_Name_000009,牵制攻击 (2阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,0,0,7,1,71,100,0,213,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,2,5,1040,1567,1041,1567,1,0,1,01_040_001,0,3,SKT_Desc_000009,<TC '240:163:63' Text'给对象71的伤害.'/>/n<TC '240:163:63' Text'增加对象的威胁.'/>,
33,3,3, ,SKT_Name_000010,牵制攻击 (3阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,0,0,9,1,101,100,0,303,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,3,5,1040,1567,1041,1567,1,0,1,01_040_001,0,3,SKT_Desc_000010,<TC '240:163:63' Text'给对象71的伤害.'/>/n<TC '240:163:63' Text'增加对象的威胁.'/>,
