TID,StatClass,StatPoint,StrPOPMin,StrPOPMax,ConMaxHp,ConHPR,WisMOPMin,WisMOPMax,MenMaxMp,MenMPR,AgilityDP,AgilityAP,AgilityCP
索引(种族区分),统计登记,需要点数,力量统计 - 最小物理攻击力,力量统计 - 最大物理攻击力,体力统计 - 最大生命值,体力统计 - HP 恢复,智力统计 - 最小魔法攻击力,智力统计 - 最大魔法攻击力,智能统计 - 最大魔法量,智能统计 - MP恢复,敏捷 - 回避度,敏捷 - 命中度,敏捷 - 致命度
,,,,,,,,,,,,,
U16,U16,U8,U16,U16,U16,U16,U16,U16,U16,U16,U16,U16,U16
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,2,23,1,2,2,12,1,1,1,1
2,2,1,4,4,46,2,4,4,24,2,2,1,2
3,3,1,6,6,69,3,6,6,36,3,3,2,3
4,4,1,8,8,92,4,8,8,48,4,4,3,4
5,5,1,10,10,115,5,10,10,60,5,6,3,5
6,6,1,12,12,138,6,12,12,72,6,7,4,6
7,7,1,14,14,161,7,14,14,84,7,8,5,6
8,8,1,16,16,184,8,16,16,96,8,9,5,7
9,9,1,18,18,207,9,18,18,108,9,10,6,8
10,10,1,20,20,230,10,20,20,120,10,11,7,9
11,11,1,22,22,253,11,22,22,132,11,12,7,10
12,12,1,24,24,276,12,24,24,144,12,13,8,11
13,13,1,26,26,299,13,26,26,156,13,14,8,12
14,14,1,28,28,322,14,28,28,168,14,15,9,13
15,15,1,30,30,345,15,30,30,180,15,17,10,14
16,16,1,32,32,368,16,32,32,192,16,18,10,15
17,17,1,34,34,391,17,34,34,204,17,19,11,16
18,18,1,36,36,414,18,36,36,216,18,20,12,17
19,19,1,38,38,437,19,38,38,228,19,21,12,17
20,20,1,40,40,460,20,40,40,240,20,22,13,18
21,21,1,42,42,483,21,42,42,252,21,23,14,19
22,22,1,44,44,506,22,44,44,264,22,24,14,20
23,23,1,46,46,529,23,46,46,276,23,25,15,21
24,24,1,48,48,552,24,48,48,288,24,26,16,22
25,25,1,50,50,575,25,50,50,300,25,28,16,23
26,26,1,52,52,598,26,52,52,312,26,29,17,24
27,27,1,54,54,621,27,54,54,324,27,30,18,25
28,28,1,56,56,644,28,56,56,336,28,31,18,26
29,29,1,58,58,667,29,58,58,348,29,32,19,27
30,30,1,60,60,690,30,60,60,360,30,33,20,28
31,31,1,62,62,713,31,62,62,372,31,34,20,29
32,32,1,64,64,736,32,64,64,384,32,35,21,29
33,33,1,66,66,759,33,66,66,396,33,36,21,30
34,34,1,68,68,782,34,68,68,408,34,37,22,31
35,35,1,70,70,805,35,70,70,420,35,39,23,32
36,36,1,72,72,828,36,72,72,432,36,40,23,33
37,37,1,74,74,851,37,74,74,444,37,41,24,34
38,38,1,76,76,874,38,76,76,456,38,42,25,35
39,39,1,78,78,897,39,78,78,468,39,43,25,36
40,40,1,80,80,920,40,80,80,480,40,44,26,37
41,41,1,82,82,943,41,82,82,492,41,45,27,38
42,42,1,84,84,966,42,84,84,504,42,46,27,39
43,43,1,86,86,989,43,86,86,516,43,47,28,40
44,44,1,88,88,1012,44,88,88,528,44,48,29,40
45,45,1,90,90,1035,45,90,90,540,45,50,29,41
46,46,1,92,92,1058,46,92,92,552,46,51,30,42
47,47,1,94,94,1081,47,94,94,564,47,52,31,43
48,48,1,96,96,1104,48,96,96,576,48,53,31,44
