TID,Name,FootSound_L,FootSound_R,FootSound_Up,FootSound_Down,FootEffect_L,FootEffect_R,FootEffect_Up,FootEffect_Down,Desc
,,,,,,,,,,
2,,,,,,,,,,
U32,string,string,string,string,string,CBwString,CBwString,CBwString,CBwString,string
1,Aimhigh_Brick_A,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_01.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,城_城市石头河床
2,Aimhigh_Brick_F,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
3,H_Ground_Brick_E,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
4,H_Ground_Brick_K,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_04.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
5,VandeLuna_Brick_A,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_01.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
6,VandeLuna_Brick_F,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
7,VandeLuna_Brick_E,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
8,VandeLuna_Brick_D,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_04.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
9,VandeLuna_Brick_C,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_01.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
10,VandeLuna_Brick_B,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
11,H_Ground_Brick_D,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
12,H_Ground_Brick_I,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_04.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
