TID,Comment,Type,Value,TitleMsg,TutorialMovie,ExplainMsg,ToolTip,UIP,ParentControl,ChildControl,Offset
人物,企划者用,调整轴类型,调整轴值,调整轴项目,调整轴动画,调整轴说明,工具提示,UI,程序控制,坐标的标准控件,调整坐标
2,,,,,,,,,,,
U16,CBwString:v,U8,U32:v,CBwString:v,CBwString:v,CBwString:v,CBwString,CBwString,CBwString,CBwString,F32:v
0,,0,1,WORD_JOIN_INTERFACE|WORD_JOIN_MOUSE|WORD_JOIN_KEY|WORD_JOIN_SPIN|WORD_JOIN_ZOOM,Join_Interface.avi|Join_MOUSE_MOVE.avi|Join_KEY_MOVE.avi|Join_Spin.avi|Join_Zoom.avi,MSG_JOIN1|MSG_JOIN2|MSG_JOIN3|MSG_JOIN4|MSG_JOIN5,WORD_JOIN_INTERFACE,,,,
10,,3,2,WORD_LV2,Stats_Up.avi,MSG_STATS,WORD_LV2,,,,
11,,3,10,WORD_GUILDJOIN|WORD_GUILDCREATE,Lv10_GuildJoin.avi|Lv10_GuildCreate.avi,MSG_GUILD1|MSG_GUILD2,WORD_LV10,,,,
12,,3,20,WORD_LV20,Lv20_WarContents.avi,MSG_WAR,WORD_LV20,,,,
20,,4,2,WORD_SKILLLEARN|WORD_QUICKSLOT,Weapon_Skill.avi|Weapon_QuickSlot.avi,MSG_WEAPONUP1|MSG_WEAPONUP2,WORD_WEAPONLV,,,,
30,,5,1|2|3,WORD_ITEMEQUIP|WORD_ITEMBREAK,Item_Equip.avi|Item_Break.avi,MSG_ITEMROOTING1|MSG_ITEMROOTING2,WORD_ITEMEQUIP,,,,
31,,1,2,WORD_PRODUCT,Gather_Product.avi,MSG_GATHER,WORD_PRODUCT,,,,
32,,1,2,WORD_ENCHANTUP,Enchant_Up.avi,MSG_ENCHANT,WORD_ENCHANTUP,,,,
33,,1,2,WORD_ALCHEMY,Ductility_Alchemy.avi,MSG_ALCHEMY,WORD_ALCHEMY,,,,
34,,1,2,WORD_SPIRITEQUIP|WORD_SPIRITEBREAK,Spirit_Equip.avi|Spirit_Break.avi,MSG_SPIRIT1|MSG_SPIRIT2,WORD_SPIRIT,,,,
40,,0,0,WORD_QUESTMAP|WORD_QUESTMOVE,Quest_Show.avi|Quest_Move.avi,MSG_QUSET1|MSG_QUSET2,WORD_QUEST,,,,
41,,2,1,WORD_GATHER,Gather_Gain.avi,MSG_QUSET_GATHER,WORD_GATHER,,,,
42,,2,1,WORD_PARTYJOIN|WORD_PARTYSKILL,Quest_Party.avi|Quest_Benefit.avi,MSG_PARTY1|MSG_PARTY2,WORD_PARTY,,,,
50,,0,0,WORD_REPAIR,Durability_Repair.avi,MSG_DURABLILTY,WORD_REPAIR,,,,
51,,0,0,WORD_DEAD,Mob_Dead.avi,MSG_MOBDEAD,WORD_DEAD,,,,
52,,0,0,WORD_BATTLESTART|WORD_BATTLESKILL,Battle_Start.avi|Battle_Skill.avi,MSG_BATTLE1|MSG_BATTLE2,WORD_BATTLE,,,,
101,,3,2|3|4|5|6|7|8|9|10,,,,MSG_LVUP_ALARM,Charainfo,Mark_LvUp,,1
102,,4,2|3|4|5|6|7|8|9|10,,,,MSG_WLVUP_ALARM,Skill,Mark_WLvUp,,1
111,,0,1,,,,MSG_FIRST_ITEM_ALARM,Inventory,Mark_ItemGet,,
112,,3,10,,,,MSG_PARTYMACHING_ALARM,PartyMatching,Mark_PartyMatching,,
113,,3,20,,,,MSG_GUILDCREATE_ALARM,Guild,Mark_GuildCreate,,
114,,3,30,,,,MSG_TEAMWAR_ALARM,TeamWar,Mark_LvUp,,1
151,角色描述标签界面。人物信息窗口（快捷键C）的角色标签时的最初一次只显示。,0,1,,,MSG_TUTORIAL_CHARAINFO_INFO,,/Charainfo,Ci_Info,Ci_CampInput,12|1
152,武器熟练度标签界面的说明。人物信息窗口（快捷键C）的武器熟练度标签时的最初一次只显示。,0,1,,,MSG_TUTORIAL_CHARAINFO_MASTERY,,Charainfo,Ci_Mastery,Ci_MMainTitle_BG,98|1
153,专业技术标签界面的说明。人物信息窗口（快捷键C）的专业技术标签时的最初一次只显示。,0,1,,,MSG_TUTORIAL_CHARAINFO_PRODUCTION,,Charainfo,Ci_Production,Ci_ProductionTitle_Img01,177|1
154,记录标签界面的说明。人物信息窗口（快捷键C）的记录标签时的最初一次只显示。,0,1,,,MSG_TUTORIAL_CHARAINFO_RECORD,,/Charainfo,Ci_Record,Ci_Record,265|2
155,骑标签界面的说明。人物信息窗口（快捷键C）的坐骑标签时的最初一次只显示。,0,1,,,MSG_TUTORIAL_CHARAINFO_RIDE,,/Charainfo,Ci_Ride,Ci_Ride,349|2
156,技能窗口界面的说明。技能窗口（快捷键K）时的最初一次只显示。,0,1,,,MSG_TUTORIAL_SKILL_LEARN,,/Skill,Skill_Position,Skill_ApplyBtn,219|-40
157,本团的界面的说明。本团的窗口（快捷键I）时的最初一次只显示。,0,1,,,MSG_TUTORIAL_INVENTORY,,/Inventory,inven_Frame,inventory_Body,-315|45
158,强化界面的说明。技术上说，加强界面创建时显示。,0,1,,,MSG_TUTORIAL_ITEM_ENCHANT,,/ItemEnchant,IE_Position,IE_ItemSlot_Text,55|17
159,分解界面说明。铁匠说话快分解界面创建时显示,0,1,,,MSG_TUTORIAL_ITEM_BREAK,,/ItemBreak,ib_position,IB_ItemSlotBaseBtn,45|-4
160,精灵石安装/删除用户界面描述。技术上说，这些精灵石安装或卸载界面出现时显示。,0,1,,,MSG_TUTORIAL_ITEM_SOCKET,,/ItemSocket,ISE_Position,ISE_ItemSlotBtn,45|-4
161,炼金炉界面说明。炼金术化道路选择炼金炉界面出现时显示,0,1,,,MSG_TUTORIAL_ITEM_ALCHEMY,,/ItemAlchemy,IA_Position,IA_Slot_Btn,-5|75
162,实现营销界面说明。死亡怪兽选择（鼠标右键或快捷键”），实现营销界面出现时显示。,0,1,,,MSG_TUTORIAL_CONTROL_LOOTING,,Looting,Looting_base,Lt_Item_Name01,140|100
163,制作界面的说明。个性创意专业技术生产标签的列表，或者大城市的生产管理人员，通过制作界面出现时显示,0,1,,,MSG_TUTORIAL_PRODUCTION,,/ItemProduction,IP_Base,IPM_Img,377|0
164,大规模战场界面说明。大规模战场情况（快捷键B）点击战场界面情况出现时显示。,0,1,,,MSG_TUTORIAL_WAR_BIGWAR,,WarInfo,WI_BASE,WI_RANK_TITLE,0|190
165,小规模的战场界面说明。小规模的战场立场界面（快捷键J），小规模的战场立场界面出现时显示。,0,1,,,MSG_TUTORIAL_WAR_TEAMWAR,,TeamWar,TW_Header,TW_AllPartyReq,-360|60
166,界面说明人的立场。的立场的选择，界面出现时显示。,0,1,,,MSG_TUTORIAL_DUNGEON_JOIN,,DungeonReady,DG_TitleBar,DG_TermsTitle,60|120
167,户界面描述的准备进入团队时的状态。人的立场，准备按按钮，界面出现时显示。,0,1,,,MSG_TUTORIAL_DUNGEON_READY,,/DungeonReady,DGP_Body,DG_Btn_Select,0|90
168,比对界面的说明。团队上（快捷键P）之称的标签显示。,0,1,,,MSG_TUTORIAL_DUNGEON_MATCHING,,/PartyMatching,DM_Frame,DM_Frame,179|-2
169,团队的UI描述。第一次团队结束时显示。,0,1,,,MSG_TUTORIAL_PARTY_INFO,,/Party,Party_Frame,Party_FrameImg01,195|20
170,攻略说明界面。 第一次攻略生成时标识。,0,1,,,MSG_TUTORIAL_RAID_INFO,,/Raid_Party,RP_Position,RP_GroupText01,100|20
171,团队说明信息界面。团队形成后，公会界面（快捷键O）的信息标签点击时显示。,0,1,,,MSG_TUTORIAL_GUILD_INFO,,/Guild,GB_GuildFrame,GB_GuildFrame,16|0
172,面说明团队名单。公会界面（快捷键O）的信息标签点击时显示。,0,1,,,MSG_TUTORIAL_GUILD_MEMBER,,/Guild,GB_MemberFrame,Guild_Member,100|0
173,团队管理界面的说明。公会界面（快捷键O）的管理标签点击时显示。,0,1,,,MSG_TUTORIAL_GUILD_MANAGEMENT,,/Guild,GB_ManagementFrame,GBClip,184|0
