TID,Comment,EngName,LocalName,Type,Kind,Goal,MaxPerson,ReqMinLevel,ReqMaxLevel,ReqItem,ReqItemCount,OptionValue1,OptionValue2,OptionValue3,OptionValue4,OptionValue5,StandbyTime,LimitTime,MapTID,StartDay,StartTime,FameKill,MinContribution,Contribution,RankFame,GoalAchieve,FameWinPoint,FameLosePoint,FameDrawPoint,CampBuff,WinCoin,LoseCoin,DrawCoin,WinMail,LoseMail,DrawMail,EngDesc,LocalDesc,WarImg
分隔符,企划者用,英文说明,韩文说明,战斗时间,种类,胜利目标,最大参战人数,入场最低等级,入场最高等级,需要物品,需要物品数量,优先值1,优先值2,优先值3,优先值4,优先值5,战场开始待机时间,限制时间,地图号,开始星期,开始时间,标定值(声望结算式),最小贡献值,最终贡献点结算式,战场排名点数(1位~20位固定值),战场目标达成点数,胜利阵营声望奖励点数基本值,失败阵营声望奖励点数基本值,无胜负阵营声望奖励点数基本值,奖励阵营buff,胜利阵营金币,失败阵营金币,无胜负金币,胜利阵营通过邮件给予物品奖励,失败阵营通过邮件给予物品,无胜负阵营通过邮件给予物品,英文的使用方法,韩文的使用方法,战场图像
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U8,CBwString,CBwString,CBwString,U8,U8,U16,U16,U8,U8,U32,U8,U32,U32,U32,U32,U32,U8,U16,U16,U8,U8:v,F32,F32,F32,U16:v,U16,U16,U16,U16,U32,U8,U8,U8,U32,U32,U32,CBwString,CBwString,U16
1,,WCT_Name_000001,英雄战,1,2,800,200,40,50,0,0,,,,,,5,20,1007,3,12|20|21|22|23,30,1,0.005,200|190|180|170|160|150|140|130|120|110|100|90|80|70|60|50|40|30|20|10,0,10,5,0,230511,3,1,1,1000,1001,1002,WCT_Desc_000001,首先到达kill目标的阵营获得战场胜利./n /n干掉对方阵营是kill目标的关键.,2
2,,WCT_Name_000002,圣物争夺战,1,1,2300,200,40,50,0,0,5,,,,,5,20,1008,2,12|20|21|22|23,30,1,0.005,200|190|180|170|160|150|140|130|120|110|100|90|80|70|60|50|40|30|20|10,15,10,5,0,230511,3,1,1,1000,1001,1002,WCT_Desc_000002,"占领圣物,目标分数首先达到的阵营获得战场胜利./n /n地图上存在5个圣物,占领圣物期间获取占领得分/n.",1
3,,WCT_Name_000003,暗杀战,1,3,1,200,40,50,0,0,10,150,500,1500,10000,5,20,1012,4,12|20|21|22|23,30,1,0.005,200|190|180|170|160|150|140|130|120|110|100|90|80|70|60|50|40|30|20|10,300,10,5,0,230511,3,1,1,1000,1001,1002,WCT_Desc_000003,"让对方阵营捍卫的NPC死亡的话获得战场胜利./n /n想要获取一定分数的话,给捍卫的NPC打开出逃之门.",3
4,,WCT_Name_000004,圣物破坏战,1,5,4,200,40,50,0,0,,,,,,5,20,1010,5,12|20|21|22|23,30,1,0.005,200|190|180|170|160|150|140|130|120|110|100|90|80|70|60|50|40|30|20|10,300,10,5,0,230511,3,1,1,1000,1001,1002,WCT_Desc_000004,将对方阵营全部圣物破坏完获得战场胜利./n /n每个阵营有4个圣物.,4
5,,WCT_Name_000005,都市进攻,1,4,1,200,40,50,0,0,,,,,,5,20,1005,6,12|20|21|22|23,30,1,0.005,200|190|180|170|160|150|140|130|120|110|100|90|80|70|60|50|40|30|20|10,300,10,5,0,230511,3,1,1,1000,1001,1002,WCT_Desc_000005,"侵略对方大都市的话,自己的大都市是防御战场./n /n进行顺序以1小时为单位艾因哈伊阵营和戴姆里伸阵营交换进行./n->1回合[艾因哈伊水星]/n2回合[戴姆里伸水星]",5
6,,WCT_Name_000006,全面战,1,6,12000,200,40,50,0,0,10,20,50,300,1000,5,20,1011,7,12|20|21|22|23,30,1,0.005,200|190|180|170|160|150|140|130|120|110|100|90|80|70|60|50|40|30|20|10,10,10,5,0,230511,3,1,1,1000,1001,1002,WCT_Desc_000006,目标分数首先达成的阵营获得战场胜利./n /n干掉对方阵营用户或英雄可获取得分.,6
7,,WCT_Name_000007,安克罗德争夺战,1,7,1,200,40,50,0,0,,,,,,3,20,1004,1,20,0,0,0,,0,10,5,0,0,0,0,0,0,0,0,WCT_Desc_000007,带有绝对力量的安克罗德被选为战场./n /n安克罗德排名在60位以内只能角色参战./n /n安克罗德成为最后1名存活者.,7
100,,WCT_Name_000008,红泪之地(Lv.30~40),2,3,1,1,30,40,9069,1,,,,,,2,30,1110,0,0,6,1,0.005,30|25|20|15|10,100,20,10,5,0,0,0,0,100,0,0,WCT_Desc_000008,"<TC'102:51:0' Text'目标:破坏对方阵营希特利亚'/>/n /n首先破坏对方阵营希特利亚的阵营获得战场胜利.每隔一段时间我军军队在召唤之门出现的话,就向对方阵营进攻.清除帮助对方阵营捍卫防御塔和召唤之门的人,以及破坏对方的希特利亚.",0
101,,WCT_Name_000009,红泪之地(Lv.41~46),2,3,1,1,41,46,9069,1,,,,,,2,30,1111,0,0,6,1,0.005,30|25|20|15|10,100,20,10,5,0,0,0,0,110,0,0,WCT_Desc_000009,"<TC'102:51:0' Text'目标:破坏对方阵营的希特利亚'/>/n /n首先破坏对方阵营希特利亚的阵营获得战场胜利.每隔一段时间我军军队在召唤之门出现的话,就向对方阵营进攻.清除帮助对方阵营捍卫防御塔和召唤之门的人,以及破坏对方的希特利亚.",0
102,,WCT_Name_000010,红泪之地(Lv.47~50),2,3,1,1,47,50,9069,1,,,,,,2,30,1112,0,0,6,1,0.005,30|25|20|15|10,100,20,10,5,0,0,0,0,120,0,0,WCT_Desc_000010,"<TC'102:51:0' Text'目标:破坏对方阵营的希特利亚'/>/n /n首先破坏对方阵营希特利亚的阵营获得战场胜利.每隔一段时间我军军队在召唤之门出现的话,就向对方阵营进攻.清除帮助对方阵营捍卫防御塔和召唤之门的人,以及破坏对方的希特利亚.",0
103,,WCT_Name_000011,红泪之地(Lv.51~55),2,3,1,1,51,55,9069,1,,,,,,2,30,1113,0,0,6,1,0.005,30|25|20|15|10,100,20,10,5,0,0,0,0,130,0,0,WCT_Desc_000011,"<TC'102:51:0' Text'目标:破坏对方阵营的希特利亚'/>/n /n首先破坏对方阵营希特利亚的阵营获得战场胜利.每隔一段时间我军军队在召唤之门出现的话,就向对方阵营进攻.清除帮助对方阵营捍卫防御塔和召唤之门的人,以及破坏对方的希特利亚.",0
110,,WCT_Name_000012,叹息的山谷(Lv.30~40),2,1,1200,1,30,40,9069,1,5,,,,,2,20,1120,0,0,6,1,0.005,30|25|20|15|10,5,20,10,5,0,0,0,0,200,0,0,WCT_Desc_000012,"<TC '102:51:0' Text'目标:霸占圣物完成目标占领点'/> /n /n首先达成目标分数的阵营获得战场胜利.在叹息的山谷存在3个圣物,占领圣物期间获得占领点.请占领比对方更多的圣物.",0
111,,WCT_Name_000013,叹息的山谷(Lv.41~46),2,1,1200,1,41,46,9069,1,5,,,,,2,20,1121,0,0,6,1,0.005,30|25|20|15|10,5,20,10,5,0,0,0,0,210,0,0,WCT_Desc_000013,"<TC '102:51:0' Text'目标:霸占圣物完成目标占领点'/> /n /n首先达成目标分数的阵营获得战场胜利.在叹息的山谷存在3个圣物,占领圣物期间获得占领点.请占领比对方更多的圣物.",0
112,,WCT_Name_000014,叹息的山谷(Lv.47~50),2,1,1200,1,47,50,9069,1,5,,,,,2,20,1122,0,0,6,1,0.005,30|25|20|15|10,5,20,10,5,0,0,0,0,220,0,0,WCT_Desc_000014,"<TC '102:51:0' Text'目标:霸占圣物完成目标占领点'/> /n /n首先达成目标分数的阵营获得战场胜利.在叹息的山谷存在3个圣物,占领圣物期间获得占领点.请占领比对方更多的圣物.",0
113,,WCT_Name_000015,叹息的山谷(Lv.51~55),2,1,1200,1,51,55,9069,1,5,,,,,2,20,1123,0,0,6,1,0.005,30|25|20|15|10,5,20,10,5,0,0,0,0,230,0,0,WCT_Desc_000015,"<TC '102:51:0' Text'目标:霸占圣物完成目标占领点'/> /n /n首先达成目标分数的阵营获得战场胜利.在叹息的山谷存在3个圣物,占领圣物期间获得占领点.请占领比对方更多的圣物.",0
120,,WCT_Name_000016,阿奎拉斗剑场(Lv.30~40),2,2,30,1,30,40,9069,1,,,,,,2,20,1130,0,0,6,1,0.005,30|25|20|15|10,0,20,10,5,0,0,0,0,300,0,0,WCT_Desc_000016,"<TC '102:51:0' Text'目标:达到Kill目标分数'/>/n /n干掉对方阵营的人,首先到达目标kill的阵营获得战场胜利.战场上用自己实力和阵营合作方式取得胜利.",0
121,,WCT_Name_000017,阿奎拉斗剑场(Lv.41~46),2,2,30,1,41,46,9069,1,,,,,,2,20,1131,0,0,6,1,0.005,30|25|20|15|10,0,20,10,5,0,0,0,0,310,0,0,WCT_Desc_000017,"<TC '102:51:0' Text'目标:达到Kill目标分数'/>/n /n干掉对方阵营的人,首先到达目标kill的阵营获得战场胜利.战场上用自己实力和阵营合作方式取得胜利.",0
