TID,Group,Lv,POPMin,POPMax,MOPMin,MOPMax,AP,CP,AS
仓库钥匙价格,团队熟练度,熟练度等级,最小物理攻击力,最大物理攻击力,最小魔法攻击力,最大魔法攻击力,命中率,知名度,攻击速度
1,1,1,1,1,1,1,1,1,1
U32,U16,U8,U16,U16,U16,U16,U8,U8,U8
1,1,0,1,1,1,1,1,1,1
2,1,1,2,2,2,2,2,2,2
3,1,2,3,3,3,3,3,3,3
4,1,3,4,4,4,4,4,4,4
5,1,4,5,5,5,5,5,5,5
6,1,5,6,6,6,6,6,6,6
7,1,6,7,7,7,7,7,7,7
8,1,7,8,8,8,8,8,8,8
9,1,8,9,9,9,9,9,9,9
10,1,9,10,10,10,10,10,10,10
11,2,0,1,1,1,1,1,1,1
12,2,1,2,2,2,2,2,2,2
13,2,2,3,3,3,3,3,3,3
14,2,3,4,4,4,4,4,4,4
15,2,4,5,5,5,5,5,5,5
16,2,5,6,6,6,6,6,6,6
17,2,6,7,7,7,7,7,7,7
18,2,7,8,8,8,8,8,8,8
19,2,8,9,9,9,9,9,9,9
20,2,9,10,10,10,10,10,10,10
