TID,Kind,Lv,Exp,TotalExp,MainSp,ResetMainSp,SubSp,ResetSubSp,Comment,Ghelld,HPRBuff,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,IGN_AT,AP,CP,BP,AS,STR,CON,WIS,MEN,AGI
人物,武器种类,等级,下个熟练度,总熟练度经验值,主武器时添加相应的技能点,主武器技能点重置,辅助武器技能点,辅助武器技能重置积分,企划者用 用途说明,上升级别所需货币,HP 追加回复量,MP 追加回复量,最小物理攻击力,最大物理攻击力,最小魔法攻击力,最大魔法攻击力,无视防御攻击力,命中度,致命一击,拦截度,攻击速度,气力,体力,智慧,智力,敏捷
0,0,0,1,1,,,1,1,2,,,,,,,,,,,,,,,,,
U16,U8,U8,S64,S64,U16,U16,U16,U16,CBwString,U32,S32,S32,U16,U16,U16,U16,U16,U8,U8,U8,U16,U8,U8,U8,U8,U8
1,1,1,7200,7200,0,0,0,0,矛1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,11200,18400,2,2,1,1,矛2,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,16600,35000,2,4,1,2,矛3,0,0,0,6,7,0,0,0,0,0,1,0,0,0,0,0,0
4,1,4,23300,58300,2,6,1,3,矛4,0,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0
5,1,5,31600,89900,2,8,1,4,矛5,0,0,0,10,12,0,0,0,0,0,1,0,0,0,0,0,0
6,1,6,41600,131500,2,10,1,5,矛6,0,0,0,13,15,0,0,0,0,0,2,0,0,0,0,0,0
7,1,7,53500,185000,2,12,1,6,矛7,0,0,0,15,17,0,0,0,0,0,2,0,0,0,0,0,0
8,1,8,67400,252400,2,14,1,7,矛8,0,0,0,18,20,0,0,0,0,0,2,0,0,0,0,0,0
9,1,9,108000,360400,2,16,1,8,矛9,0,0,0,19,22,0,0,0,0,0,3,0,0,0,0,0,0
10,1,10,158100,518500,2,18,1,9,矛10,0,0,0,22,25,0,0,0,0,0,3,0,0,0,0,0,0
11,1,11,223900,742400,2,20,1,10,矛11,0,0,0,24,27,0,0,0,0,0,3,0,0,0,0,0,0
12,1,12,308500,1050900,2,22,1,11,矛12,0,0,0,27,30,0,0,0,0,0,4,0,0,0,0,0,0
13,1,13,414900,1465800,2,24,1,12,矛13,0,0,0,28,32,0,0,0,0,0,4,0,0,0,0,0,0
14,1,14,546800,2012600,2,26,1,13,矛14,0,0,0,31,35,0,0,0,0,0,4,0,0,0,0,0,0
15,1,15,707800,2720400,2,28,1,14,矛15,0,0,0,33,37,0,0,0,0,0,5,0,0,0,0,0,0
16,1,16,902000,3622400,2,30,1,15,矛16,0,0,0,36,40,0,0,0,0,0,5,0,0,0,0,0,0
17,1,17,1133700,4756100,2,32,1,16,矛17,0,0,0,37,42,0,0,0,0,0,5,0,0,0,0,0,0
18,1,18,1407500,6163600,2,34,1,17,矛18,0,0,0,40,45,0,0,0,0,0,6,0,0,0,0,0,0
19,1,19,1728000,7891600,2,36,1,18,矛19,0,0,0,42,47,0,0,0,0,0,6,0,0,0,0,0,0
20,1,20,2100400,9992000,2,38,1,19,矛20,0,0,0,45,50,0,0,0,0,0,6,0,0,0,0,0,0
21,1,21,2530000,12522000,2,40,1,20,矛21,0,0,0,46,52,0,0,0,0,0,7,0,0,0,0,0,0
22,1,22,3022300,15544300,2,42,1,21,矛22,0,0,0,49,55,0,0,0,0,0,7,0,0,0,0,0,0
23,1,23,3583200,19127500,2,44,1,22,矛23,0,0,0,51,57,0,0,0,0,0,7,0,0,0,0,0,0
24,1,24,4218800,23346300,2,46,1,23,矛24,0,0,0,54,60,0,0,0,0,0,8,0,0,0,0,0,0
25,1,25,4935300,28281600,2,48,1,24,矛25,0,0,0,55,62,0,0,0,0,0,8,0,0,0,0,0,0
