TID,Name,ShaderName,ShaderAttrib
,,,
2,2,2,2
U32,CBwString,CBwString,CBwString
0,Bleedmeel_Farm,A2WaterShader,WColor|277472|SColor|FFFFFF|WDeep|0.950000|RPower|0.450|WPower|0.000|WSize|1.000|WSpeed|0.040|WDir|0.270|Trens|0.790|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
1,Burninghedge_water_a,A2WaterShader,WColor|6B401D|SColor|EBDBC9|WDeep|0.150000|RPower|0.480|WPower|0.360|WSize|0.980|WSpeed|0.160|WDir|0.480|Trens|1.000|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
2,Burnninghedge_water_b,A2WaterShader,WColor|80501C|SColor|FDDEBB|WDeep|0.010000|RPower|0.190|WPower|0.740|WSize|0.970|WSpeed|0.010|WDir|0.550|Trens|1.000|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
3,Devaran,A2WaterShader,WColor|2B321D|SColor|FFFFFF|WDeep|0.090000|RPower|0.450|WPower|0.500|WSize|1.000|WSpeed|0.050|WDir|0.670|Trens|1.000|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
4,Flame_Altar_Water_A,A2WaterShader,WColor|2C4B58|SColor|FFFFFF|WDeep|0.350000|RPower|0.450|WPower|0.000|WSize|1.000|WSpeed|0.290|WDir|0.970|Trens|1.000|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
5,Harpy_Paradise,A2WaterShader,WColor|39601E|SColor|FFFFFF|WDeep|0.170000|RPower|0.480|WPower|0.450|WSize|0.960|WSpeed|0.170|WDir|0.390|Trens|0.680|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
6,LandofWarria_water_B,A2WaterShader,WColor|21432F|SColor|FFFFFF|WDeep|0.050000|RPower|0.300|WPower|0.500|WSize|0.980|WSpeed|0.020|WDir|0.390|Trens|0.670|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
