TID,EngName,LocalName,Type,SkillTID,Icon,EndType,Desc
区分字,英文名(32字),韩文名(32字),类型,技能 TID 号码,图标,ani结束后角色的状态进行处理 0: 结束持续 1: 结束后闲置 2: 循环,社会信息
,,,,,,,
U16,CBwString,CBwString,U8,U32,U32,U8,CBwString:v
1,ACT_000001,常规项目,1,232011,0,0,
2,ACT_000002,采集,2,232012,0,0,WORD_COLLECTING
3,ACT_000003,战场-圣物占领战 ,4,232013,0,0,WORD_RACEWAR_OCCUPYING
4,ACT_000004,战场-攻/守决定战,4,232014,0,0,WORD_RACEWAR_OCCUPYING
5,ACT_000005,触发性装置启动,4,232015,0,0,WORD_TRIGGER_EVENT
6,ACT_000006,旗帜(目标地点) 获得,4,232016,0,0,WORD_TEAMWAR_FLAG_GAIN
7,ACT_000007,旗帜(召唤用) 获得,4,232017,0,0,WORD_TEAMWAR_FLAG_GAIN
8,ACT_000008,阿克罗德圣物占领,4,232018,0,0,WORD_RACEWAR_OCCUPYING
100,ACT_000009,问候,3,300,1,1,MSG_SOCIALACTION_GREETING|GV_SOCIALACTION_GREETING|GV_SOCIALACTION_OTHER01_GREETING|GV_SOCIALACTION_OTHER02_GREETING
101,ACT_000010,乞求,3,301,2,1,MSG_SOCIALACTION_BEGGING|GV_SOCIALACTION_BEGGING|GV_SOCIALACTION_OTHER01_BEGGING|GV_SOCIALACTION_OTHER02_BEGGING
102,ACT_000011,否定,3,302,3,1,MSG_SOCIALACTION_NEGATION|GV_SOCIALACTION_NEGATION|GV_SOCIALACTION_OTHER01_NEGATION|GV_SOCIALACTION_OTHER02_NEGATION
103,ACT_000012,心情,3,303,4,1,MSG_SOCIALACTION_JOY|GV_SOCIALACTION_JOY|GV_SOCIALACTION_OTHER01_JOY|GV_SOCIALACTION_OTHER02_JOY
104,ACT_000013,悲伤,3,304,5,1,MSG_SOCIALACTION_SORROW|GV_SOCIALACTION_SORROW|GV_SOCIALACTION_OTHER01_SORROW|GV_SOCIALACTION_OTHER02_SORROW
105,ACT_000014,愤怒,3,305,6,1,MSG_SOCIALACTION_ANGER|GV_SOCIALACTION_ANGER|GV_SOCIALACTION_OTHER01_ANGER|GV_SOCIALACTION_OTHER02_ANGER
106,ACT_000015,鼓掌,3,306,7,1,MSG_SOCIALACTION_CLAPPING|GV_SOCIALACTION_CLAPPING|GV_SOCIALACTION_OTHER01_CLAPPING|GV_SOCIALACTION_OTHER02_CLAPPING
107,ACT_000016,舞蹈,3,307,8,2,MSG_SOCIALACTION_DANCING|GV_SOCIALACTION_DANCING|GV_SOCIALACTION_OTHER01_DANCING|GV_SOCIALACTION_OTHER02_DANCING
108,ACT_000017,突击,3,308,9,1,MSG_SOCIALACTION_CHARGE|GV_SOCIALACTION_CHARGE|GV_SOCIALACTION_OTHER01_CHARGE|GV_SOCIALACTION_OTHER02_CHARGE
109,ACT_000018,挑衅,3,309,10,1,MSG_SOCIALACTION_PROVOCATION|GV_SOCIALACTION_PROVOCATION|GV_SOCIALACTION_OTHER01_PROVOCATION|GV_SOCIALACTION_OTHER02_PROVOCATION
