TID,Type,Kind,WeatherUse,WorldTID,GroupNum,D_X,D_Y,D_Z,Radius,AimRebirthPos,DemolRebirthPos,Comment,EngName,EngSubName,LocalName,LocalSubName,BgmName,BgmLoop,Weather0,Weather1,Weather2,Weather3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
U32,U32,U32,U32,U32,U16,F32,F32,F32,F32,F32:v,F32:v,CBwString,CBwString,CBwString,CBwString,CBwString,CBwString:v,U16,CBwString,CBwString,CBwString,CBwString
1,1,0,1,10001,0,0,0,0,32,,,,ART_Name_000001,ART_Subname_000001,角色工具,,,0,3013|4045|,3013|4045|,3013|4045|,3013|4045|
2,1,0,1,1,0,128,128,0,128,,,,ART_Name_000002,ART_Subname_000002,角色生成,高精准,Sound/BGM/BGM_02.ogg,1,3029|4034|,3029|4034|,3029|4034|,3029|4034|
3,1,0,1,2,0,128,128,0,128,,,,ART_Name_000003,ART_Subname_000003,角色生成,破坏,Sound/BGM/BGM_04.ogg,1,3026|4034|,3026|4034|,3026|4034|,3026|4034|
4,1,0,1,3,0,128,128,0,128,,,,ART_Name_000004,ART_Subname_000004,角色选择,高精准,Sound/BGM/BGM_02.ogg,1,3012|4044|,3012|4044|,3012|4044|,3012|4044|
5,1,0,1,4,0,128,128,0,128,,,,ART_Name_000005,ART_Subname_000005,角色选择,破坏,Sound/BGM/BGM_04.ogg,1,3019|4043|,3019|4043|,3019|4043|,3019|4043|
6,1,0,1,2500,0,255.97,256,165.3,256,256.55|206.63|162.68,,,ART_Name_000006,ART_Subname_000006,斯蒂尔普瑞斯:,高精准 大都市,Sound/BGM/BGM_02.ogg|Sound/BGM/BGM_03.ogg,1,3043|4025|,3043|4025|,3043|4025|,3043|4025|
7,1,0,1,2501,0,256,256,198.47,256,,259.24|175.50|152.77,,ART_Name_000007,ART_Subname_000007,班迪路娜:,破坏 大都市,Sound/BGM/BGM_04.ogg|Sound/BGM/BGM_27.ogg,1,3044|4018|2000|,3044|4018|2001|,3044|4018|2002|,3044|4018|2003|
11,1,0,1,2000,0,6912,7936,62.6,256,,,,ART_Name_000008,ART_Subname_000008,绿色海洋森林：,肥沃的大地,Sound/BGM/BGM_24.ogg|Sound/BGM/BGM_25.ogg,1,,,,
12,1,0,1,2000,0,6911.77,8448.11,177.98,256,,,,ART_Name_000009,ART_Subname_000009,绿色海洋森林：,藤蔓丛,Sound/BGM/BGM_24.ogg|Sound/BGM/BGM_25.ogg,1,,,,
13,1,0,1,2000,0,7424,8448,208.85,256,,,,ART_Name_000010,ART_Subname_000010,绿色海洋森林：,悲伤沼泽,Sound/BGM/BGM_24.ogg|Sound/BGM/BGM_25.ogg,1,3020|,3021|,3022|,3023|
14,1,0,1,2000,0,7424.01,7936,115,256,,,,ART_Name_000011,ART_Subname_000011,绿色海洋森林：,深渊的湖水,Sound/BGM/BGM_08.ogg|Sound/BGM/BGM_09.ogg,1,3020|,3021|,3022|,3023|
