TID,Type,String
区分字,类型,禁止语
2,,
U16,U8,CBwString
1,3,毛泽东
2,3,周恩来
3,3,刘少奇
4,3,朱德
5,3,彭德怀
6,3,林彪
7,3,刘伯承
8,3,陈毅
9,3,贺龙
10,3,聂荣臻
11,3,徐向前
12,3,罗荣桓
13,3,叶剑英
14,3,李大钊
15,3,陈独秀
16,3,孙中山
17,3,孙文
18,3,孙逸仙
19,3,邓小平
20,3,陈云
21,3,江泽民
22,3,李鹏
23,3,朱镕基
24,3,李瑞环
25,3,尉健行
26,3,李岚清
27,3,胡锦涛
28,3,罗干
29,3,温家宝
30,3,吴邦国
31,3,曾庆红
32,3,贾庆林
33,3,黄菊
34,3,吴官正
35,3,李长春
36,3,吴仪
37,3,回良玉
38,3,曾培炎
39,3,周永康
40,3,曹刚川
41,3,唐家璇
42,3,华建敏
43,3,陈至立
44,3,陈良宇
45,3,张德江
46,3,张立昌
47,3,俞正声
48,3,刘云山
49,3,王岐山
50,3,张高丽
51,3,王乐泉
52,3,王刚
53,3,王兆国
54,3,刘淇
55,3,贺国强
56,3,郭伯雄
57,3,胡耀邦
58,3,李登辉
59,3,连战
60,3,陈水扁
61,3,宋楚瑜
62,3,吕秀莲
63,3,郁慕明
64,3,蒋介石
65,3,蒋中正
66,3,蒋经国
67,3,马英九
68,3,习近平
69,3,李克强
70,3,吴帮国
71,3,无帮国
72,3,无邦国
73,3,无帮过
74,3,瘟家宝
75,3,假庆林
76,3,甲庆林
77,3,假青林
78,3,离长春
79,3,习远平
80,3,袭近平
81,3,李磕墙
82,3,贺过墙
83,3,和锅枪
84,3,粥永康
85,3,轴永康
86,3,肘永康
87,3,周健康
88,3,粥健康
89,3,周小康
90,3,李肇星务
91,3,国务委员
92,3,国务院
93,3,中央委员
94,3,发改委
95,3,国家发展和改革委员会
96,3,发展和改革委员会
97,3,国家发展与改革委员会
98,3,发展与改革委员会
99,3,薄熙来
100,3,温家饱
101,3,温假饱
102,3,胡惊涛
103,3,习仲勋
104,3,华国锋
105,3,彭丽媛
106,3,新闻出版总署
107,3,新闻出版署
108,3,布什
109,3,布莱尔
110,3,小泉
111,3,纯一郎
112,3,萨马兰奇
113,3,安南
114,3,阿拉法特
115,3,普京
116,3,默克尔
117,3,克林顿
118,3,里根
119,3,尼克松
120,3,林肯
121,3,杜鲁门
122,3,赫鲁晓夫
123,3,列宁
124,3,斯大林
125,3,马克思
126,3,恩格斯
127,3,金正日
128,3,金日成
129,3,萨达姆
130,3,胡志明
131,3,西哈努克
132,3,希拉克
133,3,撒切尔
134,3,阿罗约
135,3,曼德拉
136,3,卡斯特罗
137,3,富兰克林
138,3,华盛顿
139,3,艾森豪威尔
140,3,拿破仑
141,3,亚历山大
142,3,路易
143,3,拉姆斯菲尔德
144,3,劳拉
145,3,鲍威尔
146,3,奥巴马
147,3,本拉登
148,3,奥马尔
149,3,柴玲
150,3,达赖喇嘛
151,3,江青
152,3,张春桥
153,3,姚文元
154,3,王洪文
155,3,东条英机
156,3,希特勒
157,3,墨索里尼
158,3,冈村秀树
159,3,冈村宁次
