TID,VER,Type,SubType,ItemId,ItemNum,OnceNum,CastType,CastNum,Discount
TID,版本,标签类型,标签子类型,道具ID,数量,一次购买数量,支付类型,支付价格,折扣
,,,,,,,,,
U16,U16,U8,U8,U32,U16,U16,U8,U32,U8
1,0,1,1,90000,1,2,0,5000,100
2,0,1,1,90001,1,2,0,5000,100
3,0,1,1,90002,1,10,0,100,100
4,0,1,1,90049,1,10,0,300,100
5,0,1,1,90050,1,10,0,300,100
6,0,1,1,90047,1,10,0,300,100
7,0,1,1,90062,1,10,0,100,100
8,0,1,1,40301,1,10,0,45,100
9,0,1,1,40302,1,10,0,135,100
10,0,1,1,40303,1,10,0,225,100
11,0,1,1,40400,1,10,0,200,100
12,0,1,1,90011,1,10,0,10000,100
13,0,1,1,90004,1,10,0,100,100
14,0,1,2,40000,1,10,0,4,100
15,0,1,2,40001,1,10,0,10,100
16,0,1,2,40002,1,10,0,25,100
17,0,1,2,40003,1,10,0,47,100
18,0,1,2,40004,1,10,0,63,100
19,0,1,2,40100,1,10,0,4,100
20,0,1,2,40101,1,10,0,10,100
21,0,1,2,40102,1,10,0,25,100
22,0,1,2,40103,1,10,0,47,100
23,0,1,2,40104,1,10,0,63,100
24,0,1,2,40200,1,10,0,4,100
25,0,1,2,40201,1,10,0,10,100
26,0,1,2,40202,1,10,0,25,100
27,0,1,2,40203,1,10,0,47,100
28,0,1,2,40204,1,10,0,63,100
29,0,1,2,90048,1,10,0,200,100
30,0,1,2,90051,1,10,0,200,100
31,0,1,3,90026,1,10,0,2625,100
32,0,1,3,90027,1,10,0,5250,100
33,0,1,3,90028,1,10,0,7875,100
34,0,1,3,90029,1,10,0,10500,100
35,0,1,3,90032,1,10,0,2625,100
36,0,1,3,90033,1,10,0,5250,100
37,0,1,3,90034,1,10,0,7875,100
38,0,1,3,90035,1,10,0,10500,100
39,0,1,3,90038,1,10,0,2625,100
40,0,1,3,90039,1,10,0,5250,100
41,0,1,3,90040,1,10,0,7875,100
42,0,1,3,90041,1,10,0,10500,100
43,0,1,3,51000,1,10,0,563,100
44,0,1,3,51001,1,10,0,1125,100
45,0,1,3,51002,1,10,0,1688,100
46,0,1,3,51003,1,10,0,2250,100
47,0,1,3,51050,1,10,0,563,100
48,0,1,3,51051,1,10,0,1125,100
49,0,1,3,51052,1,10,0,1688,100
50,0,1,3,51053,1,10,0,2250,100
51,0,1,3,51100,1,10,0,563,100
52,0,1,3,51101,1,10,0,1125,100
53,0,1,3,51102,1,10,0,1688,100
54,0,1,3,51103,1,10,0,2250,100
55,0,1,3,51150,1,10,0,563,100
56,0,1,3,51151,1,10,0,1125,100
57,0,1,3,51152,1,10,0,1688,100
58,0,1,3,51153,1,10,0,2250,100
59,0,1,3,51200,1,10,0,563,100
60,0,1,3,51201,1,10,0,1125,100
61,0,1,3,51202,1,10,0,1688,100
62,0,1,3,51203,1,10,0,2250,100
63,0,1,3,51250,1,10,0,563,100
64,0,1,3,51251,1,10,0,1125,100
65,0,1,3,51252,1,10,0,1688,100
66,0,1,3,51253,1,10,0,2250,100
67,0,1,3,52000,1,10,0,563,100
68,0,1,3,52001,1,10,0,1125,100
69,0,1,3,52002,1,10,0,1688,100
70,0,1,3,52003,1,10,0,2250,100
71,0,1,3,52050,1,10,0,563,100
72,0,1,3,52051,1,10,0,1125,100
73,0,1,3,52052,1,10,0,1688,100
74,0,1,3,52053,1,10,0,2250,100
75,0,1,3,52100,1,10,0,563,100
76,0,1,3,52101,1,10,0,1125,100
77,0,1,3,52102,1,10,0,1688,100
78,0,1,3,52103,1,10,0,2250,100
79,0,1,3,52150,1,10,0,563,100
80,0,1,3,52151,1,10,0,1125,100
81,0,1,3,52152,1,10,0,1688,100
82,0,1,3,52153,1,10,0,2250,100
83,0,1,3,52200,1,10,0,563,100
84,0,1,3,52201,1,10,0,1125,100
85,0,1,3,52202,1,10,0,1688,100
86,0,1,3,52203,1,10,0,2250,100
87,0,1,3,53000,1,10,0,563,100
88,0,1,3,53001,1,10,0,1125,100
89,0,1,3,53002,1,10,0,1688,100
90,0,1,3,53003,1,10,0,2250,100
91,0,1,3,53050,1,10,0,563,100
92,0,1,3,53051,1,10,0,1125,100
93,0,1,3,53052,1,10,0,1688,100
94,0,1,3,53053,1,10,0,2250,100
95,0,1,3,53100,1,10,0,563,100
96,0,1,3,53101,1,10,0,1125,100
97,0,1,3,53102,1,10,0,1688,100
98,0,1,3,53103,1,10,0,2250,100
99,0,1,3,53150,1,10,0,563,100
100,0,1,3,53151,1,10,0,1125,100
101,0,1,3,53152,1,10,0,1688,100
102,0,1,3,53153,1,10,0,2250,100
103,0,1,3,53200,1,10,0,563,100
104,0,1,3,53201,1,10,0,1125,100
105,0,1,3,53202,1,10,0,1688,100
106,0,1,3,53203,1,10,0,2250,100
107,0,1,3,53250,1,10,0,563,100
108,0,1,3,53251,1,10,0,1125,100
109,0,1,3,53252,1,10,0,1688,100
110,0,1,3,53253,1,10,0,2250,100
111,0,1,3,53300,1,10,0,563,100
112,0,1,3,53301,1,10,0,1125,100
113,0,1,3,53302,1,10,0,1688,100
114,0,1,3,53303,1,10,0,2250,100
115,0,1,3,53350,1,10,0,563,100
116,0,1,3,53351,1,10,0,1125,100
117,0,1,3,53352,1,10,0,1688,100
118,0,1,3,53353,1,10,0,2250,100
119,0,1,4,90024,1,10,0,500,100
120,0,1,4,90063,1,10,0,1000,100
121,0,1,5,90021,1,10,0,500,100
122,0,1,5,90022,1,10,0,10000,100
123,0,1,5,90005,99,10,0,150,100
124,0,1,5,90006,99,10,0,300,100
125,0,1,5,90008,99,10,0,150,100
126,0,1,5,90009,99,10,0,300,100
127,0,1,5,90003,1,10,0,500,100
128,0,1,5,500000,1,10,0,25000,100
129,0,1,5,500001,1,10,0,25000,100
130,0,1,5,500002,1,10,0,25000,100
131,0,1,5,500003,1,10,0,50000,100
132,0,1,5,500004,1,10,0,50000,100
133,0,1,5,500005,1,10,0,50000,100
134,0,1,5,500500,1,10,0,25000,100
135,0,1,5,500501,1,10,0,25000,100
136,0,1,5,500502,1,10,0,25000,100
137,0,1,5,500503,1,10,0,50000,100
138,0,1,5,500504,1,10,0,50000,100
139,0,1,5,500505,1,10,0,50000,100
140,0,1,6,90012,1,10,0,18000,100
141,0,1,6,90013,1,10,0,5000,100
142,0,1,6,90014,1,10,0,5000,100
143,0,1,6,90015,1,10,0,5000,100
144,0,1,6,90016,1,10,0,5000,100
145,0,1,6,90017,1,10,0,5000,100
146,0,1,6,90018,1,10,0,5000,100
147,0,1,6,90019,1,10,0,5000,100
148,0,1,6,90020,1,10,0,5000,100
149,0,1,6,90064,1,10,0,5000,100
150,0,1,6,90065,1,10,0,5000,100
