TID,Race,Gen,MapID,Weapon_Shield,Weapon_Lance,Weapon_Staff,Weapon_Axe,Weapon_Bow,Weapon_Charkram,Weapon_Cannon,Weapon_Dagger,Weapon_Orb,Weapon_MagicGun,Weapon_Sword,Weapon_Blade,Weapon_Arbalest,Weapon_Wand,Skill_Shield,Skill_Lance,Skill_Staff,Skill_Axe,Skill_Bow,Skill_Charkram,Skill_Cannon,Skill_Dagger,Skill_Orb,Skill_MagicGun,Skill_Sword,Skill_Blade,Skill_Arbalest,Skill_Wand,StartLV,StartWLV,StartItem,StartItemCnt,StartItemQuick,ArchLordSkill,LimitAS,LimitRS
人物ID,种族,性别,地图ID,盾,矛,随从,斧子,弓,能源,大炮,尖刀,天体,马坦枪,单手剑,双手剑,剑弩,权杖,盾牌技能,矛技能,随从技能,斧子技能,弓技能,能源技能,大炮技能,尖刀技能,天体技能,马坦枪技能,单手剑技能,双手剑技能,剑弩技能,权杖技能,入门级别,入门武器,付款,付款额,快速支付模块号码,霸王专属技能,最高攻击速度,最高移动速度
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
U16,U8,U8,U32,U32:a:Weapon,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32:a:Skill,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U8,U8,U32:v,U32:v,U8:v,U32:v,S16,S16
1,1,1,2000,1020001,,1030001,,,,,,,,1110001,1120001,1130001,,,,3011,,,,,,,,27011,30011,33011,,1,1,9083|9000|9010|9040|9020,1|10|10|5|3,0|4|5|0|0,233011|233021|233031|233041|233051|233061|233071|233081,32000,32000
2,1,2,2000,1020001,,1030001,,,,,,,,1110001,1120001,1130001,,,,3011,,,,,,,,27011,30011,33011,,1,1,9083|9000|9010|9040|9020,1|10|10|5|3,0|4|5|0|0,233011|233021|233031|233041|233051|233061|233071|233081,32000,32000
3,2,1,2000,1025001,1010001,,,1050001,,,,1090000,,,,,1140001,,1,,,9011,,,,12011,,,,,36011,1,1,9088|9000|9010|9040|9030,1|10|10|5|3,0|4|5|0|0,233011|233021|233031|233041|233051|233061|233071|233081,32000,32000
4,2,2,2000,1025001,1010001,,,1050001,,,,1090000,,,,,1140001,,1,,,9011,,,,12011,,,,,36011,1,1,9088|9000|9010|9040|9030,1|10|10|5|3,0|4|5|0|0,233011|233021|233031|233041|233051|233061|233071|233081,32000,32000
5,3,1,2000,1020001,,1030001,,,,,,,1100000,1110001,,1130001,,,,3011,,,,,,,24011,27011,,33011,,1,1,9083|9000|9010|9040|9020,1|10|10|5|3,0|4|5|0|0,233011|233021|233031|233041|233051|233061|233071|233081,32000,32000
6,3,2,2000,1020001,,1030001,,,,,,,1100000,1110001,,1130001,,,,3011,,,,,,,24011,27011,,33011,,1,1,9083|9000|9010|9040|9020,1|10|10|5|3,0|4|5|0|0,233011|233021|233031|233041|233051|233061|233071|233081,32000,32000
7,4,1,2000,1025001,1010001,,1040001,1050001,,,,,,,,,1140001,,1,,6011,9011,,,,,,,,,36011,1,1,9088|9000|9010|9040|9030,1|10|10|5|3,0|4|5|0|0,233011|233021|233031|233041|233051|233061|233071|233081,32000,32000
8,4,2,2000,1025001,1010001,,1040001,1050001,,,,,,,,,1140001,,1,,6011,9011,,,,,,,,,36011,1,1,9088|9000|9010|9040|9030,1|10|10|5|3,0|4|5|0|0,233011|233021|233031|233041|233051|233061|233071|233081,32000,32000
