TID,CharID,Name,BoneList
分离器,人物ID,姓名,样本清单
2,2,2,2
U32,U32,CBwString,CBwString
0,1,TYPE1,Bone_Root|1.045|1.045|1.045|0|Bip01 Spine|1.000|1.000|1.000|1|Bip01 Spine1|1.050|1.050|1.000|1|Bip01 Spine2|1.100|1.100|1.000|1|Bip01 Neck|1.000|1.000|1.000|1|Bip01 L Clavicle|1.000|1.000|1.000|1|Bip01 L UpperArm|1.050|1.045|1.045|0|Bip01 L Hand|0.900|0.900|0.900|1|Bip01 R Clavicle|1.000|1.000|1.000|1|Bip01 R UpperArm|1.050|1.045|1.045|0|Bip01 R Hand|0.900|0.900|0.900|1|
1,1,TYPE2,Bone_Root|1.020|1.020|1.020|0|Bip01 Spine|1.000|1.100|1.050|1|Bip01 Spine1|1.100|1.100|1.020|1|Bip01 Spine2|1.150|1.150|1.100|1|Bip01 Neck|1.000|1.150|1.200|1|Bip01 Head|1.010|1.010|1.010|1|Bone_Eye_down|1.000|1.440|1.000|0|Bone_Brows|0.950|1.200|1.010|0|Bip01 L Clavicle|1.050|1.250|1.000|1|Bip01 L UpperArm|1.000|1.200|1.100|1|Bip01 L Forearm|1.000|1.100|1.200|1|Bip01 L Hand|1.000|1.100|1.100|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bone_shoulder_L|1.100|1.100|1.150|0|Bip01 R Clavicle|1.050|1.250|1.000|1|Bip01 R UpperArm|1.000|1.200|1.100|1|Bip01 R Forearm|1.000|1.100|1.200|1|Bip01 R Hand|1.000|1.100|1.100|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_shoulder_R|1.100|1.100|1.150|0|Bip01 L Thigh|1.000|1.100|1.100|1|Bip01 L Calf|1.000|1.120|1.180|0|Bip01 R Thigh|1.000|1.100|1.100|1|Bip01 R Calf|1.000|1.120|1.180|0|
2,1,TYPE3,Bip01 Pelvis|1.000|0.950|0.950|1|Bip01 Spine|0.950|0.950|1.000|1|Bip01 Spine1|1.100|0.950|1.000|1|Bip01 Spine2|1.050|1.000|0.950|1|Bip01 Neck|1.000|1.000|0.950|1|Bip01 Head|1.000|0.950|0.970|0|e2|0.950|1.010|0.920|0|Bone_Eye_down|1.100|1.790|1.000|0|Bone_Brows|1.000|1.500|1.000|0|Bip01 L Clavicle|0.950|1.000|1.000|1|Bip01 L UpperArm|1.010|0.900|0.960|1|Bip01 L Forearm|1.050|1.000|1.000|1|Bip01 L Hand|0.970|0.900|0.900|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 R Clavicle|0.950|1.000|1.000|1|Bip01 R UpperArm|1.010|0.900|0.960|1|Bip01 R Forearm|1.050|1.000|1.000|1|Bip01 R Hand|0.970|0.900|0.900|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 L Thigh|1.000|0.950|0.950|1|Bip01 L Calf|1.000|0.950|0.950|0|Bip01 L Foot|1.000|1.100|1.050|0|Bip01 R Thigh|1.000|0.950|0.950|1|Bip01 R Calf|1.000|0.950|0.950|0|Bip01 R Foot|1.000|1.100|1.050|0|
3,1,TYPE4,Bone_Root|0.950|0.950|0.950|0|Bip01 Pelvis|1.100|1.000|1.100|1|Bip01 Spine|1.050|1.050|1.100|1|Bip01 Spine1|1.150|1.100|1.050|1|Bip01 Spine2|1.150|1.000|1.000|1|Bip01 Neck|1.050|1.100|1.200|1|Bone_Eye_down|1.000|1.560|1.000|0|Bone_Brows|1.000|1.240|1.000|0|Bip01 L Clavicle|1.000|1.100|1.050|1|Bip01 L UpperArm|1.050|1.000|1.000|1|Bip01 L Forearm|1.050|1.100|1.100|1|Bip01 L Hand|0.950|0.950|0.950|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 R Clavicle|1.000|1.100|1.050|1|Bip01 R UpperArm|1.050|1.000|1.000|1|Bip01 R Forearm|1.050|1.100|1.100|1|Bip01 R Hand|0.950|0.950|0.950|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 L Thigh|0.950|1.050|1.050|0|Bip01 L Calf|1.000|1.100|1.100|0|Bip01 R Thigh|0.950|1.050|1.050|0|Bip01 R Calf|1.000|1.100|1.100|0|
4,1,TYPE5,Bone_Root|1.000|1.000|0.910|0|Bip01 Pelvis|1.100|1.500|1.350|1|Bip01 Spine|1.100|1.600|1.500|1|Bip01 Spine1|1.050|1.600|1.500|1|Bip01 Spine2|1.150|1.400|1.250|1|Bip01 Neck|1.000|1.300|1.200|1|Bip01 Head|1.000|1.020|1.050|1|e2|1.050|1.050|1.120|0|Bone_Brows|0.950|0.900|1.000|0|Bip01 L Clavicle|1.000|1.100|1.100|1|Bip01 L UpperArm|1.050|1.200|1.200|1|Bip01 L Forearm|1.000|1.100|1.100|1|Bip01 L Hand|1.100|1.100|1.100|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bone_shoulder_L|1.000|1.100|1.100|0|Bip01 R Clavicle|1.000|1.100|1.100|1|Bip01 R UpperArm|1.050|1.200|1.200|1|Bip01 R Forearm|1.000|1.100|1.100|1|Bip01 R Hand|1.100|1.100|1.100|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_shoulder_R|1.000|1.100|1.100|0|Bip01 L Thigh|0.900|1.290|1.260|1|Bip01 L Calf|0.900|1.100|1.100|1|Bip01 R Thigh|0.900|1.290|1.260|1|Bip01 R Calf|0.900|1.100|1.100|1|
5,1,TYPE6,Bip01 Pelvis|1.100|1.200|1.100|1|Bip01 Spine|1.050|1.300|1.200|1|Bip01 Spine1|1.100|1.300|1.150|1|Bip01 Spine2|1.200|1.300|1.250|1|Bip01 Neck|1.150|1.200|1.250|1|Bip01 Head|1.030|1.020|1.020|1|e2|1.020|1.050|1.030|0|Bone_Brows|0.900|1.200|1.000|0|Bip01 L Clavicle|1.000|1.300|1.300|1|Bip01 L UpperArm|1.050|1.300|1.300|1|Bip01 L Forearm|1.050|1.300|1.300|1|Bip01 L Hand|1.200|1.200|1.200|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bone_shoulder_L|1.100|1.200|1.300|1|Bip01 R Clavicle|1.000|1.300|1.300|1|Bip01 R UpperArm|1.050|1.300|1.300|1|Bip01 R Forearm|1.050|1.300|1.300|1|Bip01 R Hand|1.200|1.200|1.200|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_shoulder_R|1.100|1.200|1.300|1|Bip01 L Thigh|1.000|1.200|1.200|1|Bip01 L Calf|1.000|1.300|1.100|1|Bip01 L Foot|1.000|1.150|1.200|0|Bip01 R Thigh|1.000|1.200|1.200|1|Bip01 R Calf|1.000|1.300|1.100|1|Bip01 R Foot|1.000|1.150|1.200|0|
6,1,TYPE7,Bone_Root|1.000|1.000|1.060|0|Bip01 Pelvis|1.000|1.000|0.950|1|Bip01 Spine1|1.050|1.000|1.000|1|Bip01 Spine2|1.050|1.000|1.000|1|Bip01 Neck|1.070|1.050|1.000|1|Bip01 Head|0.970|0.970|0.970|0|Bone_Eye_down|1.000|2.000|1.000|0|Bone_Brows|1.000|0.750|1.000|0|Bip01 L Clavicle|0.950|1.000|1.000|1|Bip01 L UpperArm|1.020|1.000|1.000|1|Bip01 L Forearm|1.010|1.000|1.000|1|Bip01 L Hand|1.000|0.900|0.900|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 R Clavicle|0.950|1.000|1.000|1|Bip01 R UpperArm|1.020|1.000|1.000|1|Bip01 R Forearm|1.010|1.000|1.000|1|Bip01 R Hand|1.000|0.900|0.900|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 L Thigh|1.060|1.000|1.000|0|Bip01 R Thigh|1.060|1.000|1.000|0|
7,1,TYPE8,Bip01 Spine|1.000|1.050|1.050|1|Bip01 Spine1|1.000|1.100|1.100|1|Bip01 Spine2|1.200|1.200|1.000|1|Bip01 Neck|1.000|1.200|1.100|1|Bone_Eye_down|1.000|1.200|1.000|0|Bone_Brows|0.950|1.200|1.000|0|Bip01 L Clavicle|1.100|1.100|1.050|1|Bip01 L UpperArm|1.000|1.100|1.100|1|Bip01 L Forearm|1.000|1.200|1.300|1|Bip01 L Hand|1.100|1.100|1.100|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bone_shoulder_L|1.000|1.000|1.100|0|Bip01 R Clavicle|1.100|1.100|1.050|1|Bip01 R UpperArm|1.000|1.100|1.100|1|Bip01 R Forearm|1.000|1.200|1.300|1|Bip01 R Hand|1.100|1.100|1.100|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_shoulder_R|1.000|1.000|1.100|0|Bip01 L Calf|1.000|1.100|1.100|0|Bip01 R Calf|1.000|1.100|1.100|0|
8,2,TYPE1,Bone_Root|1.055|1.055|1.055|0|
9,2,TYPE2,Bone_Root|1.000|1.000|0.955|0|Bip01 Pelvis|0.950|1.000|0.970|1|Bip01 Spine|1.000|0.900|0.900|1|Bip01 Spine1|0.900|0.950|0.950|1|Bip01 Spine2|0.900|0.900|0.900|1|Bip01 Neck|0.950|0.950|0.950|1|Bip01 Head|0.950|1.020|1.020|1|e2|1.000|1.000|1.025|0|Bip01 L Clavicle|0.900|0.850|0.900|1|Bip01 L UpperArm|0.950|0.850|0.850|1|Bip01 L Forearm|1.000|0.900|0.950|1|Bip01 L Hand|0.950|0.950|0.950|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 R Clavicle|0.900|0.850|0.900|1|Bip01 R UpperArm|0.950|0.850|0.850|1|Bip01 R Forearm|1.000|0.900|0.950|1|Bip01 R Hand|0.950|0.950|0.950|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_Bust_L|0.800|0.850|0.800|0|Bone_Bust_R|0.800|0.850|0.800|0|Bip01 L Thigh|0.950|1.000|1.000|1|Bip01 L Calf|0.950|0.900|0.900|1|Bip01 R Thigh|0.950|1.000|1.000|1|Bip01 R Calf|0.950|0.900|0.900|1|
10,2,TYPE3,Bone_Root|1.000|1.000|1.020|0|Bip01 Pelvis|1.050|1.000|1.000|1|Bip01 L Thigh|1.050|1.100|1.100|1|Bip01 R Thigh|1.050|1.100|1.100|1|Bip01 Neck|1.030|1.000|1.000|1|Bip01 Head|1.020|1.020|1.020|0|Bip01 L Clavicle|0.900|0.950|0.960|1|Bip01 L UpperArm|1.030|0.900|0.900|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 R Clavicle|0.900|0.950|0.960|1|Bip01 R UpperArm|1.030|0.900|0.900|1|Bip01 Prop_R|1.000|1.000|1.000|1|
11,2,TYPE4,Bip01 Pelvis|1.050|1.100|1.100|1|Bip01 Spine|1.020|1.100|1.050|1|Bip01 Spine1|1.050|1.000|0.950|1|Bip01 Spine2|1.100|1.050|1.000|1|Bip01 Neck|1.100|1.100|0.900|1|Bip01 Head|1.010|1.010|1.000|0|Bone_Brows|1.000|1.500|1.000|0|Bip01 L Clavicle|1.000|1.000|1.000|1|Bip01 L UpperArm|1.000|0.900|0.950|1|Bip01 L Forearm|1.100|1.000|1.000|1|Bip01 L Hand|1.100|1.000|1.000|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 R Clavicle|1.000|1.000|1.000|1|Bip01 R UpperArm|1.000|0.900|0.950|1|Bip01 R Forearm|1.100|1.000|1.000|1|Bip01 R Hand|1.100|1.000|1.000|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_Bust_L|1.050|1.100|1.200|0|Bone_Bust_R|1.050|1.100|1.200|0|Bip01 L Thigh|1.000|1.050|1.050|1|Bip01 R Thigh|1.000|1.050|1.050|1|
12,2,TYPE5,Bone_Root|1.030|1.030|0.940|0|Bip01 Pelvis|1.100|1.300|1.200|1|Bip01 Spine|1.100|1.400|1.300|1|Bip01 Spine1|1.100|1.300|1.200|1|Bip01 Spine2|1.100|1.200|1.100|1|Bip01 Neck|1.050|1.200|1.200|1|Bip01 Head|1.010|1.020|1.030|1|e2|1.010|1.010|1.100|0|Bone_Brows|1.000|0.900|1.000|0|Bip01 L Clavicle|1.000|1.100|1.100|1|Bip01 L UpperArm|1.000|1.100|1.100|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bone_shoulder_L|1.100|1.100|1.100|0|Bip01 R Clavicle|1.000|1.100|1.100|1|Bip01 R UpperArm|1.000|1.100|1.100|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_shoulder_R|1.100|1.100|1.100|0|Bone_Bust_L|1.100|1.200|1.200|0|Bone_Bust_R|1.100|1.200|1.200|0|Bip01 L Thigh|0.950|1.050|1.050|1|Bip01 L Calf|0.950|1.100|1.100|0|Bip01 R Thigh|0.950|1.050|1.050|1|Bip01 R Calf|0.950|1.100|1.100|0|
13,2,TYPE6,Bone_Root|1.020|1.020|1.020|0|Bip01 Spine|1.100|1.050|1.050|1|Bip01 Spine1|1.100|1.050|1.050|1|Bip01 Spine2|1.100|1.000|1.000|1|Bip01 Neck|1.050|1.100|1.150|1|Bone_Brows|1.000|1.200|1.000|0|Bip01 L Clavicle|0.900|1.000|1.000|1|Bip01 L UpperArm|1.100|0.900|0.900|1|Bip01 L Forearm|1.050|0.900|0.900|1|Bip01 L Hand|1.100|1.000|1.000|1|Bip01 R Clavicle|0.900|1.000|1.000|1|Bip01 R UpperArm|1.100|0.900|0.900|1|Bip01 R Forearm|1.050|0.900|0.900|1|Bip01 R Hand|1.100|1.000|1.000|1|Bone_Bust_L|0.900|0.900|0.900|0|Bone_Bust_R|0.900|0.900|0.900|0|Bip01 L Calf|1.000|1.000|1.000|1|Bip01 R Calf|1.000|1.000|1.000|1|
14,2,TYPE7,Bip01 Pelvis|1.000|1.000|1.050|1|Bip01 Spine|1.000|1.000|1.100|1|Bip01 Spine1|1.050|1.100|1.050|1|Bip01 Spine2|1.100|1.000|1.000|1|Bip01 Neck|1.100|1.200|1.100|1|Bip01 Head|1.010|1.010|1.010|0|e2|1.000|1.000|1.050|0|Bone_Brows|1.000|1.500|1.000|0|Bone_Eye_down|1.000|0.900|1.000|0|Bip01 L Clavicle|1.000|1.200|1.200|1|Bip01 L UpperArm|1.050|1.200|1.100|1|Bip01 L Forearm|1.020|1.200|1.300|1|Bip01 L Hand|1.100|1.000|1.000|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bone_shoulder_L|1.050|1.050|1.050|0|Bip01 R Clavicle|1.000|1.200|1.200|1|Bip01 R UpperArm|1.050|1.200|1.100|1|Bip01 R Forearm|1.020|1.200|1.300|1|Bip01 R Hand|1.100|1.000|1.000|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_shoulder_R|1.050|1.050|1.050|0|Bone_Bust_L|1.000|1.100|1.100|0|Bone_Bust_R|1.000|1.100|1.100|0|Bip01 L Thigh|1.000|0.970|0.970|1|Bip01 L Calf|1.000|1.200|1.200|1|Bip01 L Foot|1.000|1.100|1.100|0|Bip01 R Thigh|1.000|0.970|0.970|1|Bip01 R Calf|1.000|1.200|1.200|1|Bip01 R Foot|1.000|1.100|1.100|0|
