ID,MediaPath,Bone,MPartsFace,MPartsEyeball,MPartsHair,MPartsHelm,MPartsBody,MPartsHand,MPartsLegs,MPartsFoot,MPartsCape,LHandWeapon,RHandWeapon,ItemMeshScale,StepLOD_01,StepLOD_02,StepLOD_03,StepLOD_04,StepLOD_05,EffectCreate,HitEffectKind,FourFoot
人物ID,网络文件位置,模特名,脸部文件名,眼球文件名,头发颜色文件名,头盔文件名,上体文件名,小臂文件名,下体文件名,长筒靴文件名,披风文件名,左手武器,右手武器,武器尺码,1阶段 LOD,2阶段 LOD,3阶段 LOD,4阶段 LOD,5阶段 LOD,创作效果,打击效果,4步
2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2
U32,string,string,string:a:MParts,string,string,string,string,string,string,string,string,string:v,string:v,F32,F32:a:StepLOD,F32,F32,F32,F32,CBwString,U8,U8
1,Model,00000.kfm,p_h_m_face_0000_lod.nif,p_h_m_eyes_0000_lod.nif,p_h_m_hair_0000_lod.nif,,p_h_00_n_m_body_lod.nif,p_h_00_n_m_hand_lod.nif,,p_h_00_n_m_foot_lod.nif,,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
2,Model,00001.kfm,p_h_f_face_0000_lod.nif,p_h_f_eyes_0000_lod.nif,p_h_f_hair_0000_lod.nif,,p_h_00_n_f_body_lod.nif,p_h_00_n_f_hand_lod.nif,,p_h_00_n_f_foot_lod.nif,,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
3,Model,00002.kfm,p_m_m_face_0000_lod.nif,p_m_m_eyes_0000_lod.nif,p_m_m_hair_0000_lod.nif,,p_m_00_n_m_body_lod.nif,p_m_00_n_m_hand_lod.nif,,p_m_00_n_m_foot_lod.nif,,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
4,Model,00003.kfm,p_m_f_face_0000_lod.nif,p_m_f_eyes_0000_lod.nif,p_m_f_hair_0000_lod.nif,,p_m_00_n_f_body_lod.nif,p_m_00_n_f_hand_lod.nif,,p_m_00_n_f_foot_lod.nif,,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
5,Model,00004.kfm,p_d_m_face_0000_lod.nif,p_d_m_eyes_0000_lod.nif,p_d_m_hair_0000_lod.nif,,p_d_00_n_m_body_lod.nif,p_d_00_n_m_hand_lod.nif,,p_d_00_n_m_foot_lod.nif,,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
6,Model,00005.kfm,p_d_f_face_0000_lod.nif,p_d_f_eyes_0000_lod.nif,p_d_f_hair_0000_lod.nif,,p_d_00_n_f_body_lod.nif,p_d_00_n_f_hand_lod.nif,,p_d_00_n_f_foot_lod.nif,,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
7,Model,00006.kfm,p_o_m_face_0000_lod.nif,p_o_m_eyes_0000_lod.nif,p_o_m_hair_0000_lod.nif,,p_o_00_n_m_body_lod.nif,p_o_00_n_m_hand_lod.nif,,p_o_00_n_m_foot_lod.nif,,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
8,Model,00007.kfm,p_o_f_face_0000_lod.nif,p_o_f_eyes_0000_lod.nif,p_o_f_hair_0000_lod.nif,,p_o_00_n_f_body_lod.nif,p_o_00_n_f_hand_lod.nif,,p_o_00_n_f_foot_lod.nif,,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
