TID,EngDesc,LocalDesc,Type,RGB,ChannelName,Normal,EngHotKey_01,LocalHotKey_01,EngHotKey_02,LocalHotKey_02,AvailChat
分离器,英文说明,说明,"种类(0=一般, 1=队伍频道,2=公众频道,3=工会频道,4=喊,5=悄悄话,6=战斗,7=系统,8=控制)",RGB 价格,频道名 (信息标签  StringID 使用),"一般标签按钮(1=转账,2=队伍,3=工会,4=战斗,5=系统)",,1#快捷键,,2#快捷键,可用的聊天
2,,,,,,,,,,,
U8,CBwString,CBwString,U8,CBwString,CBwString,U8:v,CBwString,CBwString,CBwString,CBwString,U8
1,CHT_Desc_000001,一般频道,0,<TC '255:255:255' />,WORD_CHAT_GENERAL,1,CHT_Hotkey01_000001,s,CHT_Hotkey02_000001,s,0
2,CHT_Desc_000002,队伍频道,1,<TC '59:184:120' />,WORD_CHAT_PARTY,1|2,CHT_Hotkey01_000002,p,CHT_Hotkey02_000002,p,1
3,CHT_Desc_000003,攻略频道,2,<TC '196:223:155' />,WORD_CHAT_PARTY_ALLY,1|2,CHT_Hotkey01_000003,q,CHT_Hotkey02_000003,q,2
4,CHT_Desc_000004,工会频道,3,<TC '67:140:202' />,WORD_CHAT_GUILD,1|3,CHT_Hotkey01_000004,g,CHT_Hotkey02_000004,g,3
5,CHT_Desc_000005,外交频道,4,<TC '253:197:137' />,WORD_CHAT_SHOUT,1,CHT_Hotkey01_000005,h,CHT_Hotkey02_000005,h,4
6,CHT_Desc_000006,密语频道,5,<TC '236:0:140' />,WORD_CHAT_WHISPER,1|2|3,CHT_Hotkey01_000006,w,CHT_Hotkey02_000006,w,5
7,CHT_Desc_000007,战斗频道,6,<TC '157:10:15' />,WORD_CHAT_GENERAL,1|4,CHT_Hotkey01_000007,,CHT_Hotkey02_000007,,6
8,CHT_Desc_000008,系统频道,7,<TC '255:242:0' />,WORD_CHAT_GENERAL,1|5,CHT_Hotkey01_000008,,CHT_Hotkey02_000008,,7
9,CHT_Desc_000009,控制频道,8,<TC '0:255:0' />,WORD_CHAT_GENERAL,1|2|3|4|5|6,CHT_Hotkey01_000009,,CHT_Hotkey02_000009,,-1
10,CHT_Desc_000010,话筒,9,<TC '253:197:137' />,WORD_CHAT_GENERAL,,CHT_Hotkey01_000010,,CHT_Hotkey02_000010,,-1
11,CHT_Desc_000011,攻略信息,10,<TC '252:153:44' />,WORD_CHAT_ALERT,1|2,CHT_Hotkey01_000011,a,CHT_Hotkey02_000011,a,8
12,CHT_Desc_000012,运营者,11,<TC '110:207:246' />,WORD_CHAT_GENERAL,1|2|3,CHT_Hotkey01_000012,,CHT_Hotkey02_000012,,-1
13,CHT_Desc_000013,喇叭,12,<TC '105:228:221' />,WORD_CHAT_CASHMESSAGE,1|2|3|4|5|6,CHT_Hotkey01_000013,m,CHT_Hotkey02_000013,m,9
14,CHT_Desc_000014,阿克罗德,13,<TC '225:110:250' />,WORD_CHAT_ARCHLORD,1|2|3|4|5|6,CHT_Hotkey01_000014,/,CHT_Hotkey02_000014,/,10
