TID,Category,Type,UserAuth,LocalCommand,EngCommand,Desc,Arg_Num,Arg1,Arg2,Arg3,Arg4,InputEx
,使用对象区分,"服务器1, 克拉2","使用权限(0=无,1=用户可用, 2= 运营商可用, 3=开发者可用)",韩语(韩语也可说明),英文,说明,,,,,,错误的信息输出
,,,,,,,,,,,,
U16,CBwString,U8,U8,CBwString,CBwString,CBwString,U8,CBwString,CBwString,CBwString,CBwString,CBwString
1,PC,1,3,/m,/m,,0,,,,,
2,PC,1,3,/PcDie,/PcDie,PC 死亡,0,,,,,
3,PC,1,3,/PcRebirth,/PcRebirth,原地复活,0,,,,,移动 [区域名字]移动 [区域ID]移动 [X] [Y] [Z]移动 [X] [Y] [Z] [区域ID]
4,PC,1,3,/PcHp,/PcHp,HP恢复,1,常数值,,,,/PcHp 500 : HP的 500 恢复
5,PC,1,3,/PcMp,/PcMp,MP恢复,1,常数值,,,,/PcMp 500 : MP的 500 恢复
6,PC,1,3,/PcExp,/PcExp,PC经验值上升/下降,1,"常数值(+,-)",,,,/PcExp 100 -> PC 经验值 100 上升
7,PC,1,3,/PcLevelUp,/PcLevelUp,PC等级上升,1,常数值,,,,/PcLevelUp 10 -> PC 等级 10 上升
8,PC,1,3,/PcLevelDown,/PcLevelDown,PC等级下降,1,常数值,,,,/PcLevelDown 10 -> PC 等级 10 下降
9,PC,1,3,/PcWExp,/PcWExp,武器熟练度经验值上升/下降,1,"常数值(+,-)",,,,/PcWExp 100 ->目前安装的 武器 经验值 100 上升
10,PC,1,3,/PcWLevelUp,/PcWLevelUp,武器熟练度等级上升,1,常数值,,,,/PcWLevelUp 10 -> 目前安装的 武器 等级 10 上升
11,PC,1,3,/PcWLevelDown,/PcWLevelDown,武器熟练度等级下降,1,常数值,,,,/PcWLevelDown 10 -> 目前安装的 武器 等级 10 下降
12,PC,1,3,/PcStatReset,/PcStatReset,升级奖励初始化,0,,,,,/PcStatReset -> 升级奖励初始化
13,PC,1,3,/PcMove,/PcMove,PC 坐标移动,4,地图ID,x 坐标,y 坐标,z 坐标,/PcMove 2000 10 20 30 -> 2000号地图10/20/30 坐标移动
14,PC,1,3,/PcReCall,/PcReCall,相对PC召唤到面前,1,string: PC名字,,,,/PcReCall 瓦尼卡 -> 瓦尼卡 PC的旁边 召唤
15,PC,1,3,/PcReturn,/PcReturn,召唤前PC坐标移动,1,string: PC名字,,,,/PcReturn 瓦尼卡 -> 瓦尼卡 召唤 前 位置移动
16,PC,1,3,/PcMoveAll,/PcMoveAll,所有PC坐标移动,4,地图ID,x 坐标,y 坐标,z 坐标,/PcMoveAll 2000 10 20 30 -> 2000号 地图 10/20/30 坐标 所有 PC移动
17,PC,1,3,/PcReCallAll,/PcReCallAll,相关PC召唤到我面前,0,相关阵营,,,,/PcReCallAll 0 -> 高目标的 阵营 PC的 旁边 召唤
18,PC,1,3,/PcReturnAll,/PcReturnAll,召唤前坐标相关PC移动,0,相关阵营,,,,/PcReturnAll 0 -> 高目标的 阵营 PC 召唤 前位置移动
