TID,Type,TermsTID,Name,EngName,Price,bCreate,Icon,Model,reqPCType,reqItem1,reqItemCount1,reqItem2,reqItemCount2,reqItem3,reqItemCount3
人物卡斯特帕斯 ,卡斯特部位区分.0=SkinForm. 1=SkinColor. 2=HairForm. 3=HairColor. 4=FaceForm. 5=EyeForm,先行部位,韩语名,英文名,销售价格,援助方式,标识,模型,种族性别,所需条款,所需条款1个数,所需条款2TID,所需条款2个数,所需条款3TID,所需条款3个数
0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0
U32,U32,U32:v,CBwString,CBwString,U32,U32,string,string,U32,U32,U32,U32,U32,U32,U32
1,0,,BodyForm1,,10,1,100001,1,1,,,,,,
2,0,,BodyForm2,,10,1,100002,2,1,,,,,,
3,0,,BodyForm3,,10,1,100003,3,1,,,,,,
4,0,,BodyForm4,,10,1,100004,4,1,,,,,,
5,0,,BodyForm5,,10,1,100005,5,1,,,,,,
6,0,,BodyForm6,,10,1,100006,6,1,,,,,,
7,0,,BodyForm7,,10,1,100007,7,1,,,,,,
8,0,,BodyForm8,,10,1,100008,8,1,,,,,,
50,0,,BodyForm1,,10,1,200001,1,2,,,,,,
51,0,,BodyForm2,,10,1,200002,2,2,,,,,,
52,0,,BodyForm3,,10,1,200003,3,2,,,,,,
53,0,,BodyForm4,,10,1,200004,4,2,,,,,,
54,0,,BodyForm5,,10,1,200005,5,2,,,,,,
55,0,,BodyForm6,,10,1,200006,6,2,,,,,,
56,0,,BodyForm7,,10,1,200007,7,2,,,,,,
57,0,,BodyForm8,,10,1,200008,8,2,,,,,,
100,0,,BodyForm1,,10,1,100001,1,3,,,,,,
101,0,,BodyForm2,,10,1,100002,2,3,,,,,,
102,0,,BodyForm3,,10,1,100003,3,3,,,,,,
103,0,,BodyForm4,,10,1,100004,4,3,,,,,,
104,0,,BodyForm5,,10,1,100005,5,3,,,,,,
105,0,,BodyForm6,,10,1,100006,6,3,,,,,,
106,0,,BodyForm7,,10,1,100007,7,3,,,,,,
107,0,,BodyForm8,,10,1,100008,8,3,,,,,,
150,0,,BodyForm1,,10,1,800001,1,4,,,,,,
151,0,,BodyForm2,,10,1,800002,2,4,,,,,,
152,0,,BodyForm3,,10,1,800003,3,4,,,,,,
153,0,,BodyForm4,,10,1,800004,4,4,,,,,,
154,0,,BodyForm5,,10,1,800005,5,4,,,,,,
155,0,,BodyForm6,,10,1,800006,6,4,,,,,,
156,0,,BodyForm7,,10,1,800007,7,4,,,,,,
157,0,,BodyForm8,,10,1,800008,8,4,,,,,,
200,0,,BodyForm1,,10,1,700001,1,5,,,,,,
201,0,,BodyForm2,,10,1,700002,2,5,,,,,,
202,0,,BodyForm3,,10,1,700003,3,5,,,,,,
203,0,,BodyForm4,,10,1,700004,4,5,,,,,,
204,0,,BodyForm5,,10,1,700005,5,5,,,,,,
205,0,,BodyForm6,,10,1,700006,6,5,,,,,,
206,0,,BodyForm7,,10,1,700007,7,5,,,,,,
207,0,,BodyForm8,,10,1,700008,8,5,,,,,,
250,0,,BodyForm1,,10,1,200001,1,6,,,,,,
251,0,,BodyForm2,,10,1,200002,2,6,,,,,,
252,0,,BodyForm3,,10,1,200003,3,6,,,,,,
253,0,,BodyForm4,,10,1,200004,4,6,,,,,,
254,0,,BodyForm5,,10,1,200005,5,6,,,,,,
255,0,,BodyForm6,,10,1,200006,6,6,,,,,,
256,0,,BodyForm7,,10,1,200007,7,6,,,,,,
257,0,,BodyForm8,,10,1,200008,8,6,,,,,,
300,0,,BodyForm1,,10,1,700001,1,7,,,,,,
301,0,,BodyForm2,,10,1,700002,2,7,,,,,,
302,0,,BodyForm3,,10,1,700003,3,7,,,,,,
303,0,,BodyForm4,,10,1,700004,4,7,,,,,,
304,0,,BodyForm5,,10,1,700005,5,7,,,,,,
305,0,,BodyForm6,,10,1,700006,6,7,,,,,,
306,0,,BodyForm7,,10,1,700007,7,7,,,,,,
307,0,,BodyForm8,,10,1,700008,8,7,,,,,,
350,0,,BodyForm1,,10,1,800001,1,8,,,,,,
351,0,,BodyForm2,,10,1,800002,2,8,,,,,,
352,0,,BodyForm3,,10,1,800003,3,8,,,,,,
353,0,,BodyForm4,,10,1,800004,4,8,,,,,,
354,0,,BodyForm5,,10,1,800005,5,8,,,,,,
355,0,,BodyForm6,,10,1,800006,6,8,,,,,,
356,0,,BodyForm7,,10,1,800007,7,8,,,,,,
357,0,,BodyForm8,,10,1,800008,8,8,,,,,,
1000,2,,Skincolor1 ,,10,1,,"254,230,224",1,,,,,,
1001,2,,Skincolor2,,10,1,,"254,214,190",1,,,,,,
1002,2,,Skincolor3,,10,1,,"246,200,161",1,,,,,,
1003,2,,Skincolor4,,10,1,,"210,186,150",1,,,,,,
1004,2,,Skincolor5,,10,1,,"228,171,130",1,,,,,,
1005,2,,Skincolor6,,10,1,,"222,160,101",1,,,,,,
1006,2,,Skincolor7,,10,1,,"207,145,113",1,,,,,,
1007,2,,Skincolor8,,10,1,,"140,113,92",1,,,,,,
1008,2,,Skincolor9,,10,1,,"160,97,61",1,,,,,,
1009,2,,Skincolor10,,10,1,,"127,83,62",1,,,,,,
1050,2,,Skincolor1 ,,0,1,,"254,230,224",2,,,,,,
1051,2,,Skincolor2,,10,1,,"254,214,190",2,,,,,,
1052,2,,Skincolor3,,10,1,,"246,200,161",2,,,,,,
1053,2,,Skincolor4,,10,1,,"210,186,150",2,,,,,,
1054,2,,Skincolor5,,10,1,,"228,171,130",2,,,,,,
1055,2,,Skincolor6,,10,1,,"222,160,101",2,,,,,,
1056,2,,Skincolor7,,10,1,,"207,145,113",2,,,,,,
1057,2,,Skincolor8,,10,1,,"140,113,92",2,,,,,,
1058,2,,Skincolor9,,10,1,,"160,97,61",2,,,,,,
1059,2,,Skincolor10,,10,1,,"127,83,62",2,,,,,,
1100,2,,Skincolor1 ,,0,1,,"215,218,232",3,,,,,,
1101,2,,Skincolor2,,15,1,,"255,240,252",3,,,,,,
1102,2,,Skincolor3,,15,1,,"238,208,209",3,,,,,,
1103,2,,Skincolor4,,15,1,,"191,168,176",3,,,,,,
1104,2,,Skincolor5,,15,1,,"249,249,249",3,,,,,,
1105,2,,Skincolor6,,0,1,,"206,203,231",3,,,,,,
1106,2,,Skincolor7,,15,1,,"248,227,203",3,,,,,,
1107,2,,Skincolor8,,15,1,,"226,209,180",3,,,,,,
1108,2,,Skincolor9,,15,1,,"198,171,162",3,,,,,,
1109,2,,Skincolor10,,15,1,,"176,203,225",3,,,,,,
1150,2,,Skincolor1 ,,0,1,,"215,218,232",4,,,,,,
1151,2,,Skincolor2,,15,1,,"255,240,252",4,,,,,,
1152,2,,Skincolor3,,15,1,,"238,208,209",4,,,,,,
1153,2,,Skincolor4,,15,1,,"191,168,176",4,,,,,,
1154,2,,Skincolor5,,15,1,,"249,249,249",4,,,,,,
1155,2,,Skincolor6,,0,1,,"206,203,231",4,,,,,,
1156,2,,Skincolor7,,15,1,,"248,227,203",4,,,,,,
1157,2,,Skincolor8,,15,1,,"226,209,180",4,,,,,,
1158,2,,Skincolor9,,15,1,,"198,171,162",4,,,,,,
1159,2,,Skincolor10,,15,1,,"176,203,225",4,,,,,,
1200,2,,Skincolor1 ,,0,1,,"253,232,223",5,,,,,,
1201,2,,Skincolor2,,10,1,,"236,204,174",5,,,,,,
1202,2,,Skincolor3,,10,1,,"233,174,143",5,,,,,,
1203,2,,Skincolor4,,10,1,,"185,157,132",5,,,,,,
1204,2,,Skincolor5,,10,1,,"132,115,100",5,,,,,,
1205,2,,Skincolor6,,0,1,,"233,209,209",5,,,,,,
1206,2,,Skincolor7,,10,1,,"232,191,181",5,,,,,,
1207,2,,Skincolor8,,10,1,,"221,155,155",5,,,,,,
1208,2,,Skincolor9,,10,1,,"188,152,152",5,,,,,,
1209,2,,Skincolor10,,10,1,,"124,96,88",5,,,,,,
1250,2,,Skincolor1 ,,10,1,,"253,232,223",6,,,,,,
1251,2,,Skincolor2,,10,1,,"236,204,174",6,,,,,,
1252,2,,Skincolor3,,10,1,,"233,174,143",6,,,,,,
1253,2,,Skincolor4,,10,1,,"185,157,132",6,,,,,,
1254,2,,Skincolor5,,10,1,,"132,115,100",6,,,,,,
1255,2,,Skincolor6,,10,1,,"233,209,209",6,,,,,,
1256,2,,Skincolor7,,10,1,,"232,191,181",6,,,,,,
1257,2,,Skincolor8,,10,1,,"221,155,155",6,,,,,,
1258,2,,Skincolor9,,10,1,,"188,152,152",6,,,,,,
1259,2,,Skincolor10,,10,1,,"124,96,88",6,,,,,,
1300,2,,Skincolor1 ,,0,1,,"183,158,74",7,,,,,,
1301,2,,Skincolor2,,15,1,,"162,146,80",7,,,,,,
1302,2,,Skincolor3,,15,1,,"153,132,35",7,,,,,,
1303,2,,Skincolor4,,15,1,,"105,88,10",7,,,,,,
1304,2,,Skincolor5,,15,1,,"153,162,103",7,,,,,,
