ID,EventName,TargetEvent,ReturnEvent
ID号码,活动名,选择活动ID号码,返回活动
2,2,2,2
U32,CBwString,U32,U32
0,None,,
1,LevelUp,,
2,dexterityUP,,
3,create,,
4,Attack1,6,
5,Attack2,7,
6,Hit1,,9
7,Hit2,,9
8,HitMiss,,
9,CameraHit,,
10,c_selecton,,
11,c_selectoff,,
12,selecton,,
13,selectoff,,
14,line_selecton,,
15,line_selectoff,,
16,effecton,17,
17,effectstart,,
18,BuffTime,19,
19,buffstart,,
20,buffend,,
21,magicbuff,18,
22,FireArch,,
23,WaterArch,,
24,AirArch,,
25,EarthArch,,
26,NoneArch,,
27,item_gainon,,
28,item_gainoff,,
29,StepL,,
30,StepR,,
31,area_skill,32,
32,area_hit,,9
33,Quest_mark_on,,
34,Quest_mark_off,,
35,Item_Start,,
36,Quest_Complete,,
37,CharShape,,
38,Jump_Step,,
39,FadeOut,,
