TID,SvrNo,Type,World,Fixed,Title,NoticeType,DayStart,DayEnd,DayWeek,TimeStart,TimeEnd,Exp,WExp,GhelldDrop,Fame,WarCoinCnt,MedalCnt,AddSkill,ItemDropRate,DropItem,GiftType,GiftTerm,GiftCheck,GiftMail
TID,服务器号码,活动类型,适用场所,是否固定,标题,有无活动标记,开始日,结束日,星期,开始时间,结束时间,经验值 增加(%),武器熟练度 增加(%),Ghelld 获得量 增加(%),声望 增加(%) : 只作用于全战场 .,金币 增加(+),勋章 增加(+),技能适用 SkillTable创造,掉率增加项目(%),掉率增加项目(ItemDropWorldTable 创造),礼物类型,礼物时间间隔,礼物格子数量是否增加,邮寄礼物 TID
,,,,,,,,,,,,,,,,,,,,,,,,
U32,U32,U8,U8,U8,CBwString,U8,CBwString,CBwString,U8,U32,U32,U32,U32,U32,U32,U32,U32,U32:v,U32,U32:v,U8,U8,U8,U32:v
1,0,0,0,0,经验值 10% 增加,2,,,,,,10,10,,0,,,,0,,0,,,
2,0,0,0,0,经验值 20% 增加,2,,,,,,20,20,,0,,,,0,,0,,,
3,0,0,0,0,经验值 30% 增加,2,,,,,,30,30,,0,,,,0,,0,,,
4,0,0,0,0,经验值 40% 增加,2,,,,,,40,40,,0,,,,0,,0,,,
5,0,0,0,0,经验值 50% 增加,2,,,,,,50,50,,0,,,,0,,0,,,
6,0,0,0,0,经验值 60% 增加,2,,,,,,60,60,,0,,,,0,,0,,,
7,0,0,0,0,经验值 70% 增加,2,,,,,,70,70,,0,,,,0,,0,,,
8,0,0,0,0,经验值 80% 增加,2,,,,,,80,80,,0,,,,0,,0,,,
9,0,0,0,0,经验值 90% 增加,2,,,,,,90,90,,0,,,,0,,0,,,
10,0,0,0,0,经验值 100% 增加,2,,,,,,100,100,,0,,,,0,,0,,,
11,0,0,0,0,掉率 10% 增加,2,,,,,,0,0,,0,,,,10,,0,,,
12,0,0,0,0,掉率 20% 增加,2,,,,,,0,0,,0,,,,20,,0,,,
13,0,0,0,0,掉率 30% 增加,2,,,,,,0,0,,0,,,,30,,0,,,
14,0,0,0,0,掉率 40% 增加,2,,,,,,0,0,,0,,,,40,,0,,,
15,0,0,0,0,掉率 50% 增加,2,,,,,,0,0,,0,,,,50,,0,,,
16,0,0,0,0,掉率 60% 增加,2,,,,,,0,0,,0,,,,60,,0,,,
17,0,0,0,0,掉率 70% 增加,2,,,,,,0,0,,0,,,,70,,0,,,
18,0,0,0,0,掉率 80% 增加,2,,,,,,0,0,,0,,,,80,,0,,,
19,0,0,0,0,掉率 90% 增加,2,,,,,,0,0,,0,,,,90,,0,,,
20,0,0,0,0,掉率 100% 增加,2,,,,,,0,0,,0,,,,100,,0,,,
101,0,1,0,1,网吧额外优惠/n        -  经验值 10% 增加/n        -  武器熟练度经验值 10% 增加/n        -  Gelled获取 10% 增加/n        -  声望获得 10% 增加/n        -  掉率 10% 增加,1,,,,,,10,10,10,10,,,,10,,0,,,
201,0,1,0,0,[活动] 在线一小时发放礼物,0,2013/11/5,2013/11/6,,6,0,,,,,,,,,,3,1,1,2002
202,0,1,0,0,[活动] 连续在线三小时发放礼物,0,2013/11/5,2013/11/6,,6,0,,,,,,,,,,3,3,1,2003
203,0,0,0,0,[补偿活动] 在线时发放奖励(药水),0,2013/10/20,2013/10/23,,,,,,,,,,,,,1,,2,2005
204,0,0,0,0,[运营商的承诺] 在线时发放奖励(奖励箱子),0,2013/11/21,2013/12/4,,,,,,,,,,,,,1,,2,2007
