TID,EngAimName,EngDemolName,LocalAimName,LocalDemolName,ReqPoint,TotalPoint
索引,英文标题名,英文标题名,阶层,阶层,需要声望点数,声望点总和
,,,,,,
U8,CBwString,CBwString,CBwString,CBwString,U32,U32
1,FPT_Aim_000001,FPT_Demol_000001,10级 战士,10级 战士,0,0
2,FPT_Aim_000002,FPT_Demol_000002,9级 战士,9级 战士,10000,10000
3,FPT_Aim_000003,FPT_Demol_000003,8级 战士,8级 战士,20000,30000
4,FPT_Aim_000004,FPT_Demol_000004,7级 战士,7级 战士,30000,60000
5,FPT_Aim_000005,FPT_Demol_000005,6级 战士,6级 战士,40000,100000
6,FPT_Aim_000006,FPT_Demol_000006,5级 战士,5级 战士,50000,150000
7,FPT_Aim_000007,FPT_Demol_000007,4级 战士,4级 战士,60000,210000
8,FPT_Aim_000008,FPT_Demol_000008,3级 战士,3级 战士,70000,280000
9,FPT_Aim_000009,FPT_Demol_000009,2级 战士,2级 战士,80000,360000
10,FPT_Aim_000010,FPT_Demol_000010,1级 战士,1级 战士,90000,450000
11,FPT_Aim_000011,FPT_Demol_000011,1段 战士,1段 战士,100000,550000
12,FPT_Aim_000012,FPT_Demol_000012,2段 战士,2段 战士,110000,660000
13,FPT_Aim_000013,FPT_Demol_000013,3段 战士,3段 战士,120000,780000
14,FPT_Aim_000014,FPT_Demol_000014,4段 战士,4段 战士,130000,910000
15,FPT_Aim_000015,FPT_Demol_000015,5段 战士,5段 战士,140000,1050000
16,FPT_Aim_000016,FPT_Demol_000016,6段 战士,6段 战士,150000,1200000
17,FPT_Aim_000017,FPT_Demol_000017,7段 战士,7段 战士,160000,1360000
18,FPT_Aim_000018,FPT_Demol_000018,8段 战士,8段 战士,170000,1530000
19,FPT_Aim_000019,FPT_Demol_000019,9段 战士,9段 战士,180000,1710000
20,FPT_Aim_000020,FPT_Demol_000020,10段 战士,10段 战士,190000,1900000
