TID,ReqPerson,ReqExp,ReqMoney,Tax,Slot,Name,Person,GuildSkill
工会等级,所需人员数,所需经验值,所需工会资金,工会税金,公会仓库插槽,授予称谓个数,公会人数,公会技能
,,,,,,,,
U8,U8,U32,U32,U32,U8,U8,U8,U32:v
1,0,0,0,1000,20,2,10,
2,10,500,25000,2000,20,3,15,230251|230261
3,15,1000,54000,3000,40,3,25,230252|230261
4,25,1500,72000,4000,40,4,30,230252|230262
5,30,2000,80000,5000,60,5,40,230253|230262
6,40,2500,90000,6000,60,6,45,230253|230263
7,45,3000,107000,7000,80,7,50,230253|230263|230271|230281
8,50,3500,117000,8000,80,8,60,230253|230263|230272|230281
9,60,4000,134000,9000,80,9,65,230253|230263|230272|230282
10,65,4500,144000,10000,100,10,75,230253|230263|230272|230282|230291
