TID,Comment,EngTitle,LocalTitle,EngName,LocalName,Type,Kind,EngDesc,LocalDesc
分离器,企划者用,英文类型名,韩文类型名,英文种类名,韩文种类名,类型,种类,英文说明,韩文说明
2,2,2,2,2,2,2,2,2,2
U16,CBwString,CBwString,CBwString,CBwString,CBwString,U8,U8,CBwString,CBwString
1,成长（人物）,HLP_Title_000001,成长,HLP_Name_000001,人物,1,1,HLP_Desc_000001,"<TC '255:204:0' Text'[成长方法]'/>/n人物经验值是通过打击和任务取得的. /n /n取得适量的人物经验值等级会上升./n /n<TC '255:204:0' Text'[测试]'/>/n人物的等级上升后会取得2个要点. /n /n通过取得的要点,可以使力量,敏捷度，体力,技能,战斗值共5共方面的能力值/n获得提升./n /n一级的要点也可以提升能力值. /n /n<TC '255:204:0' Text'[能力值]'/>/n力量是受攻击度的影响而获得./n /n敏捷度是通过命中,回血等,所有成功的致命攻击都会获得./n /n体力是通过受最大生命力和生命自动恢复量而获得的./n /n技能是受魔法攻击度的影响获得的./n /n战斗值是受最大？？和？？自动恢复量的影响而获得的. /n /n<TC '255:204:0' Text'[确认方法]'/>/n人物能力值通过 <TC '255:0:0' Text'人物信息窗(快捷键:通过 C)'/> 可以看见/n."
2,成长（武器熟练程度）,HLP_Title_000002,成长,HLP_Name_000002,武器熟练程度,1,2,HLP_Desc_000002,<TC '255:204:0' Text'[成长方法]'/>/n到达一定量的武器熟练程度经验值武器等级 /n会提高. /n /n每个武器单独存在单独的经验值. /n /n武器经验值是根据佩戴的武器去打击或者是获得补偿/n武器经验值可以通过任务获得. /n /n比如如果使用魔杖相关武器的经验值就会提高 /n单手剑等别的武器的经验值就无法提高. /n /n<TC '255:204:0' Text'[惩罚]'/>/n每个武器都有规定的熟练度./n /n自己的武器没有达到要求的熟练度就会有 /n惩罚./n /n如果被惩罚武器附有的攻击力和命中率等/n都会降低./n /n如果武器达到了要求的熟练度惩罚 /n就会消失. /n /n<TC '255:204:0' Text'[确认方法]'/>/n如果想要确认武器的熟练度 <TC '255:0:0' Text'人物信息窗(快捷键: C)'/>的/n武器熟练度中就可以看到了.
3,任务（学习技能）,HLP_Title_000003,成长,HLP_Name_000003,技能,1,3,HLP_Desc_000003,<TC '255:204:0' Text'[成长方法]'/>/n如果武器等级提高了就可以获得相关武器的技能要点./n /n<TC '255:0:0' Text'技能场(快捷键: K)'/>打开后，根据获得的武器技能要点/n不但可以学习新的技能技能还能提升等级./n /n主武器是一级就可以获得二级的技能要点./n /n获得的技能的图标下的快速通道窗口/n就可以登录./n /n快速通道上保存的技能可以通过点击鼠标右侧/n或者快捷键使用.
5,任务（配置项）,HLP_Title_000004,任务,HLP_Name_000004,配置项,2,1,HLP_Desc_000004,"<TC '255:204:0' Text'[任务构成]'/>/n任务的种类是和下一个相似的. /n /n<TC '255:0:0' Text'武器'/>/n武器包括各种族自己的武器和不分种族共有的武器./n /n例如， 双手剑是只有人族才有的. /n /n石弓, 魔杖, 单手剑是艾林河阵营所有的种族/n都可拥有的./n /n武器熟练度没达到规定等级时/n会受到惩罚./n /n<TC '255:0:0' Text'防御品'/>/n防御品是由马甲, 轻甲, 重甲构成的./n /n防御品是满足人物等级后才能拥有的. /n /n<TC '255:0:0' Text'装饰物'/>/n装饰物有项链，戒指./n /n装饰物是满足人物等级后才能拥有的./n /n<TC '255:0:0' Text'化身'/>/n化身是在人物遇到危险时变更的，能力值上升后/n可以获得的./n /n<TC '255:0:0' Text'消耗品'/>/n消耗品是指使用时会消耗的东西./n /n<TC '255:0:0' Text'一般任务'/>/n一般任务中包含任务和材料./n /n<TC '255:204:0' Text'[任务等级]'/>/n/n任务中有 <TC '191:191:191' Text'低级'/>, <TC '255:255:255' Text'一般'/>, <TC '0:208:94' Text'高级'/>, <TC '0:176:240' Text'稀有'/>, <TC '112:48:160' Text'特别'/>, <TC '228:108:10' Text'英雄'/> 这几个等级/n/n随着等级的提高会拥有跟高的技能."
6,任务（强化）,HLP_Title_000005,任务,HLP_Name_000005,强化,2,2,HLP_Desc_000005,<TC '255:204:0' Text'[强化方法]'/>/n强化是通过 <TC '255:0:0' Text'技术员'/>完成的./n /n强化中强化任务是必要的./n /n强化中虽然存在一定的失败率/n强化成功后的任务会拥有强大的能力.
7,任务（分解）,HLP_Title_000006,任务,HLP_Name_000006,分解,2,3,HLP_Desc_000006,"<TC '255:204:0' Text'[分解方法]'/>/n分解是通过 <TC '255:0:0' Text'铁匠'/>完成的./n武器, 防御品, 装饰物的分解,获得/n强化材料./n /n<TC '255:204:0' Text'[分解种类]'/>/n分解根据手续费的多少区分为一般分解，高级分解，特别分解. /n /n分解的金额越高，好东西出现的概率/n越高."
8,任务（灵石）,HLP_Title_000007,任务,HLP_Name_000007,灵石,2,4,HLP_Desc_000007,<TC '255:204:0' Text'[使用方法]'/>/n灵石持有/卸除是通过 <TC '255:0:0' Text'技术员'/>完成的./n /n根据灵石的插槽个数可以持有相应多的灵石/n灵石持有成功的后可以使用/n灵石自身的能力值./n /n灵石持有失败的情况可以毁坏灵石./n /n成功持有的灵石可以通过去除技能卸除灵石.
9,任务（合成）,HLP_Title_000008,任务,HLP_Name_000008,合成,2,5,HLP_Desc_000008,<TC '255:204:0' Text'[合成方法]'/>/n合成是通过 <TC '255:0:0' Text'合成师'/>完成的./n /n<TC '255:204:0' Text'[合成种类]'/>/n合成的种类相似的./n /n<TC '255:0:0' Text'古代灵石'/>/n相同等级的古代灵石之间可以合成. /n /n合成时材料数量，古代灵石最少一个/n最多可以放置三个./n材料中，古代灵石越多合成的成功率越高./n /n合成失败的情况，主页项目之外，剩下的项目/n全都可以破坏./n /n<TC '255:0:0' Text'化身'/>/n相同等级的化身之间可以合成 ./n /n古代灵石和不同的化身的合成是 /n合成魔方任务中必要的./n /n合成成功后可以得到跟高等级的化身./n /n合成失败的情况，主页项目之外，剩下的项目/n全都可以破坏.
10,任务（代步工具）,HLP_Title_000009,任务,HLP_Name_000009,代步工具,2,6,HLP_Desc_000009,<TC '255:204:0' Text'[代步工具]'/>/n可以使人物比走路更快的 /n移动方法中的一种./n/n<TC '255:204:0' Text'[获取方法]'/>/n代步工具可以通过任务取得，也可以在商店/n购买./n/n<TC '255:204:0' Text'[使用方法]'/>/n任务获取?或商店购入后/n<TC '255:0:0' Text'库存窗口(快捷键: I)'/>中使用代步工具卷轴./n/n然后 <TC '255:0:0' Text'人物信息窗(快捷键: C)'/>代步工具中/n通过快速通道注册后，点击相关按键/n就可以使用了.
11,收集制作（收集）,HLP_Title_000010,收集制作,HLP_Name_000010,收集,3,1,HLP_Desc_000010,<TC '255:204:0' Text'[收集方法]'/>/n从捡起收集的对象，就开始收集了./n /n根据收集物的种类的不同，也存在不同的熟练度./n随着熟练度的提高，会获得多样的收集物./n /n收集的熟练度在 <TC '255:0:0' Text'人物信息窗口(快捷键: C)'/>中的专门技术里/n可以看到./n /n坎特拉大陆到处都是矿物，植物，还存在新种类的/n收集物. 收集物可以用于制作各种东西的材料.
12,收集制作（制作）,HLP_Title_000011,收集制作,HLP_Name_000011,制作,3,2,HLP_Desc_000011,"<TC '255:204:0' Text'[制作方法]'/>/n制作在 <TC '255:0:0' Text'人物信息窗口(快捷键: C)'/>中专门技术里/n可以看到./n /n可以被制作的东西有武器,防御品,附件,药水,食物五个种类./n选择相关的东西，制作窗口就会出来./n /n为了能够制作，首先要记住打算制作的东西的/n图案./n材料或者熟练度不足的话，无法制作东西."
13,收集制作（炼金术）,HLP_Title_000012,收集制作,HLP_Name_000012,炼金术,3,3,HLP_Desc_000012,<TC '255:204:0' Text'[制作方法]'/>/n通过炼金术，可以制作/n可持有的灵石./n /n炼金火炉中可以使用炼金术./n为了通过炼金术制作东西，需要/n炼制书和材料./n /n炼制书可以在商店中购买，材料在打斗中以及通过分解都可以获得./n /n使用炼金术的时候，材料使用的越多，就会得到越好的产物.
