TID,RewardTID,Comment,BoxColor,RewardItem01,RewardItemStack01,RewardRate01,RewardItem02,RewardItemStack02,RewardRate02,RewardItem03,RewardItemStack03,RewardRate03,RewardItem04,RewardItemStack04,RewardRate04,RewardItem05,RewardItemStack05,RewardRate05,RewardItem06,RewardItemStack06,RewardRate06,RewardItem07,RewardItemStack07,RewardRate07,RewardItem08,RewardItemStack08,RewardRate08,RewardItem09,RewardItemStack09,RewardRate09,RewardItem10,RewardItemStack10,RewardRate10
分离器,即时地图参考TID TID 号码,企划者用(可用补偿和地图名称),宝物箱子颜色,01#奖励物品,01#奖励物品重合数量,01#奖励概率,2#奖励物品,02#奖励物品重合数量,2#奖励概率,3#奖励物品,03#奖励物品重合数量,3#奖励概率,4#奖励物品,04#奖励物品重合数量,4#奖励概率,5#奖励物品,05#奖励物品重合数量,5#奖励概率,06#奖励物品,06#奖励物品重合数量,06#奖励概率,07#奖励物品,07#奖励物品重合数量,07#奖励概率,08#奖励物品,08#奖励物品重合数量,08#奖励概率,09#奖励物品,09#奖励物品重合数量,09#奖励概率,10#奖励物品,10#奖励物品重合数量,10#奖励概率
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U16,U16,CBwString,U8,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16
1010,4000,"洛坎的实验室 (人类, 普通)-SSS 奖励",5,81000,1,925,81001,1,4625,81002,1,9250,2080011,1,9288,2080012,1,9326,2080021,1,9476,2080022,1,9626,2080031,1,9814,2080032,1,10000,,,
1011,4000,"洛坎的实验室 (人类, 普通)-SS 奖励",5,81000,1,925,81001,1,5550,81002,1,9250,2080011,1,9288,2080012,1,9326,2080021,1,9514,2080022,1,9702,2080031,1,9852,2080032,1,10000,,,
1012,4000,"洛坎的实验室 (人类, 普通)-S 奖励",4,81000,1,4625,81001,1,7400,81002,1,9250,2080011,1,9438,2080012,1,9626,2080021,1,9739,2080022,1,9852,2080031,1,9927,2080032,1,10000,,,
1013,4000,"洛坎的实验室 (人类, 普通)-A 奖励",3,81000,1,2000,10004,20,4400,10104,20,6100,10005,20,8300,10105,20,10000,,,,,,,,,,,,,,,
1014,4000,"洛坎的实验室 (人类, 普通)-B 奖励",3,81000,1,500,10004,10,3100,10104,10,5300,10005,10,7800,10105,10,10000,,,,,,,,,,,,,,,
1015,4000,"洛坎的实验室 (人类, 普通)-F 奖励",2,10004,1,3000,10104,1,5000,10005,1,8000,10105,1,10000,,,,,,,,,,,,,,,,,,
1040,4000,"洛坎的实验室 (兽族,普通)-SSS 奖励",5,81100,1,925,81101,1,4625,81102,1,9250,2080011,1,9288,2080012,1,9326,2080021,1,9476,2080022,1,9626,2080031,1,9814,2080032,1,10000,,,
1041,4000,"洛坎的实验室 (兽族,普通)-SS 奖励",5,81100,1,925,81101,1,5550,81102,1,9250,2080011,1,9288,2080012,1,9326,2080021,1,9514,2080022,1,9702,2080031,1,9852,2080032,1,10000,,,
1042,4000,"洛坎的实验室 (兽族,普通)-S 奖励",4,81100,1,4625,81101,1,7400,81102,1,9250,2080011,1,9438,2080012,1,9626,2080021,1,9739,2080022,1,9852,2080031,1,9927,2080032,1,10000,,,
1043,4000,"洛坎的实验室 (兽族,普通)-A 奖励",3,81100,1,2000,10004,20,4400,10104,20,6100,10005,20,8300,10105,20,10000,,,,,,,,,,,,,,,
1044,4000,"洛坎的实验室 (兽族,普通)-B 奖励",3,81100,1,500,10004,10,3100,10104,10,5300,10005,10,7800,10105,10,10000,,,,,,,,,,,,,,,
1045,4000,"洛坎的实验室 (兽族,普通)-F 奖励",2,10004,1,3000,10104,1,5000,10005,1,8000,10105,1,10000,,,,,,,,,,,,,,,,,,
1110,4001,"洛坎的实验室 (人类, 困难)-SSS 奖励",5,81004,1,1850,81005,1,8325,2080021,1,8400,2080022,1,8475,2080031,1,8738,2080032,1,9001,115000,1,9501,115001,1,10000,,,,,,
1111,4001,"洛坎的实验室 (人类, 困难)-SS 奖励",5,81004,1,4625,81005,1,9250,2080021,1,9438,2080022,1,9626,2080031,1,9814,2080032,1,10000,,,,,,,,,,,,
1112,4001,"洛坎的实验室 (人类, 困难)-S 奖励",4,81004,1,6475,81005,1,9250,2080021,1,9513,2080022,1,9776,2080031,1,9889,2080032,1,10000,,,,,,,,,,,,
1113,4001,"洛坎的实验室 (人类, 困难)-A 奖励",3,81000,1,3000,10004,30,4800,10104,30,6500,10005,30,8300,10105,30,10000,,,,,,,,,,,,,,,
1114,4001,"洛坎的实验室 (人类, 困难)-B 奖励",3,81000,1,1000,10004,15,3300,10104,15,5500,10005,15,7800,10105,15,10000,,,,,,,,,,,,,,,
1115,4001,"洛坎的实验室 (人类, 困难)-F 奖励",2,10004,1,2500,10104,1,5000,10005,1,7500,10105,1,10000,,,,,,,,,,,,,,,,,,
1140,4001,"洛坎的实验室 (兽族, 困难)-SSS 奖励",5,81104,1,1850,81105,1,8325,2080021,1,8400,2080022,1,8475,2080031,1,8738,2080032,1,9001,115000,1,9501,115001,1,10000,,,,,,
1141,4001,"洛坎的实验室 (兽族, 困难)-SS 奖励",5,81104,1,4625,81105,1,9250,2080021,1,9438,2080022,1,9626,2080031,1,9814,2080032,1,10000,,,,,,,,,,,,
1142,4001,"洛坎的实验室 (兽族, 困难)-S 奖励",4,81104,1,6475,81105,1,9250,2080021,1,9513,2080022,1,9776,2080031,1,9889,2080032,1,10000,,,,,,,,,,,,
1143,4001,"洛坎的实验室 (兽族, 困难)-A 奖励",3,81100,1,3000,10004,30,4800,10104,30,6500,10005,30,8300,10105,30,10000,,,,,,,,,,,,,,,
1144,4001,"洛坎的实验室 (兽族, 困难)-B 奖励",3,81100,1,1000,10004,15,3300,10104,15,5500,10005,15,7800,10105,15,10000,,,,,,,,,,,,,,,
1145,4001,"洛坎的实验室 (兽族, 困难)-F 奖励",2,10004,1,2500,10104,1,5000,10005,1,7500,10105,1,10000,,,,,,,,,,,,,,,,,,
