ID,Content,Type,MaxTime,Data
,,,,
2,2,2,2,2
CBwString,U8,U8,F32,CBwString
#DayLight Ambient Color,1,2,24,0.00000|50.19608|0.00000|100.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-150.58824|0.00000|-300.00000|100.39216|0.00000|200.00000|24.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
#DayLight Diffuse Color,1,2,24,0.00000|100.00000|100.00000|100.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|24.00000|100.00000|100.00000|100.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
#DayLight Dimer,0,2,24,0.00000|100.00000|0.00000|0.00000|24.00000|100.00000|0.00000|0.00000|
#DayLight Rotation,1,2,24,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|24.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
#DayLight Specular Color,1,2,24,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|24.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(B_CA)黄剑效果1,1,2,3.333,0.00000|203.08026|162.96857|79.52621|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-331.88171|-396.11655|-182.92587|210.64688|264.07770|116.70676|3.33300|81.84543|30.92972|13.30709|-31.82279|0.00000|-15.73148|31.82279|0.00000|15.73148|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(B_CA)紫剑效果1,1,2,3.333,0.00000|122.52544|74.24021|222.00447|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-367.57629|-222.72064|-666.01343|245.05087|148.48042|444.00894|3.33300|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(B_CA)紫剑效果2,1,2,3.333,0.00000|67.14660|21.64470|103.76872|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-146.48718|-64.93410|39.54630|97.65812|43.28940|-26.36420|3.33300|18.31754|0.00000|116.95082|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(B_CA)红剑效果1,1,2,3.333,0.00000|185.26308|89.47368|69.47362|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-438.94714|-268.42102|-208.42085|292.63144|178.94736|138.94724|3.33300|38.94736|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(B_CA)红剑效果2,1,2,3.333,0.00000|185.26308|25.26315|25.26309|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-438.94714|-75.78944|-75.78927|292.63144|50.52630|50.52618|3.33300|38.94736|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(B_CA)橙剑效果1,1,2,3.333,0.00000|208.62106|74.22963|34.24789|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-35.16536|-26.49738|-19.26888|23.44357|17.66492|12.84592|3.33300|196.89928|65.39717|27.82493|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(B_CA)绿剑效果1,1,2,3.333,0.00000|13.68423|49.47380|247.52182|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-138.94743|-0.00037|-543.61804|92.63162|0.00024|362.41205|3.33300|-32.63158|49.47368|66.31579|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
