TID,Comment,EngName,LocalName,Type,Race,Coin,DropItem01,DropItemStack01,DropRate01,DropItem02,DropItemStack02,DropRate02,DropItem03,DropItemStack03,DropRate03,DropItem04,DropItemStack04,DropRate04,DropItem05,DropItemStack05,DropRate05,DropItem06,DropItemStack06,DropRate06,DropItem07,DropItemStack07,DropRate07,DropItem08,DropItemStack08,DropRate08,DropItem09,DropItemStack09,DropRate09,DropItem10,DropItemStack10,DropRate10,DropItem11,DropItemStack11,DropRate11,DropItem12,DropItemStack12,DropRate12,DropItem13,DropItemStack13,DropRate13,DropItem14,DropItemStack14,DropRate14,DropItem15,DropItemStack15,DropRate15
分离器,企划者用,英文物品名,韩文物品名,等级,种族,需要兽人个数,01#物品掉落,01#掉落物品重合数量,01#掉落概率,2#掉落物品,02#掉落物品重合数量,2#掉落概率,3#掉落物品,03#掉落物品重合数量,3#掉落概率,4#掉落物品,04#掉落物品重合数量,4#掉落概率,5#掉落物品,05#掉落物品重合数量,5#掉落概率,6#掉落物品,06#掉落物品重合数量,6#掉落概率,7#掉落物品,07#掉落物品重合数量,7#掉落概率,8#掉落物品,08#掉落物品重合数量,8#掉落概率,9#掉落物品,09#掉落物品重合数量,9#掉落概率,10#掉落物品,10#掉落物品重合数量,10#掉落概率,11#掉落物品,11#掉落物品重合数量,11#掉落概率,12#掉落物品,12#掉落物品重合数量,12#掉落概率,13#掉落物品,13#掉落物品重合数量,13#掉落概率,14#掉落物品,14#掉落物品重合数量,14#掉落概率,15#掉落物品,15#掉落物品重合数量,15#掉落概率
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U8,CBwString,CBwString,CBwString,U8,U8:v,U8,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16,U32,U8,U16
1,"药水,熟练度,选择券,小规模券, 尖晶石,分身(人类)",,1级 物品,1,1,1,10016,2,1800,10017,2,3600,10116,2,5400,10117,2,7200,40301,1,9000,9076,1,9300,90062,1,9500,510000,1,9650,40302,1,9800,400001,1,9900,400403,1,9970,400400,1,9990,9071,1,9995,40303,1,10000,,,
2,"药水,熟练度,选择券,小规模券, 尖晶石,分身(兽人)",,1级 物品,1,4,1,10016,2,1800,10017,2,3600,10116,2,5400,10117,2,7200,40301,1,9000,9076,1,9300,90062,1,9500,510000,1,9650,40302,1,9800,400001,1,9900,400404,1,9970,400400,1,9990,9071,1,9995,40303,1,10000,,,
3,"药水,熟练度,选择券,小规模券, 尖晶石,分身(人类)",,2级 物品,2,1,2,10016,4,1440,10017,4,2880,10116,4,4320,10117,4,5760,40301,1,7200,9076,1,7967,90062,1,8478,510000,1,8861,40302,1,9244,400001,1,9500,400403,1,9850,400400,1,9950,9071,1,9975,40303,1,10000,,,
4,"药水,熟练度,选择券,小规模券, 尖晶石,分身(兽人)",,2级 物品,2,4,2,10016,4,1440,10017,4,2880,10116,4,4320,10117,4,5760,40301,1,7200,9076,1,7967,90062,1,8478,510000,1,8861,40302,1,9244,400001,1,9500,400404,1,9850,400400,1,9950,9071,1,9975,40303,1,10000,,,
5,追加祝福卷轴(人类),,3级 物品,3,1,3,10016,8,1080,10017,8,2160,10116,8,3240,10117,8,4320,40301,1,5400,9076,1,6600,90062,1,7400,510000,1,8000,40302,1,8600,400001,1,9000,400403,1,9700,400400,1,9900,9071,1,9950,40303,1,10000,,,
6,追加祝福卷轴(兽族),,3级 物品,3,4,3,10016,8,1080,10017,8,2160,10116,8,3240,10117,8,4320,40301,1,5400,9076,1,6600,90062,1,7400,510000,1,8000,40302,1,8600,400001,1,9000,400404,1,9700,400400,1,9900,9071,1,9950,40303,1,10000,,,
7,追加古代精灵石随即箱子(人类),,4级 物品,4,1,4,10016,15,720,10017,15,1440,10116,15,2880,10117,15,2880,40301,1,3600,9076,1,5067,90062,1,6045,510000,1,6778,40302,1,7511,400001,1,8000,400403,1,9400,400400,1,9800,9071,1,9900,40303,1,10000,,,
8,追加古代精灵石随即箱子(兽族),,4级 物品,4,4,4,10016,15,720,10017,15,1440,10116,15,2880,10117,15,2880,40301,1,3600,9076,1,5067,90062,1,6045,510000,1,6778,40302,1,7511,400001,1,8000,400404,1,9400,400400,1,9800,9071,1,9900,40303,1,10000,,,
