TID,Comment,Grade,Step,Power,Color
分离器,企划者用,物品等级,强化阶段,成长强度(0.1~1为止),成长颜色
2,,,,,
U32,CBwString,U8,U8,F32,string
1,垃圾(灰色),0,0,0,0
2,垃圾(灰色),0,1,0.2,"50,050,050"
3,垃圾(灰色),0,2,0.3,"93,093,093"
4,垃圾(灰色),0,3,0.4,"130,130,130"
5,垃圾(灰色),0,4,0.2,"1,183,000"
6,垃圾(灰色),0,5,0.3,"1,183,000"
7,垃圾(灰色),0,6,0.4,"1,183,000"
8,垃圾(灰色),0,7,0.2,"1,084,255"
9,垃圾(灰色),0,8,0.3,"1,084,255"
10,垃圾(灰色),0,9,0.4,"1,084,255"
11,垃圾(灰色),0,10,0.2,"95,000,255"
12,垃圾(灰色),0,11,0.3,"95,000,255"
13,垃圾(灰色),0,12,0.4,"95,000,255"
14,垃圾(灰色),0,13,0.2,"219,000,000"
15,垃圾(灰色),0,14,0.3,"219,000,000"
16,垃圾(灰色),0,15,0.4,"219,000,000"
17,一般(白色),1,0,0,0
18,一般(白色),1,1,0.2,"50,050,050"
19,一般(白色),1,2,0.3,"93,093,093"
20,一般(白色),1,3,0.4,"130,130,130"
21,一般(白色),1,4,0.2,"1,183,000"
22,一般(白色),1,5,0.3,"1,183,000"
23,一般(白色),1,6,0.4,"1,183,000"
24,一般(白色),1,7,0.2,"1,084,255"
25,一般(白色),1,8,0.3,"1,084,255"
26,一般(白色),1,9,0.4,"1,084,255"
27,一般(白色),1,10,0.2,"95,000,255"
28,一般(白色),1,11,0.3,"95,000,255"
29,一般(白色),1,12,0.4,"95,000,255"
30,一般(白色),1,13,0.2,"219,000,000"
31,一般(白色),1,14,0.3,"219,000,000"
32,一般(白色),1,15,0.4,"219,000,000"
33,高级(绿色),2,0,0,0
34,高级(绿色),2,1,0.2,"50,050,050"
35,高级(绿色),2,2,0.3,"93,093,093"
36,高级(绿色),2,3,0.4,"130,130,130"
37,高级(绿色),2,4,0.2,"1,183,000"
38,高级(绿色),2,5,0.3,"1,183,000"
39,高级(绿色),2,6,0.4,"1,183,000"
40,高级(绿色),2,7,0.2,"1,084,255"
41,高级(绿色),2,8,0.3,"1,084,255"
42,高级(绿色),2,9,0.4,"1,084,255"
43,高级(绿色),2,10,0.2,"95,000,255"
44,高级(绿色),2,11,0.3,"95,000,255"
45,高级(绿色),2,12,0.4,"95,000,255"
46,高级(绿色),2,13,0.2,"219,000,000"
47,高级(绿色),2,14,0.3,"219,000,000"
48,高级(绿色),2,15,0.4,"219,000,000"
49,稀有(蓝色),3,0,0,0
50,稀有(蓝色)_黑色,3,1,0.2,"50,050,050"
51,稀有(蓝色)_绿色,3,2,0.3,"93,093,093"
52,稀有(蓝色)_黑色 ,3,3,0.4,"130,130,130"
53,稀有(蓝色)_绿色 ,3,4,0.2,"1,183,000"
54,稀有(蓝色)_绿色 ,3,5,0.3,"1,183,000"
55,稀有(蓝色)_绿色 ,3,6,0.4,"1,183,000"
56,稀有(蓝色)_绿色 ,3,7,0.2,"1,084,255"
57,稀有(蓝色)_蓝色,3,8,0.3,"1,084,255"
58,稀有(蓝色)_蓝色,3,9,0.4,"1,084,255"
59,稀有(蓝色)_蓝色,3,10,0.2,"95,000,255"
60,稀有(蓝色)_紫色,3,11,0.3,"95,000,255"
61,稀有(蓝色)_紫色,3,12,0.4,"95,000,255"
62,稀有(蓝色)_紫色,3,13,0.2,"219,000,000"
63,稀有(蓝色)_橙色,3,14,0.3,"219,000,000"
64,稀有(蓝色)_橙色,3,15,0.4,"219,000,000"
65,特别(紫色),4,0,0,0
66,特别(紫色),4,1,0.2,"50,050,050"
67,特别(紫色),4,2,0.3,"93,093,093"
68,特别(紫色),4,3,0.4,"130,130,130"
69,特别(紫色),4,4,0.2,"1,183,000"
70,特别(紫色),4,5,0.3,"1,183,000"
71,特别(紫色),4,6,0.4,"1,183,000"
72,特别(紫色),4,7,0.2,"1,084,255"
73,特别(紫色),4,8,0.3,"1,084,255"
74,特别(紫色),4,9,0.4,"1,084,255"
75,特别(紫色),4,10,0.2,"95,000,255"
76,特别(紫色),4,11,0.3,"95,000,255"
77,特别(紫色),4,12,0.4,"95,000,255"
78,特别(紫色),4,13,0.2,"219,000,000"
79,特别(紫色),4,14,0.3,"219,000,000"
80,特别(紫色),4,15,0.4,"219,000,000"
81,英雄(橙色),5,0,0,0
82,英雄(橙色),5,1,0.2,"50,050,050"
83,英雄(橙色),5,2,0.3,"93,093,093"
84,英雄(橙色),5,3,0.4,"130,130,130"
85,英雄(橙色),5,4,0.2,"1,183,000"
86,英雄(橙色),5,5,0.3,"1,183,000"
87,英雄(橙色),5,6,0.4,"1,183,000"
88,英雄(橙色),5,7,0.2,"1,084,255"
89,英雄(橙色),5,8,0.3,"1,084,255"
90,英雄(橙色),5,9,0.4,"1,084,255"
91,英雄(橙色),5,10,0.2,"95,000,255"
92,英雄(橙色),5,11,0.3,"95,000,255"
93,英雄(橙色),5,12,0.4,"95,000,255"
94,英雄(橙色),5,13,0.2,"219,000,000"
95,英雄(橙色),5,14,0.3,"219,000,000"
96,英雄(橙色),5,15,0.4,"219,000,000"
