TID,GroupTID,Step,Comment,SuccessRate,KeepRate,DownRate,ResetRate,CostGhelld,SourceItem01,Item01Value,SourceItem02,Item02Value,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS
区分,团队 ID,强化阶段,企划者用,成功概率,维持概率,掉率,初始化概率,手续费,1号材料物品TID,1号物品个数,2号材料物品 TID,2号物品个数,气力,体力,智慧,精神力,敏捷,最大HP,HP回复量,HP 追加回复量,最大MP,MP回复量,MP 追加回复量,最小物理攻击强度,最大物理攻击强度,最小魔法攻击强度,最大魔法攻击强度, 物理防御,魔法防御,火属性抵抗,水属性抵抗,攻击属性抵抗,土属性抵抗,命中率,闪避度,拦截度,致命一击,防御武器度,PvP攻击力,PvP防御力,攻击速度,移动速度,施法速度
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U16,U16,U8,CBwString,U16,U16,U16,U16,U32,U32,U8,U32,U8,U8,U8,U8,U8,U8,S32,S32,S32,S32,S32,S32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U8,U8,U8,U8,U16,F32,F32,U16,U16,U16
81,80,1,强化单手剑(奎斯特-人类)-1阶段,10000,0,0,0,0,9075,1,,,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,80,2,强化单手剑(奎斯特-人类)-2阶段,10000,0,0,0,0,9075,1,,,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,90,1,强化矛(奎斯特-兽人)-1阶段,10000,0,0,0,0,9075,1,,,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,90,2,强化矛(奎斯特-兽人)-2阶段,10000,0,0,0,0,9075,1,,,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,100,1,盾_1~10,10000,0,0,0,100,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,100,2,盾_1~10,9000,9500,10000,0,200,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,100,3,盾_1~10,7500,8500,10000,0,300,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0
104,100,4,盾_1~10,6000,7500,10000,0,400,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0
105,100,5,盾_1~10,4500,6500,10000,0,500,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,4,0,0,0,0,0,0,0
106,100,6,盾_1~10,3500,5500,10000,0,600,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,5,0,0,0,0,0,0,0
107,100,7,盾_1~10,2500,4500,10000,0,700,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,0,0,0,0,0,0,6,0,0,0,0,0,0,0
108,100,8,盾_1~10,1500,3500,0,10000,800,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,0,0,0,0,0,0,8,0,0,0,0,3,0,0
109,100,9,盾_1~10,1000,2500,0,10000,900,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,0,0,0,0,0,0,10,0,0,0,0,5,0,0
110,100,10,盾_1~10,900,1500,0,9000,1000,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,167,0,0,0,0,0,0,12,0,0,0,0,7,0,0
111,100,11,盾_1~10,800,0,0,0,1100,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,0,0,0,0,0,0,14,0,0,0,0,9,0,0
112,100,12,盾_1~10,700,0,0,0,1200,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,231,0,0,0,0,0,0,17,0,0,0,0,11,0,0
113,100,13,盾_1~10,600,0,0,0,1300,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,273,0,0,0,0,0,0,20,0,0,0,0,13,0,0
114,100,14,盾_1~10,500,0,0,0,1400,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,315,0,0,0,0,0,0,24,0,0,0,0,15,0,0
115,100,15,盾_1~10,400,0,0,0,1500,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,357,0,0,0,0,0,0,28,0,0,0,0,17,0,0
151,150,1,盾_11~20,10000,0,0,0,1340,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,150,2,盾_11~20,9000,9500,10000,0,2690,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,150,3,盾_11~20,7500,8500,10000,0,4030,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0
154,150,4,盾_11~20,6000,7500,10000,0,5370,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,0,0,0,0,0,0,5,0,0,0,0,0,0,0
155,150,5,盾_11~20,4500,6500,10000,0,6710,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,8,0,0,0,0,0,0,0
156,150,6,盾_11~20,3500,5500,10000,0,8060,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,129,0,0,0,0,0,0,11,0,0,0,0,0,0,0
157,150,7,盾_11~20,2500,4500,10000,0,9400,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,175,0,0,0,0,0,0,14,0,0,0,0,0,0,0
158,150,8,盾_11~20,1500,3500,0,10000,10740,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,221,0,0,0,0,0,0,18,0,0,0,0,3,0,0
159,150,9,盾_11~20,1000,2500,0,10000,12090,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,267,0,0,0,0,0,0,23,0,0,0,0,5,0,0
160,150,10,盾_11~20,900,1500,0,9000,13430,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,331,0,0,0,0,0,0,28,0,0,0,0,7,0,0
161,150,11,盾_11~20,800,0,0,0,14770,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,395,0,0,0,0,0,0,34,0,0,0,0,9,0,0
162,150,12,盾_11~20,700,0,0,0,16110,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,459,0,0,0,0,0,0,41,0,0,0,0,11,0,0
163,150,13,盾_11~20,600,0,0,0,17460,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,543,0,0,0,0,0,0,49,0,0,0,0,13,0,0
164,150,14,盾_11~20,500,0,0,0,18800,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,627,0,0,0,0,0,0,58,0,0,0,0,15,0,0
165,150,15,盾_11~20,400,0,0,0,20140,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,711,0,0,0,0,0,0,69,0,0,0,0,17,0,0
201,200,1,盾_21~30,10000,0,0,0,6350,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
