TID,Comment,Group,CashRate,GhelldRate,Quality,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS
分离器,企划者用,团队值,SID高速缓存概率值,货币获取概率值,品质值,气力,体力,理智,精神力,敏捷,HP固定上升,HP回复量,HP 追加回复量,MP固定上升,MP回复量,MP追加回复量,最小物理攻击,最大物理攻击,最小魔法攻击,最大魔法攻击,物理防御力,魔法防御,命中度,闪避度,减免伤害度,致命一击,无视防御伤害,PvP攻击力,PvP防御力,攻击速度,移动速度,施法速度
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U16,CBwString,U16,U16,U16,U8,U8,U8,U8,U8,U8,S32,S32,S32,S32,S32,S32,U32,U32,U32,U32,U32,U32,U16,U16,U16,U16,U16,F32,F32,U16,U16,U16
1,一般_分身_头盔_交易1,1,1500,1584,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0
2,一般_分身_头盔_交易2,1,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,234,0,0,0,0,0,0,0,0,0,0,0
3,一般_分身_头盔_交易3,1,4500,4752,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0
4,一般_分身_头盔_交易4,1,6000,6336,0,0,0,0,0,0,105,0,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,0
5,一般_分身_头盔_交易5,1,7500,7920,0,0,0,0,4,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,一般_分身_头盔_交易6,1,9000,9504,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,0
7,一般_分身_头盔_交易7,1,9300,9668,1,0,0,0,0,0,105,0,0,0,0,0,0,0,22,24,234,0,0,0,0,0,0,0,0,0,0,0
8,一般_分身_头盔_交易8,1,9600,9832,1,0,0,0,4,0,105,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0
9,一般_分身_头盔_交易9,1,9900,9996,1,0,0,0,4,0,105,0,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,0
10,一般_分身_头盔_交易10,1,10000,10000,2,0,0,0,4,0,105,0,0,0,0,0,0,0,22,24,234,0,0,0,0,0,0,0,0,0,0,0
11,一般_分身_盔甲_交易1,2,1500,1584,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
12,一般_分身_盔甲_交易2,2,3000,3168,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
13,一般_分身_盔甲_交易3,2,4500,4752,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
14,一般_分身_盔甲_交易4,2,6000,6336,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,一般_分身_盔甲_交易5,2,7500,7920,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,一般_分身_盔甲_交易6,2,8800,9504,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,一般_分身_盔甲_交易7,2,9200,9668,1,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
18,一般_分身_盔甲_交易8,2,9600,9832,1,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
19,一般_分身_盔甲_交易9,2,9950,9996,1,4,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
