TID,Comment,ReqTotal,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,EngDesc,LocalDesc
分离器,套装名(企划者用),需要个数,气力,体力,智慧,智力,敏捷,最大 HP,HP回复量,HP追加回复量,最大MP,MP回复量,MP追加回复量,最小物理攻击,最大物理攻击,最小魔法攻击,最大魔法攻击,物理防御,魔法防御,火属性抵抗,水属性抵抗,攻击属性抵抗,土属性抵抗,命中度,闪避度,拦截度,致命一击,防御武器攻击力,PvP攻击力,PvP防御力,攻击速度,移动速度,施法速度,英文说明,韩文说明
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U16,CBwString,U8,U8,U8,U8,U8,U8,S32,S32,S32,S32,S32,S32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U8,U8,U8,U8,U16,F32,F32,U16,U16,U16,CBwString,CBwString
1,高级-1献身的洛夫套装(Lv.10),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
2,高级-1献身的洛夫套装(Lv.10),3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+17魔法值
3,高级-1献身的洛夫套装(Lv.10),4,0,0,0,0,0,0,0,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+20
4,高级-1献身的洛夫套装(Lv.10),5,0,0,0,0,0,0,0,20,0,17,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+21护甲的物理，魔法护甲+32
5,高级-1献身的洛夫套装(Lv.10),6,0,4,0,5,0,0,0,20,0,17,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：耐力+4，+5精神
6,高级-2献身的洛夫套装(Lv.10),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
7,高级-2献身的洛夫套装(Lv.10),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,3套装：+5等级
8,高级-2献身的洛夫套装(Lv.10),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,,4套装：致命一击+3
9,高级-2献身的洛夫套装(Lv.10),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,5套装：+21护甲的物理，魔法护甲+32
10,高级-2献身的洛夫套装(Lv.10),6,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,6.套装：智力+5精神+4
11,高级-1奉献的颈甲套装(Lv.10),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
12,高级-1奉献的颈甲套装(Lv.10),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,3套装：+4躲闪
13,高级-1奉献的颈甲套装(Lv.10),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,,4套装：攻击速度+ 2％
14,高级-1奉献的颈甲套装(Lv.10),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,4,0,0,0,0,0,20,0,0,,5套装：+26护甲的物理，魔法护甲+26
15,高级-1奉献的颈甲套装(Lv.10),6,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,4,0,0,0,0,0,20,0,0,,6.套装：+4力量，敏捷+5
16,高级-2奉献的颈甲套装(Lv.10),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
17,高级-2奉献的颈甲套装(Lv.10),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,3套装：+5等级
18,高级-2奉献的颈甲套装(Lv.10),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,,4套装：+5致命一击
