TID,Comment,ItemTID,SetAbilityTID
分离器,套装名(企划者用）,物品 TID,套装能力值 TID
,,,
U16,CBwString,U32:v,U16:v
1,高级-牺牲之罗布套装(Lv.30),100000|100001|100002|100003|100004|100005,1|2|3|4|5
2,高级-魔术师的罗布套装(Lv.30),100010|100011|100012|100013|100014|100015,6|7|8|9|10
3,高级-技巧的颈甲套装(Lv.30),100030|100031|100032|100033|100034|100035,11|12|13|14|15
4,高级-集中的颈甲套装(Lv.30),100040|100041|100042|100043|100044|100045,16|17|18|19|20
5,高级-保护之中级套装(Lv.30),100060|100061|100062|100063|100064|100065,21|22|23|24|25
6,高级-攻击之中级套装(Lv.30),100070|100071|100072|100073|100074|100075,26|27|28|29|30
7,高级-和谐之罗布套装(Lv.32),100200|100201|100202|100203|100204|100205,1|2|3|4|5
8,高级-智慧的罗布套装(Lv.32),100210|100211|100212|100213|100214|100215,6|7|8|9|10
9,高级-风之颈甲套装(Lv.32),100230|100231|100232|100233|100234|100235,11|12|13|14|15
10,高级-幸运的颈甲套装(Lv.32),100240|100241|100242|100243|100244|100245,16|17|18|19|20
11,高级-警戒之中级套装(Lv.32),100260|100261|100262|100263|100264|100265,21|22|23|24|25
12,高级-无用的中级套装(Lv.32),100270|100271|100272|100273|100274|100275,26|27|28|29|30
13,高级-繁荣的罗布套装(Lv.35),100400|100401|100402|100403|100404|100405,31|32|33|34|35
14,高级-变化的罗布套装(Lv.35),100410|100411|100412|100413|100414|100415,36|37|38|39|40
15,高级-野生的颈甲套装(Lv.35),100430|100431|100432|100433|100434|100435,41|42|43|44|45
16,高级-野性的颈甲套装(Lv.35),100440|100441|100442|100443|100444|100445,46|47|48|49|50
17,高级-护卫之中级套装(Lv.35),100460|100461|100462|100463|100464|100465,51|52|53|54|55
18,高级-欺诈之中级套装(Lv.35),100470|100471|100472|100473|100474|100475,56|57|58|59|60
19,高级-谅解之罗布套装(Lv.35),100500|100501|100502|100503|100504|100505,31|32|33|34|35
20,高级-探索之罗布套装(Lv.35),100510|100511|100512|100513|100514|100515,36|37|38|39|40
21,高级-匠人之颈甲套装(Lv.35),100530|100531|100532|100533|100534|100535,41|42|43|44|45
22,高级-行家之颈甲套装(Lv.35),100540|100541|100542|100543|100544|100545,46|47|48|49|50
23,高级-分解之中级套装(Lv.35),100560|100561|100562|100563|100564|100565,51|52|53|54|55
24,高级-无畏之中级套装(Lv.35),100570|100571|100572|100573|100574|100575,56|57|58|59|60
25,高级-牧师之罗布套装(Lv.40),100600|100601|100602|100603|100604|100605,61|62|63|64|65
26,高级-萨满的罗布套装(Lv.40),100610|100611|100612|100613|100614|100615,66|67|68|69|70
27,高级-斥候之颈甲套装(Lv.40),100630|100631|100632|100633|100634|100635,71|72|73|74|75
28,高级-搜查小组的颈甲套装(Lv.40),100640|100641|100642|100643|100644|100645,76|77|78|79|80
29,高级-保护装置的中级套装(Lv.40),100660|100661|100662|100663|100664|100665,81|82|83|84|85
30,高级-征服者的中级套装(Lv.40),100670|100671|100672|100673|100674|100675,86|87|88|89|90
31,高级-大牧师之罗布套装(Lv.40),100700|100701|100702|100703|100704|100705,61|62|63|64|65
32,高级-奥术师的罗布套装(Lv.40),100710|100711|100712|100713|100714|100715,66|67|68|69|70
33,高级-强盗的颈甲套装(Lv.40),100730|100731|100732|100733|100734|100735,71|72|73|74|75
34,高级-侵略者的颈甲套装(Lv.40),100740|100741|100742|100743|100744|100745,76|77|78|79|80
35,高级-领导力之中级套装(Lv.40),100760|100761|100762|100763|100764|100765,81|82|83|84|85
36,高级-愤怒的中级套装(Lv.40),100770|100771|100772|100773|100774|100775,86|87|88|89|90
37,高级-奉献的罗布套装(Lv.42),100800|100801|100802|100803|100804|100805,91|92|93|94|95
38,高级-秘密的罗布套装(Lv.42),100810|100811|100812|100813|100814|100815,96|97|98|99|100
39,高级-突然袭击的颈甲套装(Lv.42),100830|100831|100832|100833|100834|100835,101|102|103|104|105
40,高级-伏兵的颈甲套装(Lv.42),100840|100841|100842|100843|100844|100845,106|107|108|109|110
41,高级 - 中级套装的凡城（Lv.42）,100860|100861|100862|100863|100864|100865,111|112|113|114|115
42,高级 - 中级恼怒套装（Lv.42）,100870|100871|100872|100873|100874|100875,116|117|118|119|120
43,高级 - 罗布套装赎罪（Lv.42）,100900|100901|100902|100903|100904|100905,91|92|93|94|95
44,高级 - 罗布痛苦的套装（Lv.42）,100910|100911|100912|100913|100914|100915,96|97|98|99|100
45,高级 - 的颈甲复仇套装（Lv.42）,100930|100931|100932|100933|100934|100935,101|102|103|104|105
46,高级 - 多个颈甲套装（Lv.42）,100940|100941|100942|100943|100944|100945,106|107|108|109|110
47,高级 - 中级项套装（一）（Lv.42）,100960|100961|100962|100963|100964|100965,111|112|113|114|115
48,高级 - 中级套装司法部（Lv.42）,100970|100971|100972|100973|100974|100975,116|117|118|119|120
49,高级 - 罗布套装贤者（Lv.45）,101000|101001|101002|101003|101004|101005,121|122|123|124|125
50,高级 - 罗布套装大法师（Lv.45）的,101010|101011|101012|101013|101014|101015,126|127|128|129|130
51,高级 - 颈甲套装想（Lv.45）,101030|101031|101032|101033|101034|101035,131|132|133|134|135
52,高级 - 仇恨颈甲套装（Lv.45）,101040|101041|101042|101043|101044|101045,136|137|138|139|140
53,高级 - 不屈不挠中级套装（Lv.45）,101060|101061|101062|101063|101064|101065,141|142|143|144|145
54,高级 - 狂怒中级套装（Lv.45）,101070|101071|101072|101073|101074|101075,146|147|148|149|150
55,高级 - 罗布的命运套装（Lv.45）,101100|101101|101102|101103|101104|101105,121|122|123|124|125
56,高级 - 罗布灭绝套装（Lv.45）,101110|101111|101112|101113|101114|101115,126|127|128|129|130
57,高级 - 阴影颈甲套装（Lv.45）,101130|101131|101132|101133|101134|101135,131|132|133|134|135
58,高级 - 颈投影甲套装（Lv.45）,101140|101141|101142|101143|101144|101145,136|137|138|139|140
59,高级 - 无敌中级套装（Lv.45）,101160|101161|101162|101163|101164|101165,141|142|143|144|145
60,高级 - 中级套装勇士（Lv.45）,101170|101171|101172|101173|101174|101175,146|147|148|149|150
