TID,Compare,PC2PC_HitPoint,PC2NPC_HitPoint,NPC2PC_HitPoint,NPC2NPC_HitPoint,PC2PC_Attack,PC2NPC_Attack,NPC2PC_Attack,NPC2NPC_Attack,PC_WeaponExp,PC_Drop,PC_Exp,PC_Ghelld,PC_GatherExp,PC_GatherProba
索引,等级差别,PC 等级基准 PvP 命中率差别,PC 等级基准 命中率 差别,NPC 等级基准 命中率差别,NPC对NPC 等级基准 命中率差别,PC 等级基准 PvP 伤害差别,PC 等级基准 伤害差别,NPC 等级基准 伤害差别,NPC对NPC 等级基准 伤害差别,PC 等级基准 武器熟练度差别,PC 等级基准 物品掉率差别,PC 等级基准 获得经验值差别,PC 等级基准 盖尔德量差别,采集熟练度 等级差别,采集成功率差别
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U8,S16,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32
1,-10,1,1,2,2,1,1,1,2,0.7,0,0.4,0,0,100
2,-9,1,1,2,2,1,1,1,2,0.7,0,0.4,0,0,100
3,-8,1,1,1.8,1.8,1,1,1,1.8,0.7,0,0.4,0,0,100
4,-7,1,1,1.8,1.8,1,1,1,1.8,0.7,0,0.4,0,1,100
5,-6,1,1,1.6,1.6,1,1,1,1.6,0.7,0,0.4,0,1,100
6,-5,1,1,1.6,1.6,1,1,1,1.6,0.9,40,0.4,40,1,100
7,-4,1,1,1.4,1.4,1,1,1,1.4,0.9,70,0.7,70,1,100
8,-3,1,1,1.4,1.4,1,1,1,1.4,0.9,90,0.9,90,1,90
9,-2,1,1,1.2,1.2,1,1,1,1.2,1,100,1,100,1,90
10,-1,1,1,1.2,1.2,1,1,1,1.2,1,100,1,100,1,85
11,0,1,1,1,1,1,1,1,1,1,100,1,100,1,80
12,1,1,1,1,1,1,1,1,0.9,1,100,1,100,0,0
13,2,1,1,1,1,1,1,1,0.9,1.2,100,1,100,0,0
14,3,1,1,1,1,1,1,1,0.8,1.4,90,0.9,90,0,0
15,4,1,1,1,1,1,1,1,0.8,1.4,70,0.7,70,0,0
16,5,1,1,1,1,1,1,1,0.7,1.4,40,0.4,40,0,0
17,6,1,1,1,1,1,1,1,0.7,1.8,0,0.4,0,0,0
18,7,1,1,1,1,1,1,1,0.6,1.8,0,0.4,0,0,0
19,8,1,1,1,1,1,1,1,0.6,1.8,0,0.4,0,0,0
20,9,1,1,1,1,1,1,1,0.5,2,0,0.4,0,0,0
21,10,1,1,1,1,1,1,1,0.5,2,0,0.4,0,0,0
