TID,Column,Pos,Desc
桌子名,色彩名,色彩位置,说明
2,2,2,2
CBwString,CBwString:v,S32:v,CBwString
ActionTable,LocalName,2,
AreaTable,LocalName|LocalSubName,15|16,
EntityTable,LocalTitle|LocalName,12|13,
HelpTable,LocalTitle|LocalName|LocalDesc,3|5|9,
InstanceMapTable,LocalName|LocalDesc,4|26,
InstanceRoundTable,LocalDesc,2,
ItemCoinTable,LocalName,3,
ItemTable,LocalName|LocalDesc,3|96,
MessageBoxTable,LocalTitle|LocalContents|LocalDesc,3|5|9,
MessageTable,LocalContents,4,
NpcDlgStringTable,LocalContents|LocalDesc,7|9,
NpcTable,LocalTitle|LocalName,12|13,
PortalTable,LocalName,2,
QuestMissionTable,LocalTitle|LocalPurpose,3|4,
QuestSceneTable,LocalDesc,8,
QuestTable,LocalTitle|LocalMain|LocalProgressScript|LocalFinishScript|LocalMiniBarFinish,7|8|9|10|11,
SkillTable,LocalName|LocalDesc,5|67,
TipTable,LocalDesc,3,
WarContentsTable,LocalName|LocalDesc,3|37,
FamePointTable,LocalClass,2,
