TID,Type,Kind,Value,ToRealm,Property,Title,Main,Sender,KeepTerm,AddGhelld,AddItemTID,AddItemCount,LocalDesc
Tid,类型,种类,值,遭受的阵营,属性,项目,内容,发送人,保管期限,附件货币,附件物品,附件物品数量,韩文用途说明
1,1,1,1,1,1,1,1,1,1,1,1,1,2
U32,U8,U8,U8,U8,U8,CBwString,CBwString,CBwString,U8,U32,U32,U8,CBwString
1,1,1,0,2,1,MSG_MAIL_SELLITEM,MSG_MAILMAIN_SELLITEM,MSG_MAIL_ACN,2,,,,拍卖场项目销售时
2,1,2,0,2,1,MSG_MAIL_NOSELLITEM,MSG_MAILMAIN_NOSELLITEM,MSG_MAIL_ACN,2,,,,拍卖时
3,2,1,3,2,1,MSG_MAIL_LVREWARD_1,MSG_MAILMAIN_LVREWARD_01,MSG_MAIL_AL2,5,,510019,1,人物等级达到3级时
4,2,1,7,2,1,MSG_MAIL_LVREWARD_2,MSG_MAILMAIN_LVREWARD_02,MSG_MAIL_AL2,5,,510020,1,人物等级达到7级时
5,2,1,15,2,1,MSG_MAIL_LVREWARD_3,MSG_MAILMAIN_LVREWARD_03,MSG_MAIL_AL2,5,,510021,1,人物等级达到十五级时
6,2,1,20,2,1,MSG_MAIL_LVREWARD_4,MSG_MAILMAIN_LVREWARD_04,MSG_MAIL_AL2,5,,510022,1,人物等级达到20级时
7,2,1,25,2,1,MSG_MAIL_LVREWARD_5,MSG_MAILMAIN_LVREWARD_05,MSG_MAIL_AL2,5,,510023,1,人物等级达到25级时
8,2,1,30,2,1,MSG_MAIL_LVREWARD_6,MSG_MAILMAIN_LVREWARD_06,MSG_MAIL_AL2,5,,510024,1,角色等级完成30时
9,2,1,35,2,1,MSG_MAIL_LVREWARD_7,MSG_MAILMAIN_LVREWARD_07,MSG_MAIL_AL2,5,,510025,1,人物等级达到35级时
10,2,1,40,2,1,MSG_MAIL_LVREWARD_8,MSG_MAILMAIN_LVREWARD_08,MSG_MAIL_AL2,5,,510026,1,人物等级达到40级时
100,4,0,0,2,1,MSG_MAIL_LOL_WIN1,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,泪光火石般的大地胜利奖励1（30至40级）
101,4,0,0,2,1,MSG_MAIL_LOL_LOSE1,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400101,1,泪光火石般的大地失败奖励1（30至40级）
110,4,0,0,2,1,MSG_MAIL_LOL_WIN2,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,泪光火石般的大地胜利奖励（41～45级）。
