TID,String,EngTitle,LocalTitle,EngContents,LocalContents,FontColor,FontSize,EngDesc,LocalDesc
???id,???,?? ???,?? ???,?? ??,?? ??,???,????,?? ????,?? ????
2,2,2,2,2,2,2,2,2,2
U16,CBwString,CBwString,CBwString,CBwString,CBwString,CBwString,U8,CBwString,CBwString
1,BOX_SERVER_NOT_OPENED,MBT_Title_000001,不可连接,MBT_Contents_000001,<TC '255:198:0' Text'服务器无法连接.'/>,"255,0,0",10,MBT_Desc_000001,服务器无法连接的情况
2,BOX_CONNECTION_CLOSED,MBT_Title_000002,不可连接,MBT_Contents_000002,<TC '255:198:0' Text'服务器和连接被终止.'/>,"255,0,0",10,MBT_Desc_000002,服务器掉线
3,BOX_SECURITY_ERROR,MBT_Title_000003,不可连接,MBT_Contents_000003,<TC '255:198:0' Text'安全程序无法正常进行.'/>,"255,0,0",10,MBT_Desc_000003,保护程序不能正常启动的情况
4,BOX_ERROR_CONNECTION,MBT_Title_000004,不可连接,MBT_Contents_000004,<TC '255:198:0' Text'您已连接到角色./n请重新连接.'/>,"255,0,0",10,MBT_Desc_000004,游戏角色已经链接情况
5,BOX_SELECT_CAMP_REQUEST,MBT_Title_000005,阵营选择,MBT_Contents_000005,<TC '255:198:0' Text'请选择一个阵营.'/>,"235,203,147",10,MBT_Desc_000005,第一次阵营选择的信息弹出
6,BOX_CAMP_SELECT,MBT_Title_000006,阵营选择,MBT_Contents_000006,<TC '255:198:0' Text'再次选择阵营的话在同一设备上无法生成其它阵营角色./n要继续进行吗?/n现在选择阵营 : $GetValue1()'/>,"235,203,147",10,MBT_Desc_000006,阵营选择的确认信息
7,BOX_CHARACTOR_NAME_NEED,MBT_Title_000007,人物名称输入,MBT_Contents_000007,<TC '255:198:0' Text'请设置角色名称'/>,"235,203,147",10,MBT_Desc_000007,生成角色时不能填写姓名的情况
8,BOX_CHARACTOR_CREATING,MBT_Title_000008,信息,MBT_Contents_000008,<TC '255:198:0' Text'角色正在生成中..…'/>,"235,203,147",10,MBT_Desc_000008,角色生成中的状态
9,BOX_CHARACTOR_DELETE_CONFIRM,MBT_Title_000009,人物删除,MBT_Contents_000009,<TC '255:198:0' Text'要删除角色吗?/n删除的角色无法恢复./n$GetValue1()'/>,"255,0,0",10,MBT_Desc_000009,角色删除确认信息
10,BOX_CHARACTOR_DELETE_FAIL,MBT_Title_000010,人物删除失败,MBT_Contents_000010,<TC '255:198:0' Text'删除角色失败.'/>,"255,0,0",10,MBT_Desc_000010,角色删除失败信息
