TID,Position,String,EngContents,LocalContents,System_Voice,FontColor,FontSize,Comment
测试id,输出位置,文字列,英文内容,内容,应用输出,字体颜色,字体大小,开发者用 用途说明
2,2,2,2,2,2,2,2,2
U16,U16,CBwString,CBwString,CBwString,CBwString:v,CBwString,U8,CBwString
1,0,WORD_RACE_HUMAN,MST_Contents_000001,人类,,"255,255,255",10,提示中的种族名称
2,0,WORD_RACE_MOONELF,MST_Contents_000002,月精灵,,"255,255,255",10,提示中的种族名称
3,0,WORD_RACE_DRAGONSION,MST_Contents_000003,龙之复仇者,,"255,255,255",10,提示中的种族名称
4,0,WORD_RACE_ORC,MST_Contents_000004,兽人,,"255,255,255",10,提示中的种族名称
5,0,WORD_GENDER_MAN,MST_Contents_000005,男,,"255,255,255",10,提示中的性别区分
6,0,WORD_GENDER_WOMAN,MST_Contents_000006,女,,"255,255,255",10,提示中的性别区分
7,0,WORD_RACEWAR_OCCUPY,MST_Contents_000007,占领完成,,"255,255,255",10,在大规模种族战中占领艾康的时候
8,0,WORD_RACEWAR_OCCUPYING,MST_Contents_000008,占领中,,"255,255,255",10,在大规模种族战中占领艾康的时候
9,0,WORD_RACEWAR_OCCUPY_NOT,MST_Contents_000009,占领未完成,,"255,255,255",10,在大规模种族战中占领艾康的时候
10,0,WORD_STATUS_LEVEL,MST_Contents_000010,要求等级,,"255,255,255",10,提示中的等级限制
11,0,WORD_TOOLTIP_ITEM_WEAPON_LIMIT,MST_Contents_000011,要求主武器,,"255,255,255",10,提示中的主武器限制
12,0,WORD_TOOLTIP_ITEM_FAME_LIMIT,MST_Contents_000012,要求名望等级,,"255,255,255",10,提示中的名望等级限制
13,0,WORD_TOOLTIP_ITEM_COMMON,MST_Contents_000013,<TC '191:191:191' Text'低级'/>,,"191,191,191",10,提示中的物品等级
14,0,WORD_TOOLTIP_ITEM_NORMAL,MST_Contents_000014,普通,,"255,255,255",10,提示中的物品等级
15,0,WORD_TOOLTIP_ITEM_MAGIC,MST_Contents_000015,<TC '0:208:94' Text'高级'/>,,"0,208,94",10,提示中的物品等级
16,0,WORD_TOOLTIP_ITEM_RARE,MST_Contents_000016,<TC '0:176:240' Text'稀有'/>,,"0,176,240",10,提示中的物品等级
17,0,WORD_TOOLTIP_ITEM_UNIQUE,MST_Contents_000017,<TC '112:48:160' Text'特别'/>,,"112,48,160",10,提示中的物品等级
18,0,WORD_TOOLTIP_ITEM_HEROIC,MST_Contents_000018,<TC '228:108:10' Text'英雄'/>,,"228,108,10",10,提示中的物品等级
19,0,WORD_TOOLTIP_ITEM_CASH,MST_Contents_000019,收费项目,,"255,210,0",10,提示中的物品等级 收费项目
20,0,WORD_ITEMBREAK_TOOLTIP,MST_Contents_000020,可分解,,"255,255,255",10,提示中的可分解物品
21,0,WORD_ARMOR,MST_Contents_000021,防御品,,"255,255,0",10,提示中的可分解物品
22,0,WORD_ARMOR_HEAD,MST_Contents_000022,头盔,,"255,255,0",10,提示中的物品种类
23,0,WORD_ARMOR_CHEST,MST_Contents_000023,铠甲,,"255,255,0",10,提示中的物品种类
24,0,WORD_ARMOR_HANDS,MST_Contents_000024,手套,,"255,255,0",10,提示中的物品种类
