TID,Comment,BaseGoal,DetectRadius,WanderRadius,BattleRadius,BattleRestore,AttackSkill,AttackRate,Action01,Action02,Action03,Action04,Action05,Action06,Action07,Action08,Action09,Action10,Talk_01,Talk_02,Talk_03,Talk_04,Talk_05
?? ??,????,????,?? ??,?? ??,?? ??,HP ?? ??,????,????,A.I ?? 1?,A.I ?? 2?,A.I ?? 3?,A.I ?? 4?,A.I ?? 5?,A.I ?? 6?,A.I ?? 7?,A.I ?? 8?,A.I ?? 9?,A.I ?? 10?,马风船 1号,马风船 2号,马风船 3号,马风船 4号,马风船 5号
,,,,,,,,,,,,,,,,,,,,,,,
U32,CBwString,CBwString,F32,F32,F32,U8,U32:v,U8:v,CBwString:v,CBwString:v,CBwString:v,CBwString:v,CBwString:v,CBwString:v,CBwString:v,CBwString:v,CBwString:v,CBwString:v,CBwString:a:Talk,CBwString,CBwString,CBwString,CBwString
1,Lv.2哥布林(7030),wander,0,10,40,1,100001|100002,50|50,MyHP|80|Rate|30|Skill|100003,,,,,,,,,,,,,,
2,Lv.3哥布林攻击者(7030),wander,0,10,40,1,100011|100012,50|50,MyHP|80|Rate|30|Skill|100013,,,,,,,,,,,,,,
3,Lv.3哥布林弓箭手(7031),wander,0,10,40,1,100021|100022,50|50,MyHP|80|Rate|30|Skill|100023,,,,,,,,,,,,,,
4,Lv.5黑魔法师的召唤师(5027),wander,0,10,40,1,100031|100032,50|50,MyHP|80|Rate|30|Skill|100033,,,,,,,,,,,,,,
5,Lv.4年幼的贝斯帕德(9000)-无攻击技能,wander,0,10,40,1,100041|100042,50|50,,,,,,,,,,,,,,,
6,Lv.5贝斯帕德(9000)-无攻击技能,wander,0,10,40,1,100051|100052,50|50,,,,,,,,,,,,,,,
7,Lv.5成年贝斯帕德(9001)-无攻击技能,wander,0,10,40,1,100061|100062,50|50,,,,,,,,,,,,,,,
8,Lv.6铁甲贝斯帕德(9001)-无攻击技能,wander,0,10,40,1,100071|100072,50|50,,,,,,,,,,,,,,,
9,Lv.6哥布林抢掠者(7030),wander,0,10,40,1,100081|100082,50|50,MyHP|80|Rate|30|Skill|100083,,,,,,,,,,,,,,
10,Lv.7哥布林巫师(7032),wander,0,10,40,1,100091|100092,50|50,MyHP|80|Rate|30|Skill|100093,,,,,,,,,,,,,,
11,Lv.8哥布林指令(7030),wander,0,10,40,1,100101|100102,50|50,MyHP|80|Rate|30|Skill|100103,,,,,,,,,,,,,,
12,Lv.7被支配的拖网(7036),wander,0,10,40,1,100111|100112,50|50,MyHP|80|Rate|30|Skill|100113,,,,,,,,,,,,,,
13,Lv.8砂轮追击者(7048),wander,0,10,40,1,100121|100122,50|50,MyHP|80|Rate|30|Skill|100123,,,,,,,,,,,,,,
14,Lv.8砂轮(7048),wander,0,10,40,1,100131|100132,50|50,MyHP|80|Rate|30|Skill|100133,,,,,,,,,,,,,,
15,Lv.9砂轮猎人(7049),wander,0,10,40,1,100141|100142,50|50,MyHP|80|Rate|30|Skill|100143,,,,,,,,,,,,,,
16,Lv.9砂轮战士(7051),wander,0,10,40,1,100151|100152,50|50,MyHP|80|Rate|30|Skill|100153,,,,,,,,,,,,,,
17,Lv.8残忍的鲁卡鲁(7048),wander,0,10,40,1,100161|100162,50|50,MyHP|80|Rate|30|Skill|100163,,,,,,,,,,,,,,
18,Lv.8强硬的路阿卡(7049),wander,0,10,40,1,100171|100172,50|50,MyHP|80|Rate|30|Skill|100173,,,,,,,,,,,,,,
19,Lv.9钢牙路.佩勒(7051),wander,0,10,40,1,100181|100182,50|50,MyHP|80|Rate|30|Skill|100183,,,,,,,,,,,,,,
20,Lv.10布雷斯莱斯巡逻兵(5033),wander,0,10,40,1,100191|100192,50|50,MyHP|80|Rate|30|Skill|100193,,,,,,,,,,,,,,
