TID,Type,Kind,Property,SpecialValue,Race,Grade,WeaponType,ShapeID,Comment,EngTitle,EngName,LocalTitle,LocalName,UseIconType,WorldMapIcon,Level,HP,MP,HPR,MPR,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,DP,BP,AP,CP,IGN_AT,AS,Ws,WsAni,RS,RsAni,CS,Exp,ItemDropTID,MapDropTID,SaleTID,Motion,EventRange,Color,Width,Height,Scale,NpcBrain,RegenR,RegenTimeMin,RegenTimeMax,Greeting,Eventlist,Gossip,GreetVoice,GoodbyeVoice
索引,角色大分类,角色小分类,角色属性值,特殊价值,种族,等级,武器类型,外形信息,企划人用,英文标题名称,英文名称,韩文标题名称,韩文名称,图标路线是否使用,世界地图标示图标,等级,生命数值,魔法数值,生命再生量,魔法再生量,最小物理攻击力,最大物理攻击力,最小魔法攻击力,最大魔法攻击力,物理防御力,魔法防御力,火属性抵抗度,水属性抵抗度,空气属性抵抗度,土属性抵抗度,回避度,布劳度,命中度,致命度,无视防御攻击度,攻击速度,行走速度,安妮实际走路距离,跑步速度,安妮实际跑步距离,施展速度,经验值,项目落实TID参考,地图落实TID,商店TID参考,运动编号,活动错误值,颜色,NPC宽度,NPC高度,NPC尺寸,A.I类型,半径恢复,最小恢复时间,最大恢复时间,问候语,活动按钮,传闻,NPC问候声音,NPC告别声音
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,
U32,U8,U8,U8,U8,U8,U8,U8,U32,CBwString,CBwString,CBwString,CBwString,CBwString,U8,U32,U8,S32,S32,U16,U16,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U16,U16,U16,U16,U16,U16,U16,U16,U16,U16,U16,S64,U16,U16,U8,U16,U8,string,F32,F32,F32,U32,F32,U32,U32,U16:v,U16:v,U16:v,CBwString:v,CBwString:v
300001,4,0,0,0,0,1,0,20000,  ,NPT_Title_000001,NPT_Name_000001,Lv.1,伤痕陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20001,0,0,0,0,0,0,,
300002,4,0,0,0,0,1,0,20000,  ,NPT_Title_000002,NPT_Name_000002,Lv.2,伤痕陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20002,0,0,0,0,0,0,,
300003,4,0,0,0,0,1,0,20000,  ,NPT_Title_000003,NPT_Name_000003,Lv.3,伤痕陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20003,0,0,0,0,0,0,,
300004,4,0,0,0,0,1,0,20000,  ,NPT_Title_000004,NPT_Name_000004,Lv.4,伤痕陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20004,0,0,0,0,0,0,,
300005,4,0,0,0,0,1,0,20000,  ,NPT_Title_000005,NPT_Name_000005,Lv.5,伤痕陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20005,0,0,0,0,0,0,,
300011,4,0,0,0,0,1,0,20000,  ,NPT_Title_000006,NPT_Name_000006,Lv.1,刀刃陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20011,0,0,0,0,0,0,,
300012,4,0,0,0,0,1,0,20000,  ,NPT_Title_000007,NPT_Name_000007,Lv.2,刀刃陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20012,0,0,0,0,0,0,,
