TID,Level,Exp,SkillTID_01,SkillTID_02,SkillTID_03,SkillTID_04,SkillTID_05,SkillTID_06,SkillTID_07,SkillTID_08,SkillTID_09,SkillTID_10,InsMapTID
分离器,小队平均等级,需要经验值,1#技能 TID,2#技能 TID,3#技能 TID,4#技能 TID,5#技能 TID,6#技能 TID,7#技能 TID,8#技能 TID,9#技能 TID,10#技能 TID,即时地图 TID
,,,,,,,,,,,,,
U16,U8,S64,U32:a:SkillTID,U32,U32,U32,U32,U32,U32,U32,U32,U32,U16
1,1,15875,230011,230013,230015,230016,230017,0,0,0,0,0,2001
2,2,19353,230011,230013,230015,230016,230017,0,0,0,0,0,2001
3,3,23254,230011,230013,230015,230016,230017,0,0,0,0,0,2001
4,4,27596,230011,230013,230015,230016,230017,0,0,0,0,0,2001
5,5,32400,230011,230013,230015,230016,230017,0,0,0,0,0,2001
6,6,37683,230011,230013,230015,230016,230017,0,0,0,0,0,2002
7,7,43465,230011,230013,230015,230016,230017,0,0,0,0,0,2002
8,8,49766,230011,230013,230015,230016,230017,0,0,0,0,0,2002
9,9,56604,230011,230013,230015,230016,230017,0,0,0,0,0,2002
10,10,64000,230011,230013,230015,230016,230017,0,0,0,0,0,2002
11,11,71971,230011,230013,230015,230016,230017,0,0,0,0,0,2003
12,12,80537,230011,230013,230015,230016,230017,0,0,0,0,0,2003
13,13,89718,230011,230013,230015,230016,230017,0,0,0,0,0,2003
14,14,99532,230011,230013,230015,230016,230017,0,0,0,0,0,2003
15,15,110000,230011,230013,230015,230016,230017,0,0,0,0,0,2003
16,16,121139,230011,230013,230015,230016,230017,0,0,0,0,0,2004
17,17,132969,230011,230013,230015,230016,230017,0,0,0,0,0,2004
18,18,145510,230011,230013,230015,230016,230017,0,0,0,0,0,2004
19,19,158780,230011,230013,230015,230016,230017,0,0,0,0,0,2004
20,20,172800,230011,230013,230015,230016,230017,0,0,0,0,0,2004
21,21,187587,230011,230013,230015,230016,230017,0,0,0,0,0,2005
22,22,203161,230011,230013,230015,230016,230017,0,0,0,0,0,2005
23,23,219542,230011,230013,230015,230016,230017,0,0,0,0,0,2005
24,24,236748,230011,230013,230015,230016,230017,0,0,0,0,0,2005
25,25,254800,230011,230013,230015,230016,230017,0,0,0,0,0,2005
26,26,273715,230011,230013,230015,230016,230017,0,0,0,0,0,2006
27,27,293513,230011,230013,230015,230016,230017,0,0,0,0,0,2006
28,28,314214,230011,230013,230015,230016,230017,0,0,0,0,0,2006
29,29,335836,230011,230013,230015,230016,230017,0,0,0,0,0,2006
30,30,358400,230011,230013,230015,230016,230017,0,0,0,0,0,2006
31,31,381923,230011,230013,230015,230016,230017,0,0,0,0,0,1
32,32,406425,230011,230013,230015,230016,230017,0,0,0,0,0,1
33,33,431926,230011,230013,230015,230016,230017,0,0,0,0,0,1
34,34,458444,230011,230013,230015,230016,230017,0,0,0,0,0,1
35,35,486000,230011,230013,230015,230016,230017,0,0,0,0,0,1
36,36,514611,230011,230013,230015,230016,230017,0,0,0,0,0,1
37,37,544297,230011,230013,230015,230016,230017,0,0,0,0,0,1
38,38,575078,230011,230013,230015,230016,230017,0,0,0,0,0,1
39,39,606972,230011,230013,230015,230016,230017,0,0,0,0,0,1
40,40,640000,230011,230013,230015,230016,230017,0,0,0,0,0,1
41,41,674179,230011,230013,230015,230016,230017,0,0,0,0,0,1
42,42,709529,230011,230013,230015,230016,230017,0,0,0,0,0,1
43,43,746070,230011,230013,230015,230016,230017,0,0,0,0,0,1
44,44,783820,230011,230013,230015,230016,230017,0,0,0,0,0,1
45,45,822800,230011,230013,230015,230016,230017,0,0,0,0,0,1
46,46,863027,230011,230013,230015,230016,230017,0,0,0,0,0,1
47,47,904521,230011,230013,230015,230016,230017,0,0,0,0,0,1
48,48,947302,230011,230013,230015,230016,230017,0,0,0,0,0,1
49,49,991388,230011,230013,230015,230016,230017,0,0,0,0,0,1
50,50,1036800,230011,230013,230015,230016,230017,0,0,0,0,0,1
51,51,1083555,230011,230013,230015,230016,230017,0,0,0,0,0,1
52,52,1131673,230011,230013,230015,230016,230017,0,0,0,0,0,1
53,53,1181174,230011,230013,230015,230016,230017,0,0,0,0,0,1
54,54,1232076,230011,230013,230015,230016,230017,0,0,0,0,0,1
55,55,1284400,230011,230013,230015,230016,230017,0,0,0,0,0,1
