TID,Type,Kind,Race,Gen,MainWeapon,ShapeID,Comment,Level,STR,CON,WIS,MEN,AGI,HP,MP,HPR,MPR,HPRBuff,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,DP,BP,AP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,Motion,Width,Height,Scale
分离器,人物,人物小分类,种族,性别,主武器,外型信息,企划者用用途说明,等级,气力,体力,智慧,技能,邻近,生命,魔力,生命回复量,魔法回复量,HP 追加回复量,MP 追加回复量,最小物理攻击力,最大物理攻击力,最小魔法攻击力,最大魔法攻击力,物理防御力,魔法防御力,火元素抗性,云元素抗性,气元素抗性,土元素抗性,闪躲,拦截度,命中度,致命一击,防御武器攻击度,PvP攻击力,PvP防御力,攻击速度,移动速度,施法速度,动作号,PC 面积大小,PC 高度大小,PC size
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,U8,U8,U8,U8,U8,U32,CBwString,U8,U16,U16,U16,U16,U16,S32,S32,U16,U16,S32,S32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U8,U8,U8,U8,U16,F32,F32,U16,U16,U16,U16,F32,F32,F32
1,1,1,1,1,0,1,人类男,1,0,0,0,0,0,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
2,1,2,1,2,0,2,人类女,1,0,0,0,0,0,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
3,1,3,2,1,0,3,月精灵男,1,0,0,0,0,0,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
4,1,4,2,2,0,4,月精灵女,1,0,0,0,0,0,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
5,1,5,3,1,0,5,龙之复仇者男,1,0,0,0,0,0,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
6,1,6,3,2,0,6,龙之复仇者女,1,0,0,0,0,0,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
7,1,7,4,1,0,7,兽人男,1,0,0,0,0,0,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
8,1,8,4,2,0,8,兽人女,1,0,0,0,0,0,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
101,1,1,1,1,10,1,人类男,1,4,10,1,1,2,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
102,1,1,1,1,11,1,人类男,1,10,2,1,1,4,750,250,35,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
103,1,1,1,1,12,1,人类男,1,4,2,1,1,10,650,350,30,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
104,1,1,1,1,2,1,人类男,1,1,2,4,10,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
105,1,2,1,2,10,2,人类女,1,4,10,1,1,2,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
106,1,2,1,2,11,2,人类女,1,10,2,1,1,4,750,250,35,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
107,1,2,1,2,12,2,人类女,1,4,2,1,1,10,650,350,30,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
108,1,2,1,2,2,2,人类女,1,1,2,4,10,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
109,1,3,2,1,1,3,月精灵男,1,4,10,1,1,2,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
110,1,3,2,1,8,3,月精灵男,1,1,2,10,4,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
111,1,3,2,1,4,3,月精灵男,1,4,2,1,1,10,650,350,30,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
112,1,3,2,1,13,3,月精灵男,1,1,2,4,10,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
113,1,4,2,2,1,4,月精灵女,1,4,10,1,1,2,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
114,1,4,2,2,8,4,月精灵女,1,1,2,10,4,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
115,1,4,2,2,4,4,月精灵女,1,4,2,1,1,10,650,350,30,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
116,1,4,2,2,13,4,月精灵女,1,1,2,4,10,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2.5,1
117,1,5,3,1,10,5,龙之复仇者男,1,4,10,1,1,2,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
