TID,Comment,EngName,LocalName,SrcEntityTID,DstEntityTID,DstWorldPlaceTID,Radius,reqRace,reqMinLV,reqMaxLV,reqQuest,reqMoney,reqItem,reqItemCount,reqHaveItem,reqHaveItemCount
分隔符,私用,英文逃脱名字,逃脱名字,出发地点EntityTID,到达地点EntityTID,到达地点WorldPlaceTID,逃脱范围,0:不可使用（不） 1:人类 2:月精灵 4:龙之复仇者 8:兽人//比特运算,使用最小级别,使用最大级别,需要的探索,需要的钱,需要的的消费物品 ,需要的消费物品数,需要的携带道具,需要携带的物品数
,,,,,,,,,,,,,,,,
U16,CBwString,CBwString,CBwString,U32,U32,U32,F32,U8,U8,U8,U32,S64,U32,U32,U32,U32
1,斯蒂尔普瑞斯 逃脱,PTT_Name_000001,尖塔村庄 逃脱,101000,101001,3086,1,5,1,99,0,90,0,0,0,0
2,斯蒂尔普瑞斯 逃脱,PTT_Name_000002,安息的村庄 逃脱,101000,101030,54614,1,5,1,99,0,90,0,0,0,0
3,斯蒂尔普瑞斯 逃脱,PTT_Name_000003,红岩军团第二侦察队 逃脱,101000,101006,18602,1,5,1,99,0,450,0,0,0,0
4,斯蒂尔普瑞斯 逃脱,PTT_Name_000004,被遗忘的村庄  逃脱,101000,101014,20656,1,5,1,99,0,2250,0,0,0,0
5,斯蒂尔普瑞斯 逃脱,PTT_Name_000005,风之溪谷交易所 逃脱,101000,101019,28406,1,5,1,99,0,4500,0,0,0,0
11,尖塔村庄 逃脱,PTT_Name_000006,斯蒂尔普瑞斯 逃脱,101001,101000,4140,1,5,1,99,0,90,0,0,0,0
12,尖塔村庄 逃脱,PTT_Name_000007,难民营 逃脱,101001,101002,3087,1,5,1,99,0,90,0,0,0,0
13,尖塔村庄 逃脱,PTT_Name_000008,瀑布村 逃脱,101001,101003,3147,1,5,1,99,0,180,0,0,0,0
14,尖塔村庄 逃脱,PTT_Name_000009,柱子之村 逃脱,101001,101004,3634,1,5,1,99,0,270,0,0,0,0
15,尖塔村庄 逃脱,PTT_Name_000010,绿草军团驻扎地 逃脱,101001,101005,3833,1,5,1,99,0,360,0,0,0,0
16,尖塔村庄 逃脱,PTT_Name_000011,红岩军团第二侦察队 逃脱,101001,101006,18602,1,5,1,99,0,450,0,0,0,0
21,难民营 逃脱,PTT_Name_000012,斯蒂尔普瑞斯 逃脱,101002,101000,4140,1,5,1,99,0,180,0,0,0,0
22,难民营 逃脱,PTT_Name_000013,尖塔村庄 逃脱,101002,101001,3086,1,5,1,99,0,90,0,0,0,0
23,难民营 逃脱,PTT_Name_000014,瀑布村 逃脱,101002,101003,3147,1,5,1,99,0,90,0,0,0,0
24,难民营 逃脱,PTT_Name_000015,柱子之村 逃脱,101002,101004,3634,1,5,1,99,0,180,0,0,0,0
25,难民营 逃脱,PTT_Name_000016,绿草军团驻扎地 逃脱,101002,101005,3833,1,5,1,99,0,270,0,0,0,0
26,难民营 逃脱,PTT_Name_000016,沉默的村庄逃脱,101002,101033,54694,1,5,1,99,0,270,0,0,0,0
31,瀑布村 逃脱,PTT_Name_000017,斯蒂尔普瑞斯 逃脱,101003,101000,4140,1,5,1,99,0,270,0,0,0,0
