TID,ProductType,ProductKind,Comment,ItemTID,ProductLevel,RecipeExp,CostGhelld,CompleteItemTID,SourceItem01,Value01,SourceItem02,Value02,SourceItem03,Value03,SourceItem04,Value04,SourceItem05,Value05,SourceItem06,Value06,SourceItem07,Value07,SourceItem08,Value08
标识号,配方类产品种类,完成品的种类,项目号码的规划作用,项目号码作用,所需的技能等级,经验获得的最大额,手续费,完成项目,01#材料项目,01#材料统计,02#材料项目,02#材料统计,03#材料项目,03#材料统计,04#材料项目,04#材料统计,05#材料项目,05#材料统计,06#材料项目,06#材料统计,07#材料项目,07#材料统计,08#材料项目,08#材料统计
,,,,,,,,,,,,,,,,,,,,,,,,
U16,U8,U8,CBwString,U32,U8,U32,U32,U32,U32,U16,U32,U16,U32,U16,U32,U16,U32,U16,U32,U16,U32,U16,U32,U16
1001,1,1,模式：破旧的枪,60000,1,230,300,1010251,37100,9,,,,,,,,,,,,,,
1002,1,1,模式：普通技术矛,60001,1,290,330,1010252,37100,9,42000,1,,,,,,,,,,,,
1003,1,1,模式：高级的矛,60002,5,313,450,1010253,37100,10,42000,1,42005,1,,,,,,,,,,
1004,1,1,模式：罕见的,60003,5,403,600,1010254,37100,11,42205,1,42005,1,39100,1,,,,,,,,
1005,1,1,模式：不起眼的试验矛,60004,10,460,1200,1010451,37102,10,,,,,,,,,,,,,,
1006,1,1,模式：普通试验,60005,10,580,1320,1010452,37102,10,42000,1,,,,,,,,,,,,
1007,1,1,模式：高级的试验,60006,10,866,1800,1010453,37102,11,42000,3,42005,1,,,,,,,,,,
1008,1,1,模式：难得的审判,60007,10,2292,2400,1010454,37102,12,42205,3,42005,1,39100,5,,,,,,,,
1009,1,1,模式：疼痛寒酸枪,60008,15,690,2700,1010651,37103,10,,,,,,,,,,,,,,
1010,1,1,模式：普通的枪患,60009,15,930,2970,1010652,37103,10,42001,1,,,,,,,,,,,,
1011,1,1,模式：疼痛高级的枪,60010,15,1240,4050,1010653,37103,11,42001,2,42005,2,,,,,,,,,,
1012,1,1,模式：一种罕见的枪,60011,15,6249,5400,1010654,37103,12,42205,6,42005,2,39101,1,,,,,,,,
1013,1,1,模式：不起眼的恐惧矛,60012,20,920,4800,1010851,37104,10,,,,,,,,,,,,,,
1014,1,1,模式：喷枪,60013,20,1240,5280,1010852,37104,10,42001,1,,,,,,,,,,,,
1015,1,1,模式：恐惧矛高级的,60014,20,1972,7200,1010853,37104,11,42001,3,42005,3,,,,,,,,,,
1016,1,1,模式：罕见的恐怖,60015,20,4912,9600,1010854,37104,12,42206,3,42005,4,39101,3,,,,,,,,
1017,1,1,模式：寒酸之怒,60016,25,1150,7500,1011051,37105,10,,,,,,,,,,,,,,
1018,1,1,模式：巫妖王之怒.普通枪,60017,25,1650,8250,1011052,37105,10,42002,1,,,,,,,,,,,,
1019,1,1,模式：高级的矛,60018,25,2265,11250,1011053,37105,11,42002,2,42005,5,,,,,,,,,,
1020,1,1,模式：罕见的暴怒枪,60019,25,9603,15000,1011054,37105,12,42206,4,42005,6,39101,4,,,,,,,,
1021,1,1,模式：喷枪的疯狂,60020,30,1380,10800,1011251,37106,10,,,,,,,,,,,,,,
1022,1,1,模式：喷枪普通疯狂,60021,30,1980,11880,1011252,37106,10,42002,1,,,,,,,,,,,,
1023,1,1,模式：高级的疯狂矛,60022,30,3318,16200,1011253,37106,11,42002,3,42005,7,,,,,,,,,,
1024,1,1,模式：喷枪罕见的疯狂,60023,30,9755,21600,1011254,37106,12,42207,3,42005,9,39101,6,,,,,,,,
1025,1,1,模式：特殊疯狂矛,60024,30,19900,32400,1011255,37106,15,43010,4,42005,13,39101,9,,,,,,,,
1026,1,1,模式：不起眼的豹矛,60025,35,1610,14700,1011451,37107,10,,,,,,,,,,,,,,
