TID,Comment,QuestTID,NpcTID,ItemTID,DropRate,DropStack,DropAll
索引,管理者,探究ID账号,Npc索引,项目,丢失率,丢失率最大数,宴会状态是是否支付
,,,,,,,
U32,CBwString,U32,U32,U32,U32,U32,U8
1,,1,501,20155,9000,1,1
2,,5,514,20174,9000,1,1
3,,8,546,20030,9000,1,1
4,,9,543,20027,10000,1,1
5,,14,584,20184,10000,1,1
6,,17,614,20070,10000,1,1
7,,24,689,20193,9000,1,1
31,,63,682,20097,9000,1,1
172,,172,1581,20352,9000,1,1
181,,181,1607,20374,9000,1,1
193,,193,1613,20375,10000,1,1
341,,341,2543,20704,10000,1,1
391,,391,2592,20710,9000,1,1
401,,401,2612,20711,9000,1,1
402,,401,2611,20711,9000,1,1
421,,421,2631,20713,9000,1,1
423,,421,2632,20713,9000,1,1
511,,511,3513,21013,10000,1,1
513,,512,350301,20914,10000,1,1
521,,521,3521,20918,10000,1,1
522,,522,3523,20924,10000,1,1
543,,542,350302,20935,10000,1,1
552,,552,3573,20941,10000,1,1
561,,561,3583,20944,10000,1,1
632,,632,3723,21001,10000,1,1
715,,715,4507,21107,10000,1,1
716,,715,4508,21107,10000,1,1
755,,755,4548,21154,10000,1,1
781,,781,4593,21179,10000,1,1
785,,785,4604,21186,10000,1,1
795,,795,4611,21194,10000,1,1
805,,805,4615,21203,10000,1,1
811,,811,4631,21206,10000,1,1
812,,811,4632,21206,10000,1,1
815,,815,4624,21212,10000,1,1
821,,821,4634,21215,10000,1,1
831,,831,350423,21231,10000,1,1
832,,832,350424,21232,10000,1,1
833,,833,4654,21233,10000,1,1
901,,901,5501,21406,10000,1,1
912,,912,5513,21418,10000,1,1
921,,921,5521,21415,10000,1,1
931,,931,350508,21437,10000,1,1
982,,982,5604,21494,10000,1,1
991,,991,5613,21497,10000,1,1
1001,,1001,5625,21502,10000,1,1
1011,,1011,5635,21511,10000,1,1
1012,,1012,5636,21512,10000,1,1
1111,,1111,1702,20267,10000,1,1
1115,,1115,1703,20228,10000,1,1
1141,,1141,722,20233,10000,1,1
1145,,1145,1710,20258,10000,1,1
1151,,1151,1713,20263,10000,1,1
1152,,1152,1716,20264,10000,1,1
10011,,10012,512,20007,9000,1,1
10021,,10013,511,20008,9000,1,1
10041,,10021,511,20010,9000,1,1
10042,,10021,512,20010,9000,1,1
10051,,10023,513,20011,9000,1,1
10083,,10075,541,20154,9000,1,1
10085,,10078,542,20177,9000,1,1
10087,,10080,545,20031,10000,1,1
10089,,10093,551,20038,9000,1,1
10091,,10101,566,20043,10000,1,1
10093,,10103,567,20047,10000,1,1
10101,,10111,561,20039,9000,1,1
