TID,ComboSkillGroup_0,ComboSkillGroup_1,ComboSkillGroup_2,ComboSkillGroup_3,ComboSkillGroup_4,MinComboSkillTime_0,MinComboSkillTime_1,MinComboSkillTime_2,MinComboSkillTime_3,MinComboSkillTime_4,MaxComboSkillTime_0,MaxComboSkillTime_1,MaxComboSkillTime_2,MaxComboSkillTime_3,MaxComboSkillTime_4
人物,1阶段 连接技能,2阶段 连接技能,3阶段 连接技能,4阶段 连接技能,5阶段 连接技能,1阶段 技能 最小 输入时间,2阶段 技能 最小 输入时间,3阶段 最小 输入时间,4阶段 最小 输入时间,5阶段 最小 输入时间,1阶段 最大输入时间,2阶段 最大输入时间,3阶段 最大输入时间,4阶段 最大输入时间,5阶段 最大输入时间
,,,,,,,,,,,,,,,
U16,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32,U32
1,2,6,13,0,0,0,0,0,0,0,0,5000,5000,0,0
2,21,24,29,0,0,0,0,0,0,0,0,5000,5000,0,0
3,27,33,0,0,0,0,0,0,0,0,0,5000,0,0,0
4,40,43,45,0,0,0,0,0,0,0,0,5000,5000,0,0
101,303,306,313,0,0,0,0,0,0,0,0,5000,5000,0,0
102,328,333,0,0,0,0,0,0,0,0,0,5000,0,0,0
103,348,350,352,0,0,0,0,0,0,0,0,5000,5000,,
201,603,608,617,0,0,0,0,0,0,0,0,5000,5000,0,0
202,607,615,620,0,0,0,0,0,0,0,0,5000,5000,0,0
203,623,628,632,0,0,0,0,0,0,0,0,5000,5000,0,0
204,637,639,642,0,0,0,0,0,0,0,0,5000,5000,0,0
205,644,646,648,0,0,0,0,0,0,0,0,5000,5000,0,0
301,903,906,914,0,0,0,0,0,0,0,0,5000,5000,0,0
302,920,929,936,0,0,0,0,0,0,0,0,5000,5000,0,0
303,941,942,945,0,0,0,0,0,0,0,0,5000,5000,0,0
701,1204,1207,1216,0,0,0,0,0,0,0,0,5000,5000,0,0
702,1242,1244,1247,0,0,0,0,0,0,0,0,5000,5000,0,0
703,1238,1239,0,0,0,0,0,0,0,0,0,14000,0,0,0
801,2404,2407,2416,0,0,0,0,0,0,0,0,5000,5000,0,0
802,2442,2444,2447,0,0,0,0,0,0,0,0,5000,5000,0,0
803,2438,2439,0,0,0,0,0,0,0,0,0,14000,0,0,0
901,2703,2707,2714,0,0,0,0,0,0,0,0,5000,5000,0,0
902,2722,2725,2730,0,0,0,0,0,0,0,0,5000,5000,0,0
903,2728,2734,0,0,0,0,0,0,0,0,0,5000,0,0,0
904,2744,2746,2748,0,0,0,0,0,0,0,0,5000,5000,0,0
1001,3003,3008,3017,0,0,0,0,0,0,0,0,5000,5000,0,0
1002,3007,3015,3020,0,0,0,0,0,0,0,0,5000,5000,0,0
1003,3023,3028,3032,0,0,0,0,0,0,0,0,5000,5000,0,0
1004,3039,3041,3044,0,0,0,0,0,0,0,0,5000,5000,0,0
1005,3048,3050,3052,0,0,0,0,0,0,0,0,5000,5000,0,0
1101,3303,3306,3314,0,0,0,0,0,0,0,0,5000,5000,0,0
1102,3320,3329,3336,0,0,0,0,0,0,0,0,5000,5000,0,0
1103,3341,3342,3345,0,0,0,0,0,0,0,0,5000,5000,0,0
1201,3603,3606,3613,0,0,0,0,0,0,0,0,5000,5000,0,0
1202,3628,3633,0,0,0,0,0,0,0,0,0,5000,0,0,0
1203,3642,3644,3646,0,0,0,0,0,0,0,0,5000,5000,0,0
